species_code,host_genus,host_species,host_name
ACER,Acropora,cervicornis,Acropora_cervicornis
APAL,Acropora,palmata,Acropora_palmata
APRO,Acropora,prolifera,Acropora_prolifera
ACRO,Acropora,sp.,Acropora_sp.
AAGA,Agaricia,agaricites,Agaricia_agaricites
AFRA,Agaricia,fragilis,Agaricia_fragilis
AGRA,Agaricia,grahamae,Agaricia_grahamae
AHUM,Agaricia,humilis,Agaricia_humilis
ALAM,Agaricia,lamarcki,Agaricia_lamarcki
AGAR,Agaricia,sp.,Agaricia_sp.
ATEN,Agaricia,tenuifolia,Agaricia_tenuifolia
AUND,Agaricia,undata,Agaricia_undata
CARB,Cladacora,arbuscula,Cladacora_arbuscula
CNAT,Colpophyllia,natans,Colpophyllia_natans
DCYL,Dendrogyra,cylindrus,Dendrogyra_cylindrus
DSTO,Dichocoenia,stokesi,Dichocoenia_stokesi
DLAB,Diploria,labyrinthiformis,Diploria_labyrinthiformis
DIPL,Diploria,sp.,Diploria_sp.
EFAS,Eusmilia,fastigiata,Eusmilia_fastigiata
FFRA,Favia,fragum,Favia_fragum
HCUC,Helioseris,cucullata,Helioseris_cucullata
IRIG,Isophyllia,rigida,Isophyllia_rigida
ISIN,Isophyllia,sinuosa,Isophyllia_sinuosa
ISOP,Isophyllia,sp.,Isophyllia_sp.
MAUR,Madracis,auretenra,Madracis_auretenra
MDEC,Madracis,decactis,Madracis_decactis
MFOR,Madracis,formosa,Madracis_formosa
MPHA,Madracis,pharensis,Madracis_pharensis
MSEN,Madracis,senaria,Madracis_senaria
MADR,Madracis,sp.,Madracis_sp.
MARE,Manicina,areolata,Manicina_areolata
MJAC,Meandrina,jacksoni,Meandrina_jacksoni
MMEA,Meandrina,meandrites,Meandrina_meandrites
MEAN,Meandrina,sp.,Meandrina_sp.
MALC,Millepora,alcicornis,Millepora_alcicornis
MCOM,Millepora,complanata,Millepora_complanata
MILL,Millepora,sp.,Millepora_sp.
MCAV,Montastraea,cavernosa,Montastraea_cavernosa
MANG,Mussa,angulosa,Mussa_angulosa
MALI,Mycetophyllia,aliciae,Mycetophyllia_aliciae
MFER,Mycetophyllia,ferox,Mycetophyllia_ferox
MLAM,Mycetophyllia,lamarckiana,Mycetophyllia_lamarckiana
MYCE,Mycetophyllia,sp.,Mycetophyllia_sp.
ODIF,Oculina,diffusa,Oculina_diffusa
OCUL,Oculina,sp.,Oculina_sp.
OVAR,Oculina,varicosa,Oculina_varicosa
OANN,Orbicella,annularis,Orbicella_annularis
OFAV,Orbicella,faveolata,Orbicella_faveolata
OFRA,Orbicella,franksi,Orbicella_franksi
ORBI,Orbicella,sp.,Orbicella_sp.
PAME,Phyllangia,americana,Phyllangia_americana
PAST,Porites,astreoides,Porites_astreoides
PBRA,Porites,cf. branneri,Porites_cf.branneri
PDIV,Porites,divaricata,Porites_divaricata
PFUR,Porites,furcata,Porites_furcata
PPOR,Porites,porites,Porites_porites
PORI,Porites,sp.,Porites_sp.
PCLI,Pseudodiploria,clivosa,Pseudodiploria_clivosa
PSEU,Pseudodiploria,sp.,Pseudodiploria_sp.
PSTR,Pseudodiploria,strigosa,Pseudodiploria_strigosa
SCUB,Scolymia,cubensis,Scolymia_cubensis
SLAC,Scolymia,lacera,Scolymia_lacera
SCOL,Scolymia,sp.,Scolymia_sp.
SWEL,Scolymia,wellsi,Scolymia_wellsi
SRAD,Siderastrea,radians,Siderastrea_radians
SSID,Siderastrea,siderea,Siderastrea_siderea
SIDE,Siderastrea,sp.,Siderastrea_sp.
SBOU,Solenastrea,bournoni,Solenastrea_bournoni
SHYA,Solenastrea,hyades,Solenastrea_hyades
SOLE,Solenastrea,sp.,Solenastrea_sp.
SINT,Stephanocoenia,intersepta,Stephanocoenia_intersepta
UNKN,Unknown,species,Unknown_species
