Species	Algal_Infection	Algal_overgrowth	Black_band_disease	Bleaching	Ciliates	Corallophila_huysmansii	Cyanobacteria	Discoloration	Endolithic_fungal_infection	Endolithic_hypermycosis	Gear_entanglement	Growth_anomalies	Macroalgal_overgrowth	No_Disease	Pigmentation_response	Predation	Recently_denuded_skeleton	Swollen_patches	Tissue_Loss	Trematodiasis	White_Syndrome
Acropora_cytherea	0.0	0.016073478760045924	0.0	0.03501722158438576	0.0	0.0	0.001722158438576349	0.003444316877152698	0.0	0.0	0.0	0.013777267508610792	0.001148105625717566	0.8972445464982779	0.001722158438576349	0.001722158438576349	0.001148105625717566	0.0	0.023536165327210104	0.0	0.003444316877152698
Acropora_humilis	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acropora_nasuta	0.0	0.42857142857142855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5714285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acropora_paniculata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9130434782608695	0.043478260869565216	0.043478260869565216	0.0	0.0	0.0	0.0	0.0
Acropora_valida	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cirrhipathes_anguina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cycloseris_vaughani	0.0	0.005780346820809248	0.0	0.023121387283236993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9710982658959537	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyphastrea_agassizi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyphastrea_ocellina	0.0	0.012674271229404309	0.0	0.2991128010139417	0.0	0.0	0.0	0.02788339670468948	0.0	0.0	0.0	0.0	0.0012674271229404308	0.6577946768060836	0.0012674271229404308	0.0	0.0	0.0	0.0	0.0	0.0
Fungia_granulosa	0.0	0.05	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fungia_scutaria	0.0	0.0035026269702276708	0.0	0.03852889667250438	0.0	0.0	0.0	0.0035026269702276708	0.0	0.0	0.0	0.0035026269702276708	0.0	0.9422066549912435	0.0	0.0035026269702276708	0.0	0.0	0.005253940455341506	0.0	0.0
Fungia_sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gardineroseris_planulata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptastrea_bewickensis	0.0	0.0	0.0	0.045307443365695796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0048543689320388345	0.9498381877022654	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptastrea_pruinosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptastrea_purpurea	0.0	0.023972602739726026	0.0	0.08732876712328767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017123287671232876	0.003424657534246575	0.8801369863013698	0.003424657534246575	0.0	0.0	0.0	0.0	0.0	0.0
Leptastrea_sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptastrea_transversa	0.0	0.018518518518518517	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9259259259259259	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptoseris_incrustans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptoseris_mycetoseroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptoseris_papyracea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptoseris_tubulifera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Montipora_capitata	0.00023592181913870388	0.004010670925357966	0.003883636099667895	0.0532820354608642	1.814783224143876e-05	0.0	0.0002722174836215814	0.002141444204489774	0.0	0.0	0.0	0.00277661833294013	0.0006170262962089179	0.9095512041086692	0.00016333049017294883	0.0012340525924178357	0.0	0.0	0.014028274322632161	0.0	0.007785420031577228
Montipora_dilitata	0.0	0.0	0.0	0.7428571428571429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02142857142857143	0.0	0.0	0.0	0.0	0.2357142857142857	0.0	0.0
Montipora_ehrenbergi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Montipora_flabellata	0.0008385744234800838	0.004472396925227114	0.0001397624039133473	0.26009783368273937	0.0	0.0	0.0	0.0041928721174004195	0.0	0.0	0.0	0.0012578616352201257	0.0012578616352201257	0.7189378057302586	0.0	0.0016771488469601676	0.0	0.0	0.006149545772187281	0.0	0.0009783368273934311
