Disease Name,Source,GCMP Name
Algal_Infection,HICORDIS,Algal_infection_HICORDIS
Algal_overgrowth,HICORDIS,Algal_overgrowth_HICORDIS
Black_band_disease,HICORDIS,Black_band_disease_HICORDIS
Bleaching,HICORDIS,Bleaching_HICORDIS
Ciliates,HICORDIS,Ciliates_HICORDIS
Corallophila_huysmansii,HICORDIS,Corallophila_huysmansii_HICORDIS
Cyanobacteria,HICORDIS,Cyanobacteria_HICORDIS
Discoloration,HICORDIS,Discoloration_HICORDIS
Endolithic_fungal_infection,HICORDIS,Endolithic_fungal_infection_HICORDIS
Endolithic_hypermycosis,HICORDIS,Endolithic_hypermycosis_HICORDIS
Gear_entanglement,HICORDIS,Gear_entanglement_HICORDIS
Growth_anomalies,HICORDIS,Growth_anomalies_HICORDIS
Macroalgal_overgrowth,HICORDIS,Macroalgal_overgrowth_HICORDIS
No_Disease,HICORDIS,No_Disease_HICORDIS
Pigmentation_response,HICORDIS,Pigmentation_response_HICORDIS
Predation,HICORDIS,Predation_HICORDIS
Recently_denuded_skeleton,HICORDIS,Recently_denuded_skeleton_HICORDIS
Swollen_patches,HICORDIS,Swollen_patches_HICORDIS
Tissue_Loss,HICORDIS,Tissue_loss_HICORDIS
Trematodiasis,HICORDIS,Trematodiasis_HICORDIS
White_Syndrome,HICORDIS,White_syndrome_HICORDIS
Unknown Disease,FRRP,Unknown_disease_FRRP
Black Band,FRRP,Black_band_disease_FRRP
Dark Spots,FRRP,Dark_spots_FRRP
Red Band,FRRP,Red_band_FRRP
White Band,FRRP,White_band_FRRP
White Plague,FRRP,White_plague_FRRP
White Spot,FRRP,White_spot_FRRP
Yellow Band,FRRP,Yellow_band_FRRP
TotalWS,Lamb_et_al,White_syndrome_Lamb_et_al
TotalBBD,Lamb_et_al,Black_band_disease_Lamb_et_al
TotalBrB,Lamb_et_al,Brown_band_Lamb_et_al
TotalSEB,Lamb_et_al,Skeletal_eroding_band_Lamb_et_al
TotalGA,Lamb_et_al,Growth_anomalies_Lamb_et_al
TotalAtN,Lamb_et_al,Atramentous_necrosis_Lamb_et_al
TotalDiseased,Lamb_et_al,Total_diseased_Lamb_et_al
TotalCompromisedORBleached,Lamb_et_al,Total_compromised_or_bleached_Lamb_et_al
