Species,Unknown_disease_FRRP,Black_band_disease_FRRP,Dark_spots_FRRP,Red_band_FRRP,White_band_FRRP,White_plague_FRRP,White_spot_FRRP,Yellow_band_FRRP,Clade
Acropora cervicornis,0.948,0.0,0.0,0.0,2.2119999999999997,0.0,0.0,0.0,complex
Acropora palmata,0.0,0.0,0.0,0.0,5.479,0.0,5.479,0.0,complex
Acropora prolifera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complex
Undaria agaricites,0.113,0.0,0.243,0.0,0.0,0.081,0.0,0.016,complex
Agaricia fragilis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complex
Undaria humilis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complex
Oculina diffusa,0.0,0.0,0.0,0.0,0.0,0.885,0.0,0.0,complex
Oculina sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complex
Porites astreoides,0.17300000000000001,0.006,0.0,0.0,0.0,0.0,0.0,0.0,complex
Porites cf. branneri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complex
Porites divaricata,0.08900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complex
Porites furcata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complex
Siderastrea siderea,0.267,0.045,1.942,0.006,0.0,0.040999999999999995,0.0,0.006,complex
Siderastrea sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complex
Solenastrea bournoni,0.348,0.07,0.07,0.0,0.0,0.348,0.0,0.0,complex
Undaria sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complex
Agaricia lamarcki,0.0,0.0,0.716,0.0,0.0,0.0,0.0,0.0,complex
Agaricia sp.,0.0,0.0,1.402,0.0,0.0,0.0,0.0,0.0,complex
Undaria tenuifolia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complex
Cladacora arbuscula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,robust
Diploria labyrinthiformis,0.442,0.147,0.147,0.0,0.0,0.147,0.0,0.0,robust
Pseudodiploria strigosa,0.15,0.301,0.0,0.0,0.0,0.15,0.0,0.0,robust
Diploria sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,robust
Eusmilia fastigiata,0.0,0.0,0.281,0.0,0.0,0.141,0.0,0.0,robust
Favia fragum,0.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,robust
Madracis decactis,0.0,0.168,0.168,0.0,0.0,0.0,0.0,0.0,robust
Millepora sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outgroup
Solenastrea hyades,0.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,robust
Stephanocoenia intersepta,0.22899999999999998,0.0,1.206,0.006999999999999999,0.0,0.14800000000000002,0.0,0.006999999999999999,complex
Solenastrea sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complex
Meandrina jacksoni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,robust
Pseudodiploria sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,robust
Meandrina sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,robust
Isophyllia sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,robust
Manicina areolata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outgroup
