Reef_Name,Year,Sector,Country,Season,Group.Code,Trip.code,Benthic_Category,Genus,TotalCorals,Total_diseased_Lamb_et_al,Total_compromised_or_bleached_Lamb_et_al,TotalHealthy,White_syndrome_Lamb_et_al,Black_band_disease_Lamb_et_al,Brown_band_Lamb_et_al,Skeletal_eroding_band_Lamb_et_al,Growth_anomalies_Lamb_et_al,Atramentous_necrosis_Lamb_et_al,Region,Lat,Long,Impact,Growth,Family,Impact_binary
GK2,2013,KEPPELS,Australia,FALL,HC,CR,Acanthastrea,Acanthastrea,2,0,0,2,0,0,0,0,0,0,GBR,-23.1535,150.9766,BLUE,Encrusting,Lobophylliidae,1
H1,2013,KEPPELS,Australia,FALL,HC,CR,Acanthastrea,Acanthastrea,2,0,0,2,0,0,0,0,0,0,GBR,-23.1973,150.9731,GREEN,Encrusting,Lobophylliidae,0
MI2,2013,KEPPELS,Australia,FALL,HC,CR,Acanthastrea,Acanthastrea,1,0,0,1,0,0,0,0,0,0,GBR,-23.1551,150.9075,BLUE,Encrusting,Lobophylliidae,1
NK5,2013,KEPPELS,Australia,FALL,HC,CR,Acanthastrea,Acanthastrea,1,0,0,1,0,0,0,0,0,0,GBR,-23.082175,150.9116083,GREEN,Encrusting,Lobophylliidae,0
NK8,2013,KEPPELS,Australia,FALL,HC,CR,Acanthastrea,Acanthastrea,1,0,0,1,0,0,0,0,0,0,GBR,-23.05151667,150.8864111,BLUE,Encrusting,Lobophylliidae,1
Agincourt 1,2009,P DOUGLAS,Australia,WINTER,HC,BP,Acanthastrea,Acanthastrea,2,0,0,2,0,0,0,0,0,0,GBR,-16.0567,145.8667,Control,Encrusting,Lobophylliidae,0
Agincourt 4,2009,P DOUGLAS,Australia,WINTER,HC,BP,Acanthastrea,Acanthastrea,3,0,0,3,0,0,0,0,0,0,GBR,-15.9701,145.8201,Control,Encrusting,Lobophylliidae,0
Rudder Reef,2009,P DOUGLAS,Australia,WINTER,HC,BP,Acanthastrea,Acanthastrea,1,0,0,1,0,0,0,0,0,0,GBR,-16.198725,145.68145280000002,Control,Encrusting,Lobophylliidae,0
C1,2012,PALMS,Australia,SUMMER,HC,CH,Acanthastrea,Acanthastrea,2,0,0,2,0,0,0,0,0,0,GBR,-18.6786,146.5518,GREEN,Encrusting,Lobophylliidae,0
C2,2012,PALMS,Australia,SUMMER,HC,CH,Acanthastrea,Acanthastrea,1,0,0,1,0,0,0,0,0,0,GBR,-18.6712,146.5496,GREEN,Encrusting,Lobophylliidae,0
C3,2012,PALMS,Australia,SUMMER,HC,CH,Acanthastrea,Acanthastrea,4,0,0,4,0,0,0,0,0,0,GBR,-18.6749,146.54399999999998,GREEN,Encrusting,Lobophylliidae,0
C4,2012,PALMS,Australia,SUMMER,HC,CH,Acanthastrea,Acanthastrea,2,0,2,0,0,0,0,0,0,0,GBR,-18.6536,146.5415,BLUE,Encrusting,Lobophylliidae,1
OE3,2012,PALMS,Australia,SUMMER,HC,CH,Acanthastrea,Acanthastrea,2,0,1,1,0,0,0,0,0,0,GBR,-18.6256,146.503,GREEN,Encrusting,Lobophylliidae,0
OE6,2012,PALMS,Australia,SUMMER,HC,CH,Acanthastrea,Acanthastrea,2,0,1,1,0,0,0,0,0,0,GBR,-18.5841,146.4915,GREEN,Encrusting,Lobophylliidae,0
OS2,2012,PALMS,Australia,SUMMER,HC,CH,Acanthastrea,Acanthastrea,5,0,0,5,0,0,0,0,0,0,GBR,-18.5906,146.4835,GREEN,Encrusting,Lobophylliidae,0
OS3,2012,PALMS,Australia,SUMMER,HC,CH,Acanthastrea,Acanthastrea,6,0,0,6,0,0,0,0,0,0,GBR,-18.5754,146.4751,GREEN,Encrusting,Lobophylliidae,0
OS5,2012,PALMS,Australia,SUMMER,HC,CH,Acanthastrea,Acanthastrea,6,0,2,4,0,0,0,0,0,0,GBR,-18.5682,146.4754,GREEN,Encrusting,Lobophylliidae,0
PE1,2012,PALMS,Australia,SUMMER,HC,CH,Acanthastrea,Acanthastrea,1,0,0,1,0,0,0,0,0,0,GBR,-18.5925,146.4897,BLUE,Encrusting,Lobophylliidae,1
PE2,2012,PALMS,Australia,SUMMER,HC,CH,Acanthastrea,Acanthastrea,2,0,0,2,0,0,0,0,0,0,GBR,-18.5547,146.5009,BLUE,Encrusting,Lobophylliidae,1
PE3,2012,PALMS,Australia,SUMMER,HC,CH,Acanthastrea,Acanthastrea,6,0,1,5,0,0,0,0,0,0,GBR,-18.5547,146.5022,BLUE,Encrusting,Lobophylliidae,1
PE4,2012,PALMS,Australia,SUMMER,HC,CH,Acanthastrea,Acanthastrea,1,0,0,1,0,0,0,0,0,0,GBR,-18.5505,146.5021,BLUE,Encrusting,Lobophylliidae,1
PE5,2012,PALMS,Australia,SUMMER,HC,CH,Acanthastrea,Acanthastrea,3,0,1,2,0,0,0,0,0,0,GBR,-18.5401,146.5011,BLUE,Encrusting,Lobophylliidae,1
