Species,Algal_Infection,Algal_overgrowth,Black_band_disease,Bleaching,Ciliates,Corallophila_huysmansii,Cyanobacteria,Discoloration,Endolithic_fungal_infection,Endolithic_hypermycosis,Gear_entanglement,Growth_anomalies,Macroalgal_overgrowth,No_Disease,Pigmentation_response,Predation,Recently_denuded_skeleton,Swollen_patches,Tissue_Loss,Trematodiasis,White_Syndrome
Acropora_cytherea,0,0.016073478760046,0,0.035017221584386,0,0,0.001722158438576,0.003444316877153,0,0,0,0.013777267508611,0.001148105625718,0.897244546498278,0.001722158438576,0.001722158438576,0.001148105625718,0,0.02353616532721,0,0.003444316877153
Acropora_humilis,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0,0,0,0
Acropora_nasuta,0,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,0,0,0,0,0,0,0
Acropora_paniculata,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91304347826087,0.043478260869565,0.043478260869565,0,0,0,0,0
Acropora_valida,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cirrhipathes_anguina,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cycloseris_vaughani,0,0.005780346820809,0,0.023121387283237,0,0,0,0,0,0,0,0,0,0.971098265895954,0,0,0,0,0,0,0
Cyphastrea_agassizi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cyphastrea_ocellina,0,0.012674271229404,0,0.299112801013942,0,0,0,0.02788339670469,0,0,0,0,0.00126742712294,0.657794676806084,0.00126742712294,0,0,0,0,0,0
Fungia_granulosa,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0
Fungia_scutaria,0,0.003502626970228,0,0.038528896672504,0,0,0,0.003502626970228,0,0,0,0.003502626970228,0,0.942206654991244,0,0.003502626970228,0,0,0.005253940455342,0,0
Fungia_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gardineroseris_planulata,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Leptastrea_bewickensis,0,0,0,0.045307443365696,0,0,0,0,0,0,0,0,0.004854368932039,0.949838187702265,0,0,0,0,0,0,0
Leptastrea_pruinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Leptastrea_purpurea,0,0.023972602739726,0,0.087328767123288,0,0,0,0,0,0,0,0.001712328767123,0.003424657534247,0.88013698630137,0.003424657534247,0,0,0,0,0,0
Leptastrea_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Leptastrea_transversa,0,0.018518518518519,0,0.055555555555556,0,0,0,0,0,0,0,0,0,0.925925925925926,0,0,0,0,0,0,0
Leptoseris_incrustans,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Leptoseris_mycetoseroides,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Leptoseris_papyracea,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Leptoseris_tubulifera,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Montipora_capitata,0.000235921819139,0.004010670925358,0.003883636099668,0.053282035460864,1.81478322414388E-05,0,0.000272217483622,0.00214144420449,0,0,0,0.00277661833294,0.000617026296209,0.909551204108669,0.000163330490173,0.001234052592418,0,0,0.014028274322632,0,0.007785420031577
Montipora_dilitata,0,0,0,0.742857142857143,0,0,0,0,0,0,0,0,0,0.021428571428572,0,0,0,0,0.235714285714286,0,0
Montipora_ehrenbergi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
