Species	Unknown_disease_FRRP	Black_band_disease_FRRP	Dark_spots_FRRP	Red_band_FRRP	White_band_FRRP	White_plague_FRRP	White_spot_FRRP	Yellow_band_FRRP	Algal_infection_HICORDIS	Algal_overgrowth_HICORDIS	Black_band_disease_HICORDIS	Bleaching_HICORDIS	Ciliates_HICORDIS	Corallophila_huysmansii_HICORDIS	Cyanobacteria_HICORDIS	Discoloration_HICORDIS	Endolithic_fungal_infection_HICORDIS	Endolithic_hypermycosis_HICORDIS	Gear_entanglement_HICORDIS	Growth_anomalies_HICORDIS	Macroalgal_overgrowth_HICORDIS	No_Disease_HICORDIS	Pigmentation_response_HICORDIS	Predation_HICORDIS	Recently_denuded_skeleton_HICORDIS	Swollen_patches_HICORDIS	Tissue_loss_HICORDIS	Trematodiasis_HICORDIS	White_syndrome_HICORDIS	Total_diseased_Lamb_et_al	Total_compromised_or_bleached_Lamb_et_al	White_syndrome_Lamb_et_al	Black_band_disease_Lamb_et_al	Brown_band_Lamb_et_al	Skeletal_eroding_band_Lamb_et_al	Growth_anomalies_Lamb_et_al
ACR_Acropora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91304347826087	0.043478260869565	0.043478260869565	0.0	0.0	0.0	0.0	0.0	0.03228354569495484	0.10832159906583783	0.004979908644434523	0.0061476113610605485	0.005460727410104063	0.014493251365181852	0.0010303259264347287
ACR_Acropora_cervicornis	0.948	0.0	0.0	0.0	2.212	0.0	0.0	0.0																												
ACR_Acropora_cytherea									0.0	0.016073478760046	0.0	0.035017221584386	0.0	0.0	0.001722158438576	0.003444316877153	0.0	0.0	0.0	0.013777267508611	0.001148105625718	0.8972445464982779	0.001722158438576	0.001722158438576	0.001148105625718	0.0	0.02353616532721	0.0	0.003444316877153							
ACR_Acropora_humilis									0.0	0.0	0.0	0.166666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.833333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0							
ACR_Acropora_nasuta									0.0	0.42857142857142894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5714285714285711	0.0	0.0	0.0	0.0	0.0	0.0	0.0							
ACR_Acropora_palmata	0.0	0.0	0.0	0.0	5.479	0.0	5.479	0.0																												
ACR_Acropora_valida									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0							
ACR_Anacropora																														0.0	0.3	0.0	0.0	0.0	0.0	0.0
ACR_Astreopora																														0.0016806722689075631	0.1949579831932773	0.0	0.0	0.0	0.0016806722689075631	0.0
ACR_Montipora									0.0	0.0	0.0	0.32357142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.6042857142857144	0.0	0.0	0.0	0.0	0.047142857142857195	0.0	0.0	0.026756430174348353	0.22112894873122735	0.008631106507854307	0.00535128603486967	0.001208354911099603	0.009321595028482652	0.0006904885206283445
ACR_Montipora_captitata									0.00023592181913900006	0.004010670925358	0.003883636099668	0.053282035460864005	1.81478322414388e-05	0.0	0.000272217483622	0.00214144420449	0.0	0.0	0.0	0.00277661833294	0.0006170262962089999	0.909551204108669	0.00016333049017299998	0.001234052592418	0.0	0.0	0.014028274322632	0.0	0.007785420031576998							
ACR_Montipora_flabellata									0.00083857442348	0.004472396925227	0.00013976240391299998	0.260097833682739	0.0	0.0	0.0	0.0041928721174	0.0	0.0	0.0	0.00125786163522	0.00125786163522	0.718937805730259	0.0	0.00167714884696	0.0	0.0	0.006149545772186999	0.0	0.000978336827393							
ACR_Montipora_incrassata									0.0	0.005617977528089999	0.0	0.12921348314606698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.859550561797753	0.0	0.005617977528089999	0.0	0.0	0.0	0.0	0.0							
ACR_Montipora_patula									0.000327677856259	0.000546129760431	0.001128668171558	0.034697444112721	0.0	0.0	0.0	0.005461297604311	0.000182043253477	0.0	0.0	0.002621422850069	0.0008009903152989999	0.946078788320105	0.000546129760431	0.00182043253477	0.0	0.0	0.003313187213282	0.0	0.002475788247288							
