host_genus,total,sum_dis,sum_healthy,sum_bbd,sum_comp,sum_dksp,sum_tissueloss,sum_wbd,sum_wpl,sum_wpx,sum_tissue_dksp,sum_tissue_bbd,sum_unknown,sum_wsynd,sum_growthanom,sum_ciliate,sum_fungal,sum_trematodiasis,sum_seb,sum_brb,sum_atn,percent_sum_dis,percent_sum_healthy,percent_sum_bbd,percent_sum_comp,percent_sum_dksp,percent_sum_tissueloss,percent_sum_wbd,percent_sum_wpl,percent_sum_wpx,percent_sum_tissue_dksp,percent_sum_tissue_bbd,percent_sum_unknown,percent_sum_wsynd,percent_sum_growthanom,percent_sum_ciliate,percent_sum_fungal,percent_sum_trematodiasis,percent_sum_seb,percent_sum_brb,percent_sum_atn
Acanthastrea,109,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.82568807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acropora,31786,1158,27465,179,118,0,44,17,0,3,0,0,6,151,54,0,0,0,422,159,0,3.64311332,86.40596489,0.563141005,0.371232618,0,0.138425722,0.053482665,0,0.009438117,0,0,0.018876235,0.47505191,0.169886113,0,0,0,1.327628516,0.500220223,0
Agaricia,9345,65,9280,0,12,28,1,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0.695559123,99.30444088,0,0.128410915,0.299625468,0.01070091,0,0.042803638,0,0,0,0.203317282,0,0,0,0,0,0,0,0
Alveopora,267,2,262,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.74906367,98.12734082,0,0,0,0,0,0,0,0,0,0,0.374531835,0,0,0,0,0.374531835,0,0
Anacropora,20,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astreopora,595,1,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.168067227,80.33613445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168067227,0,0
Australogyra,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barabattoia,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastomussa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cataphyllia,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caulastrea,159,3,145,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1.886792453,91.19496855,0,0,0,0,0,0,0,0,0,0,0.628930818,0,0,0,0,1.257861635,0,0
Cirrhipathes,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladacora,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coeloseris,97,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.030927835,92.78350515,1.030927835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colpophyllia,2383,44,2339,9,2,1,17,0,3,0,0,0,11,0,0,0,0,0,0,0,0,1.846412086,98.15358791,0.377675199,0.083927822,0.041963911,0.713386488,0,0.125891733,0,0,0,0.461603021,0,0,0,0,0,0,0,0
Coscinaraea,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coscinaria,102,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.05882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctenactis,64,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cycloseris,238,5,233,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.100840336,97.89915966,0,2.100840336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cynaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyphastrea,2539,550,1940,1,540,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,21.66207168,76.40803466,0.039385585,21.26821583,0,0,0,0,0,0,0,0,0.275699094,0,0,0,0,0.07877117,0,0
Dendrogyra,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dichocoenia,4559,58,4501,6,4,3,6,0,17,0,0,0,22,0,0,0,0,0,0,0,0,1.272208818,98.72779118,0.131607809,0.087738539,0.065803904,0.131607809,0,0.372888791,0,0,0,0.482561965,0,0,0,0,0,0,0,0
Diploastrea,284,2,275,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.704225352,96.83098592,0,0,0,0,0,0,0,0,0,0,0.704225352,0,0,0,0,0,0,0
Diploria,828,16,812,1,3,1,5,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1.93236715,98.06763285,0.120772947,0.362318841,0.120772947,0.603864734,0,0.120772947,0,0,0,0.603864734,0,0,0,0,0,0,0,0
Echinophyllia,542,3,492,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.553505535,90.77490775,0,0,0,0,0,0,0,0,0,0,0.553505535,0,0,0,0,0,0,0
Echinopora,2078,39,1910,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,21,1,0,1.87680462,91.91530318,0.336862368,0,0,0,0,0,0,0,0,0,0.481231954,0,0,0,0,1.010587103,0.048123195,0
Euphyllia,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eusmilia,931,17,914,0,0,2,10,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1.825993555,98.17400644,0,0,0.214822771,1.074113856,0,0.107411386,0,0,0,0.429645542,0,0,0,0,0,0,0,0
Favia,2825,16,2645,1,0,0,2,0,0,0,0,0,1,7,1,0,0,0,0,1,0,0.566371681,93.62831858,0.03539823,0,0,0.07079646,0,0,0,0,0,0.03539823,0.247787611,0.03539823,0,0,0,0,0.03539823,0
Favites,2391,14,2230,1,0,0,0,0,0,0,0,0,0,9,3,0,0,0,1,0,0,0.585529067,93.26641573,0.041823505,0,0,0,0,0,0,0,0,0,0.376411543,0.125470514,0,0,0,0.041823505,0,0
Fungia,2417,76,2165,0,30,0,3,0,0,0,0,0,0,7,4,0,0,0,1,0,0,3.144393877,89.57385188,0,1.241208109,0,0.124120811,0,0,0,0,0,0,0.289615225,0.165494415,0,0,0,0.041373604,0,0
Galaxea,3014,110,2582,1,0,0,0,0,0,0,0,0,0,61,0,0,0,0,48,0,0,3.649635036,85.66688786,0.0331785,0,0,0,0,0,0,0,0,0,2.02388852,0,0,0,0,1.592568016,0,0
Gardineroseris,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goniastrea,1736,5,1639,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0.288018433,94.4124424,0,0,0,0,0,0,0,0,0,0,0.115207373,0,0,0,0,0.057603687,0,0
Goniopora,37383,55,35577,1,0,0,0,0,0,0,0,0,0,34,0,0,0,0,20,0,0,0.147125699,95.16892705,0.002675013,0,0,0,0,0,0,0,0,0,0.090950432,0,0,0,0,0.053500254,0,0
Halomitra,37,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heliofungia,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helioseris,129,2,127,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.550387597,98.4496124,0,0.775193798,0,0,0,0,0,0,0,0.775193798,0,0,0,0,0,0,0,0
Herpolitha,93,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.5483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydnophora,611,19,549,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,3.109656301,89.85270049,0,0,0,0,0,0,0,0,0,0,0.490998363,0,0,0,0,2.618657938,0,0
Isophyllia,72,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptastrea,1924,109,1783,1,104,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,5.665280665,92.67151767,0.051975052,5.405405405,0,0,0,0,0,0,0,0,0,0.051975052,0,0,0,0.155925156,0,0
Leptoria,188,7,169,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,3.723404255,89.89361702,0,0,0,0,0,0,0,0,0,0,1.063829787,0,0,0,0,1.595744681,1.063829787,0
