Species,Algal_infection_HICORDIS,Algal_overgrowth_HICORDIS,Black_band_disease_HICORDIS,Bleaching_HICORDIS,Ciliates_HICORDIS,Corallophila_huysmansii_HICORDIS,Cyanobacteria_HICORDIS,Discoloration_HICORDIS,Endolithic_fungal_infection_HICORDIS,Endolithic_hypermycosis_HICORDIS,Gear_entanglement_HICORDIS,Growth_anomalies_HICORDIS,Macroalgal_overgrowth_HICORDIS,No_Disease_HICORDIS,Pigmentation_response_HICORDIS,Predation_HICORDIS,Recently_denuded_skeleton_HICORDIS,Swollen_patches_HICORDIS,Tissue_loss_HICORDIS,Trematodiasis_HICORDIS,White_syndrome_HICORDIS
Acropora_cytherea,0.0,0.016073478760046,0.0,0.035017221584386,0.0,0.0,0.001722158438576,0.003444316877153,0.0,0.0,0.0,0.013777267508611,0.001148105625718,0.8972445464982779,0.001722158438576,0.001722158438576,0.001148105625718,0.0,0.023536165327209996,0.0,0.003444316877153
Acropora_humilis,0.0,0.0,0.0,0.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acropora_nasuta,0.0,0.42857142857142894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acropora_paniculata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91304347826087,0.043478260869565,0.043478260869565,0.0,0.0,0.0,0.0,0.0
Acropora_valida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cirrhipathes_anguina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cycloseris_vaughani,0.0,0.005780346820808999,0.0,0.023121387283237003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971098265895954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyphastrea_agassizi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyphastrea_ocellina,0.0,0.012674271229403998,0.0,0.299112801013942,0.0,0.0,0.0,0.02788339670469,0.0,0.0,0.0,0.0,0.0012674271229400002,0.6577946768060839,0.0012674271229400002,0.0,0.0,0.0,0.0,0.0,0.0
Fungia_granulosa,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
