species_names_no_quotes	species_name	adiv	bdiv	OTU83155	rank_disease	oz_disease_prevalence	oz_disease_std
POC_Pocillopora_damicornis	'POC_Pocillopora_damicornis'	83.42307692	0.657855212	0.000115953	38	3.190353051	0.789700055
POC_Seriatopora_caliendrum	'POC_Seriatopora_caliendrum'	89.46666667	0.678002387	0.264493762	37	3.135283206	1.53794235
POC_Stylophora	'POC_Stylophora'	74.03846154	0.611417094	0.213785533	37	3.135283206	1.53794235
ACR_Acropora_cytherea	'ACR_Acropora_cytherea'	66.66666667	0.631026737	0	36	1.578324463	0.456565414
ACR_Acropora_hyacinthus	'ACR_Acropora_hyacinthus'	71.79661017	0.67285028	0.172854403	36	1.578324463	0.456565414
ACR_Acropora_humilis	'ACR_Acropora_humilis'	59	0.52664296	0	35	1.216836426	0.573106632
FAV_Platygyra_sinensis	'FAV_Platygyra_sinensis'	92	0.698832364	0.003571971	34	1.174393091	0.642290372
MUS_Lobophyllia_hemprichii	'MUS_Lobophyllia_hemprichii'	263.1111111	0.715894902	0.034645758	33	1.150843254	0.600366999
FAV_Favites_abdita	'FAV_Favites_abdita'	131.5714286	0.838869209	0	32	0.973956011	0.769414598
POR_Porites_lobata	'POR_Porites_lobata'	151.2857143	0.672147442	0.0000759	31	0.702661735	0.254208609
ACR_Isopora_palifera	'ACR_Isopora_palifera'	143.5384615	0.594720966	0.140206554	30	0.472734632	0.174204206
ACR_Montipora_aequituberculata	'ACR_Montipora_aequituberculata'	101	0.618087146	0	29	0.46822174	0.251750777
ACR_Montipora_hispida	'ACR_Montipora_hispida'	24	0.660070752	0	29	0.46822174	0.251750777
DEN_Turbinaria	'DEN_Turbinaria'	282.7368421	0.740700882	0.003365679	28	0.44973545	0.44973545
FAV_Echinopora_horrida	'FAV_Echinopora_horrida'	82.5	0.800255642	0	27	0.291126819	0.143241468
FAV_Echinopora_lamellosa	'FAV_Echinopora_lamellosa'	183.0833333	0.641988444	0.236523652	27	0.291126819	0.143241468
FAV_Echinopora_mammiformis	'FAV_Echinopora_mammiformis'	105.2857143	0.793901549	0.000678887	27	0.291126819	0.143241468
OCU_Galaxea_astreata	'OCU_Galaxea_astreata'	296.3478261	0.74183135	0.139241456	26	0.258673969	0.173267011
OCU_Galaxea_fascicularis	'OCU_Galaxea_fascicularis'	219.3333333	0.779774933	0.287891571	26	0.258673969	0.173267011
FAV_Diploastrea_heliopora	'FAV_Diploastrea_heliopora'	261.1	0.764036207	0.205455501	25	0.159326209	0.110665773
FAV_Favia_pallida	'FAV_Favia_pallida'	89	0.793901549	0	25	0.159326209	0.110665773
MER_Hydnophora_exesa	'MER_Hydnophora_exesa'	119.1666667	0.640230662	0.00039753	24	0.155462185	0.104066431
AGA_Pavona_varians	'AGA_Pavona_varians'	330.7391304	0.665742693	0.001118568	23	0.090909091	0.090909091
FAV_Caulastraea_furcata	'FAV_Caulastraea_furcata'	356	0.520031576	0	22	0.083333333	0.083333333
FAV_Cyphastrea_serailia	'FAV_Cyphastrea_serailia'	109.5	0.5723888	0	22	0.083333333	0.083333333
FAV_Montastraea_curta	'FAV_Montastraea_curta'	104.3333333	0.666803488	0.0000827	21	0.071428571	0.071428571
FAV_Goniastrea_edwardsi	'FAV_Goniastrea_edwardsi'	242	0.722506363	0	20	0.051245745	0.025222318
FAV_Goniastrea_favulus	'FAV_Goniastrea_favulus'	265.7777778	0.742391324	0.010448092	20	0.051245745	0.025222318
AGA_Pachyseris	'AGA_Pachyseris'	114.6666667	0.728550926	0.003308031	19	0.0001	0
EUP_Physogyra_lichtensteini	'EUP_Physogyra_lichtensteini'	163.0666667	0.764990642	0	19	0.0001	0
FAV_Leptastrea_transversa	'FAV_Leptastrea_transversa'	312	0.667493632	0	19	0.0001	0
MER_Merulina_ampliata	'MER_Merulina_ampliata'	90.625	0.653568103	0.015463918	19	0.0001	0
MUS_Acanthastrea_hillae	'MUS_Acanthastrea_hillae'	145	0.656761213	0.000662252	19	0.0001	0
PEC_Mycedium_elephantotus	'PEC_Mycedium_elephantotus'	216.3333333	0.674168589	0	19	0.0001	0
POR_Alveopora	'POR_Alveopora'	175	0.714135981	0.690486993	19	0.0001	0
POR_Porites_cylindrica	'POR_Porites_cylindrica'	99.33333333	0.527892641	0.0000113	19	0.0001	0
SID_Psammocora_contigua	'SID_Psammocora_contigua'	56	0.405737586	0.003067485	19	0.0001	0
SID_Psammocora_digitata	'SID_Psammocora_digitata'	266.3333333	0.635077424	0.195216908	19	0.0001	0
