host_genus,Unnamed: 0,sum_total,sum_dis,sum_healthy,sum_bbd,sum_wd,perc_healthy,perc_dis,perc_bbd,perc_wd,n_samples_tissue,faith_pd_tissue,observed_features_tissue,gini_index_tissue,dominance_tissue,simpson_e_tissue,most_abundant_domain_tissue,most_abundant_phylum_tissue,most_abundant_class_tissue,most_abundant_order_tissue,most_abundant_family_tissue,most_abundant_genus_tissue,n_samples_skeleton,faith_pd_skeleton,observed_features_skeleton,gini_index_skeleton,dominance_skeleton,simpson_e_skeleton,most_abundant_domain_skeleton,most_abundant_phylum_skeleton,most_abundant_class_skeleton,most_abundant_order_skeleton,most_abundant_family_skeleton,most_abundant_genus_skeleton,n_samples_mucus,faith_pd_mucus,observed_features_mucus,gini_index_mucus,dominance_mucus,simpson_e_mucus,most_abundant_domain_mucus,most_abundant_phylum_mucus,most_abundant_class_mucus,most_abundant_order_mucus,most_abundant_family_mucus,most_abundant_genus_mucus,n_samples_all,faith_pd_all,observed_features_all,gini_index_all,dominance_all,simpson_e_all,most_abundant_domain_all,most_abundant_phylum_all,most_abundant_class_all,most_abundant_order_all,most_abundant_family_all,most_abundant_genus_all
Acanthastrea,1,109,0,99,0,0,90.82568807,0,0,0,6,62.67279931,148,0.919874163,0.066191333,0.191264915,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas,5,103.7685901,284.2,0.897020126,0.026252,0.190650774,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae,D_0__Bacteria;D_1__Bacteroidetes;D_2__Chlorobia;D_3__Chlorobiales;D_4__Chlorobiaceae;D_5__Prosthecochloris,3,10.83787133,18,0.88319697,0.571407333,0.245715853,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Stappiaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Stappiaceae;D_5__Pseudovibrio,14,66.24238287,168.7857143,0.961560227,0.160187857,0.202713637,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Stappiaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Stappiaceae;D_5__Pseudovibrio
Acropora,2,31786,1158,27465,179,171,86.40596489,3.64311332,0.563141005,0.537972692,22,22.58586687,45.77272727,0.975166144,0.159562091,0.231165436,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas,18,22.80728527,46.55555556,0.971686927,0.167724778,0.19881452,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas,22,23.09931386,47.68181818,0.96751221,0.129091273,0.21064811,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas,62,22.8323405,46.67741935,0.988684074,0.151119677,0.214492893,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas
Agaricia,3,9345,65,9280,0,4,99.30444088,0.695559123,0,0.042803638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiptasia,,,,,,,,,,,2,132.4773054,339.5,0.7313728,0.015463,0.235191484,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;__,5,,,,,,,,,,,,2,,,,,,,,,,,,2,132.4773054,339.5,0.7313728,0.015463,0.235191484,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;__
Alveopora,4,267,2,262,0,1,98.12734082,0.74906367,0,0.374531835,3,98.92810501,241,0.861622087,0.171069333,0.043264658,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,2,71.96094387,155.5,0.84133564,0.052646,0.137430681,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales,D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales;D_4__Pirellulaceae,Unassigned;__;__;__;__;__,2,9.567684612,21.5,0.751666667,0.172285,0.279682292,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingobium,7,65.69165314,153.8571429,0.938489472,0.137581429,0.137717131,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas
Anacropora,5,20,0,14,0,0,70,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrea,,,,,,,,,,,3,19.77749376,29,0.927466667,0.419806,0.127639257,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae;D_5__uncultured,2,43.97507372,99.5,0.829375635,0.299079,0.088807029,D_0__Bacteria,Unassigned;__,Unassigned;__;__,Unassigned;__;__;__,Unassigned;__;__;__;__,Unassigned;__;__;__;__;__,2,14.30882378,30,0.815108696,0.168942,0.200087476,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Aquabacterium,7,25.1286109,49.42857143,0.950141353,0.313637143,0.137243826,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae;D_5__uncultured
Astreopora,6,595,1,478,0,0,80.33613445,0.168067227,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelia,,,,,,,,,,,2,15.52740765,26.5,0.804230769,0.221875,0.182285459,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Mycoplasmatales,D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Mycoplasmatales;D_4__Mycoplasmataceae,D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Mycoplasmatales;D_4__Mycoplasmataceae;D_5__Mycoplasma,5,,,,,,,,,,,,4,,,,,,,,,,,,2,15.52740765,26.5,0.804230769,0.221875,0.182285459,D_0__Bacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Mycoplasmatales,D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Mycoplasmatales;D_4__Mycoplasmataceae,D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Mycoplasmatales;D_4__Mycoplasmataceae;D_5__Mycoplasma
Australogyra,7,2,0,2,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
