"","host_genus","sum_total","sum_dis","sum_healthy","sum_bbd","sum_wd","perc_healthy","perc_dis","perc_bbd","perc_wd"
"1","Acanthastrea",109,0,99,0,0,90.8256880733945,0,0,0
"2","Acropora",31786,1158,27465,179,171,86.4059648902032,3.64311332032971,0.563141005474108,0.537972692380293
"3","Agaricia",9345,65,9280,0,4,99.3044408774746,0.695559122525415,0,0.0428036383092563
"4","Alveopora",267,2,262,0,1,98.12734082397,0.749063670411985,0,0.374531835205993
"5","Anacropora",20,0,14,0,0,70,0,0,0
"6","Astreopora",595,1,478,0,0,80.3361344537815,0.168067226890756,0,0
"7","Australogyra",2,0,2,0,0,100,0,0,0
"8","Barabattoia",8,0,8,0,0,100,0,0,0
"9","Blastomussa",1,0,1,0,0,100,0,0,0
"10","Cataphyllia",13,0,13,0,0,100,0,0,0
"11","Caulastrea",159,3,145,0,1,91.1949685534591,1.88679245283019,0,0.628930817610063
"12","Cirrhipathes",2,0,2,0,0,100,0,0,0
"13","Cladacora",23,0,23,0,0,100,0,0,0
"14","Coeloseris",97,1,90,1,0,92.7835051546392,1.03092783505155,1.03092783505155,0
"15","Colpophyllia",2383,44,2339,9,3,98.1535879143936,1.84641208560638,0.377675199328577,0.125891733109526
"16","Coscinaraea",6,0,6,0,0,100,0,0,0
"17","Coscinaria",102,0,99,0,0,97.0588235294118,0,0,0
"18","Ctenactis",64,0,61,0,0,95.3125,0,0,0
"19","Cycloseris",238,5,233,0,0,97.8991596638655,2.10084033613445,0,0
"20","Cynaria",0,0,0,0,0,NA,NA,NA,NA
"21","Cyphastrea",2539,550,1940,1,7,76.4080346593147,21.6620716817645,0.0393855848759354,0.275699094131548
"22","Dendrogyra",9,0,9,0,0,100,0,0,0
"23","Dichocoenia",4559,58,4501,6,17,98.7277911822768,1.27220881772318,0.131607808729985,0.372888791401623
"24","Diploastrea",284,2,275,0,2,96.830985915493,0.704225352112676,0,0.704225352112676
"25","Diploria",828,16,812,1,1,98.0676328502416,1.93236714975845,0.120772946859903,0.120772946859903
"26","Echinophyllia",542,3,492,0,3,90.7749077490775,0.55350553505535,0,0.55350553505535
"27","Echinopora",2078,39,1910,7,10,91.9153031761309,1.87680461982676,0.336862367661213,0.481231953801732
"28","Euphyllia",91,0,91,0,0,100,0,0,0
"29","Eusmilia",931,17,914,0,1,98.1740064446831,1.82599355531686,0,0.107411385606874
"30","Favia",2825,16,2645,1,7,93.6283185840708,0.566371681415929,0.0353982300884956,0.247787610619469
"31","Favites",2391,14,2230,1,9,93.2664157256378,0.585529067335843,0.0418235048097031,0.376411543287327
"32","Fungia",2417,76,2165,0,7,89.573851882499,3.14439387670666,0,0.28961522548614
"33","Galaxea",3014,110,2582,1,61,85.6668878566689,3.64963503649635,0.033178500331785,2.02388852023889
"34","Gardineroseris",10,0,10,0,0,100,0,0,0
"35","Goniastrea",1736,5,1639,0,2,94.4124423963134,0.288018433179724,0,0.115207373271889
"36","Goniopora",37383,55,35577,1,34,95.1689270524035,0.14712569884707,0.00267501270631035,0.0909504320145521
"37","Halomitra",37,0,37,0,0,100,0,0,0
"38","Heliofungia",42,0,42,0,0,100,0,0,0
"39","Helioseris",129,2,127,0,0,98.4496124031008,1.55038759689922,0,0
"40","Herpolitha",93,0,87,0,0,93.5483870967742,0,0,0
"41","Hydnophora",611,19,549,0,3,89.8527004909984,3.10965630114566,0,0.490998363338789
"42","Isophyllia",72,0,72,0,0,100,0,0,0
"43","Leptastrea",1924,109,1783,1,0,92.6715176715177,5.66528066528067,0.051975051975052,0
"44","Leptoria",188,7,169,0,2,89.8936170212766,3.72340425531915,0,1.06382978723404
"45","Leptoseris",286,0,268,0,0,93.7062937062937,0,0,0
"46","Lithophyllon",12,0,12,0,0,100,0,0,0
"47","Lobophyllia",2346,74,2141,1,63,91.2617220801364,3.15430520034101,0.0426257459505541,2.68542199488491
"48","Lobophytum",1,0,1,0,0,100,0,0,0
"49","Madracis",1384,7,1377,1,1,99.4942196531792,0.505780346820809,0.0722543352601156,0.0722543352601156
"50","Manicina",181,2,179,0,0,98.8950276243094,1.10497237569061,0,0
"51","Meandrina",1497,23,1474,0,2,98.4635938543754,1.53640614562458,0,0.133600534402138
"52","Merulina",915,12,781,0,3,85.3551912568306,1.31147540983607,0,0.327868852459016
"53","Micromussa",0,0,0,0,0,NA,NA,NA,NA
"54","Montastraea",11339,233,11106,18,19,97.9451450745216,2.05485492547844,0.158744157333098,0.167563277184937
"55","Montipora",96439,9324,85831,277,554,89.0003007082197,9.66828772592001,0.287228196061759,0.574456392123519
"56","Moseleya",49,0,48,0,0,97.9591836734694,0,0,0
"57","Mussa",159,3,156,0,1,98.1132075471698,1.88679245283019,0,0.628930817610063
