Species	Unknown_disease_FRRP	Black_band_disease_FRRP	Dark_spots_FRRP	Red_band_FRRP	White_band_FRRP	White_plague_FRRP	White_spot_FRRP	Yellow_band_FRRP	Algal_infection_HICORDIS	Algal_overgrowth_HICORDIS	Black_band_disease_HICORDIS	Bleaching_HICORDIS	Ciliates_HICORDIS	Corallophila_huysmansii_HICORDIS	Cyanobacteria_HICORDIS	Discoloration_HICORDIS	Endolithic_fungal_infection_HICORDIS	Endolithic_hypermycosis_HICORDIS	Gear_entanglement_HICORDIS	Growth_anomalies_HICORDIS	Macroalgal_overgrowth_HICORDIS	No_Disease_HICORDIS	Pigmentation_response_HICORDIS	Predation_HICORDIS	Recently_denuded_skeleton_HICORDIS	Swollen_patches_HICORDIS	Tissue_loss_HICORDIS	Trematodiasis_HICORDIS	White_syndrome_HICORDIS	Total_diseased_Lamb_et_al	Total_compromised_or_bleached_Lamb_et_al	White_syndrome_Lamb_et_al	Black_band_disease_Lamb_et_al	Brown_band_Lamb_et_al	Skeletal_eroding_band_Lamb_et_al	Growth_anomalies_Lamb_et_al
ACR_Acropora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.913043478	0.043478261	0.043478261	0	0	0	0	0	0.032283546	0.108321599	0.004979909	0.006147611	0.005460727	0.014493251	0.001030326
ACR_Acropora_cervicornis	0.948	0	0	0	2.212	0	0	0																												
ACR_Acropora_cytherea									0	0.016073479	0	0.035017222	0	0	0.001722158	0.003444317	0	0	0	0.013777268	0.001148106	0.897244546	0.001722158	0.001722158	0.001148106	0	0.023536165	0	0.003444317							
ACR_Acropora_humilis									0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0.833333333	0	0	0	0	0	0	0							
ACR_Acropora_nasuta									0	0.428571429	0	0	0	0	0	0	0	0	0	0	0	0.571428571	0	0	0	0	0	0	0							
ACR_Acropora_palmata	0	0	0	0	5.479	0	5.479	0																												
ACR_Acropora_valida									0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0							
ACR_Anacropora																														0	0.3	0	0	0	0	0
ACR_Astreopora																														0.001680672	0.194957983	0	0	0	0.001680672	0
ACR_Montipora									0	0	0	0.323571429	0	0	0	0	0	0	0	0.025	0	0.604285714	0	0	0	0	0.047142857	0	0	0.02675643	0.221128949	0.008631107	0.005351286	0.001208355	0.009321595	0.000690489
ACR_Montipora_captitata									0.000235922	0.004010671	0.003883636	0.053282035	1.81E-05	0	0.000272217	0.002141444	0	0	0	0.002776618	0.000617026	0.909551204	0.00016333	0.001234053	0	0	0.014028274	0	0.00778542							
ACR_Montipora_flabellata									0.000838574	0.004472397	0.000139762	0.260097834	0	0	0	0.004192872	0	0	0	0.001257862	0.001257862	0.718937806	0	0.001677149	0	0	0.006149546	0	0.000978337							
ACR_Montipora_incrassata									0	0.005617978	0	0.129213483	0	0	0	0	0	0	0	0	0	0.859550562	0	0.005617978	0	0	0	0	0							
ACR_Montipora_patula									0.000327678	0.00054613	0.001128668	0.034697444	0	0	0	0.005461298	0.000182043	0	0	0.002621423	0.00080099	0.946078788	0.00054613	0.001820433	0	0	0.003313187	0	0.002475788							
ACR_Montipora_verrilli									0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0							
AGA_Agaricia	0	0	1.402	0	0	0	0	0																												
AGA_Agaricia_agaricites	0.113	0	0.243	0	0	0.081	0	0.016																												
AGA_Agaricia_fragilis	0	0	0	0	0	0	0	0																												
AGA_Agaricia_humilis	0	0	0	0	0	0	0	0																												
AGA_Agaricia_lamarcki	0	0	0.716	0	0	0	0	0																												
AGA_Agaricia_tenuifolia	0	0	0	0	0	0	0	0																												
AGA_Gardineroseris_planulata									0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0							
