map$host_genus	pcrtubeno	qiita_study_id	daily_replicate	depth	temperature	surface_temperature	salinity	oxygen	photosynthetically_active_radiation	compartment_replicates	colony_height_m	colony_width1	colony_width2	tissue_loss_percent	disease_percent	cyanobacteria_percent	turf_contact_percent	n_algal_contacts	n_macroalgal_contacts	cca_contact_percent	parrotfish_bites	oz_disease_mean	oz_disease_sd	Colony.maximum.diameter	Corallite.width.maximum	Corallite.width.minimum	Depth.lower	Depth.upper	Eastern.most.range.edge	Northern.most.range.edge	Oocyte.size.at.maturity	Propagule.size.on.release.max	Propagule.size.on.release.mean	Range.size	Skeletal.density	Species.age.phylogeny	Western.most.range.edge	prop_Colony_maximum_GCMP_recorded	prop_Colony_maximum_diameter_universal	prop_Colony_maximum_diameter	Colony_maximum_diameter	Colony_maximum_GCMP_recorded	Colony_maximum_diameter_universal
Acanthastrea	1012	10895	1	7.89	25.545	NA	NA	NA	NA	1	3.25	14.666666666666666	7.5	1.1666666666666667	1.1666666666666667	0	2.5	0.6666666666666666	0	NA	NA	0	0	NA	NA	NA	50	0	-137.3474436	36.03063196	443	NA	NA	87027456.89	NA	2.477278083	26.9928024	NA	NA	NA	NA	NA	NA
Acropora	420.34375	10895	1.8333333333333333	2.833025	26.401145833333334	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0625	0.09375	NA	0.34375	0.03125	NA	NA	1.5872517355937499	0.4714898408125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiptasia	883.5	10895	1.5	7.62	27.8	NA	NA	NA	NA	1	NA	NA	NA	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alveopora	66.44444444444444	10895	2	3.1333333333333333	20	NA	NA	NA	NA	1	11.666666666666666	15.666666666666666	11.333333333333334	0	0	0	0	0	0	0	NA	0	0	NA	3.7	2.4	10	5	-137.920347	30.46037577	NA	NA	NA	77706975.51	NA	1.409238893	26.6373866	NA	NA	NA	NA	NA	NA
Astrea	44.375	10895	1.375	1	21	NA	NA	NA	NA	1	20	26.75	20.875	0	0	0	0	0	0	0	NA	0.071428571	0.071428571	NA	9.3	7	NA	NA	-105.6174365	37.73141759	360	352	NA	96297353.66	NA	0.867444078	30.231029	NA	NA	NA	NA	NA	NA
Aurelia	915.3333333333334	10895	1.3333333333333333	0.9133333333333333	27.433333333333334	NA	NA	NA	NA	1	NA	NA	NA	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caulastraea	580.5	10895	1	3.3528	23.9	NA	NA	NA	NA	1	80	100	70	0	0	5	40	3	1	0	NA	NA	NA	500	12.8	7.2	30	2	-167.0228735	28.95494545	NA	NA	NA	52492279.76	NA	0.501378569	38.5110143	1	1	NA	NA	100	100
Coscinaraea	901.3333333333334	10895	1.3333333333333333	7.316666666666666	26.46666666666667	NA	NA	NA	NA	1	3.3333333333333335	18	19	3.3333333333333335	0	NA	NA	2.6666666666666665	0.6666666666666666	NA	NA	NA	NA	NA	50	NA	52	0	140.2016353	36.3281789	NA	NA	NA	50668556.27	NA	1.229019292	23.552977	NA	NA	NA	NA	NA	NA
Ctenactis	977	10895	1	15.24	26.1	NA	NA	NA	NA	1	1	8	3	0	0	30	60	2	0	10	NA	0	0	NA	284	NA	20	1	-163.7319027	37.15099707	NA	266	NA	60386029.47	NA	2.921805755	31.6073951	NA	NA	NA	NA	NA	NA
Cyphastrea	461.14285714285717	10895	1.619047619047619	2.1973333333333334	24.062857142857144	NA	NA	NA	NA	1	33.142857142857146	29.476190476190474	28.571428571428573	3.5714285714285716	0	2.0476190476190474	9.285714285714286	0.6190476190476191	NA	0	NA	0.083333333	0.083333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danafungia	857	10895	1	5.79	27.2	NA	NA	NA	3400	1	3	5	5	0	0	0	0	0	0	0	NA	0.078431373	0.078431373	24	111	NA	27	1	-133.9576388	30.95417712	NA	NA	NA	72200158.22	NA	1.909423687	31.3859336	NA	NA	NA	NA	NA	NA
Dendrophyllia	993.3333333333334	10895	1.5	0.3	21.1	NA	NA	NA	NA	1	2.5	1	2	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Diploastrea	386.69620253164555	10895	1.8354430379746836	4.7147240506329116	27.462025316455698	NA	NA	NA	NA	1	NA	NA	NA	NA	0	0.8734177215189873	NA	0.379746835443038	NA	NA	NA	0	0	500	9	7	30	0	-167.1916889	30.8119151	290	NA	NA	70449346.41	NA	64.52281751	31.7583974	NA	NA	NA	NA	NA	NA
Diploria	809	10895	1.3333333333333333	6.190933333333333	27.333333333333332	NA	NA	NA	NA	1	18.333333333333332	9.333333333333334	9.666666666666666	NA	NA	0	0	0.3333333333333333	0.3333333333333333	NA	NA	NA	NA	32.33	5.8	4.3	43	1	NA	NA	NA	NA	NA	NA	1.395	1.328614072	NA	NA	NA	NA	NA	NA	NA
Dipsastraea	150.45454545454547	10895	1.8181818181818181	1.6	21	NA	NA	NA	NA	1	15.090909090909092	15.363636363636363	30.636363636363637	0	0	0	0	0	0	0	NA	0.159326209	0.110665773	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5389610390909091	0.5389610390909091	NA	NA	60.45454545454545	60.45454545454545
Distichopora	851	10895	1	7.92	27.2	NA	NA	NA	3000	1	1	0.1	0.5	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Echinophyllia	1037.4666666666667	10895	1	7.79648	23.824	NA	NA	NA	NA	1	14.4	13.8	8.4	0	0	1	9.2	1.2	0	2	NA	0	0	NA	10.74	9.040000000000001	NA	NA	-71.76954148000002	36.992392426	NA	NA	NA	85334293.03999999	NA	0.3155722718	26.985714859999998	NA	NA	NA	NA	NA	NA
Echinopora	640.3414634146342	10895	1.2439024390243902	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0	NA	NA	NA	0.07317073170731707	NA	NA	0.291126819	0.143241468	500	5.339024390243902	3.668292682926829	NA	NA	-151.2341889317073	32.44952138902439	NA	NA	NA	73746286.63804878	NA	3.9255440870487806	36.560422190243905	NA	NA	NA	NA	NA	NA
Eguchipsammia	1002.1666666666666	10895	1.5	0.3	21.1	NA	NA	NA	NA	1	4.5	3.5	3	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3614695509999999	NA	NA	NA	NA	NA	NA	NA
Entacmaea	1043	10895	1	4.88	26.7	NA	NA	NA	6400	1	7	10	15	0	0	0	5	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Favites	335.5925925925926	10895	1.2592592592592593	1.7598222222222222	21.644444444444446	NA	NA	NA	NA	1.1111111111111112	19.59259259259259	30.75925925925926	28.01851851851852	0	0	1.6666666666666667	8.88888888888889	0.4444444444444444	0.3333333333333333	0	NA	0.973956011	0.769414598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fungid	781.25	10895	1.125	4.4958	25.69625	NA	NA	NA	NA	1	NA	NA	NA	NA	0	1.25	NA	0.375	0	NA	NA	0.078431373	0.078431373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Galaxea	791.7	10895	1.14	4.331304	25.6248	NA	NA	NA	NA	1	NA	NA	NA	NA	0	NA	NA	0.86	0.18	NA	NA	0.258673969	0.173267011	356	7.34	4.648	NA	NA	-152.377472128	36.849277705599995	NA	NA	NA	78293764.324	NA	2.38502427504	31.646372808	NA	NA	NA	NA	NA	NA
Gardineroseris	665	10895	1.75	3.55	28.75	NA	NA	NA	NA	1	81.25	137.5	95	0	0	0	0.25	0	0.5	0	NA	0	0	NA	5	1.4	NA	NA	-75.01978992	35.84682684	NA	NA	NA	124813242.2	1.63	4.96591914	26.4498211	NA	NA	NA	NA	NA	NA
Goniastrea	440.7894736842105	10895	1.263157894736842	1.9126315789473685	22.34842105263158	NA	NA	NA	NA	1	11	20.842105263157894	16.263157894736842	0	0	0.7894736842105263	1.736842105263158	0.47368421052631576	0.2631578947368421	1.5789473684210527	NA	0.051245745	0.025222318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Goniopora	992.7777777777778	10895	1	4.69	26.3	NA	NA	NA	NA	1	14	31.333333333333332	33.333333333333336	0.6666666666666666	0	3.6666666666666665	8.333333333333334	1.3333333333333333	0	NA	NA	1.333333333	1.333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heliopora	1334.6666666666667	10895	1	1.2192	23.9	NA	NA	NA	NA	1	40	100	60	0	0	2	10	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	100	100
Herpolitha	962	10895	1	3.35	26.7	NA	NA	NA	7600	1	2	5	12	0	0	10	5	2	0	10	NA	0	0	NA	370	NA	30	1	-136.3256567	31.34657239	NA	NA	NA	91196123.18	NA	5.198692381	29.8356783	NA	NA	NA	NA	NA	NA
Heteractis	1022	10895	1	4.88	26.7	NA	NA	NA	10500	1	10	15	10	0	0	10	20	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Homophyllia	54	10895	2	1	21	NA	NA	NA	NA	1	25.333333333333332	50	29.333333333333332	0	0	2	0	0	1	0	NA	0	0	150	85.7	32.7	20	2	-174.7687096	38.68167919	NA	NA	NA	76509631.79	NA	12.68581402	30.6437165	NA	NA	NA	NA	NA	NA
Hydnophora	700.6190476190476	10895	1.1428571428571428	2.409885714285714	25.22	NA	NA	NA	NA	1	22.857142857142858	38	40.42857142857143	2.857142857142857	0	0.7142857142857143	4.285714285714286	0.42857142857142855	0	12.857142857142858	NA	0.155462185	0.104066431	NA	5.6571428571428575	3.257142857142857	NA	NA	-154.1909449	36.52256444857143	NA	NA	NA	90457797.08857143	NA	1.725706003285714	24.41830747142857	NA	NA	NA	NA	NA	NA
Isopora	533.8181818181819	10895	1.7272727272727273	1.2918545454545454	22.318181818181817	NA	NA	NA	NA	1	29.545454545454547	27.818181818181817	23.636363636363637	0	0	0.5454545454545454	2.272727272727273	0.7272727272727273	0	0	NA	0.472734632	0.174204206	NA	1.4	0.7	20	2	-176.1832106	30.04437901	249	NA	1459	78706897.7	1.52	5.265550916	26.4797142	NA	NA	NA	NA	NA	NA
Leptastrea	562.3333333333334	10895	1	1.524	23.9	NA	NA	NA	NA	1	1	9	5	0	0	10	30	2	0	0	NA	0	0	NA	9.2	5.4	NA	NA	-134.2917403	32.22258836	NA	NA	NA	108142246.8	NA	3.408186422	30.2131105	1	1	NA	NA	9	9
Leptoria	1132.5	10895	1	6.12	24.72	25	NA	NA	NA	1	30	40	35	2.5	2.5	5.5	3	2	0	3	NA	0.25	0.25	NA	3.5	2.6	30	0	-137.4044294	34.40698997	474	NA	450	94564045.49	1.61	6.836932731	31.7385635	NA	NA	NA	NA	NA	NA
Lithophyllon	1069	10895	1.5	6.096	30	NA	NA	NA	NA	1	2.25	14	14	0	0	NA	41	1	NA	0	NA	0	0	30	150	150	30	1	-138.649341	30.59327695	NA	NA	NA	75355627.5	NA	1.526777373	31.0578426	NA	NA	NA	NA	NA	NA
Lobophyllia	785.4814814814815	10895	1.1111111111111112	5.069444444444445	25.326666666666668	NA	NA	NA	NA	1	NA	NA	NA	NA	0	1.5	NA	0.8888888888888888	0.05555555555555555	NA	NA	1.0053323413333333	0.5466021288333334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lobophytum	1063.4	10895	1	9.45168	24.224	NA	NA	NA	NA	1	7	8.4	8.8	0	0	4	11	1.4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Macrorhynchia	919.5	10895	1	4.88	26.1	NA	NA	NA	4600	1	8	2	2	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Merulina	500.5	10895	1.9	2.9499999999999997	25.8	NA	NA	NA	NA	1	10.5	19.8	20.1	1	0	0	1	0.2	0.1	0.5	NA	0	0	NA	6.2	3.8	50	0	-136.6116126	36.87294855	286	NA	339	85569666.14	NA	0.316264545	32.0922935	NA	NA	NA	NA	NA	NA
Millepora	814.4285714285714	10895	1.1428571428571428	4.550628571428572	25.747142857142858	NA	NA	NA	NA	1	NA	NA	NA	NA	0	0.14285714285714285	NA	0.5714285714285714	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Missing: Not collected	NA	10895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mnemiopsis	887	10895	1	0.61	27.8	NA	NA	NA	NA	1	NA	NA	NA	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Montastraea	778.5	10895	3.142857142857143	4.441371428571428	28	NA	NA	NA	NA	1	17	13.285714285714286	5.714285714285714	NA	NA	0	NA	0.7857142857142857	0.7857142857142857	NA	NA	NA	NA	250	10	7	113	0.5	NA	NA	NA	NA	NA	NA	1.6	57.71184913	NA	NA	NA	NA	NA	NA	NA
Montipora	748.875	10895	1.75	1.8774000000000002	25.705	NA	NA	NA	NA	1	24.5	48.25	43.875	1.875	5.625	0.25	0.75	0.375	NA	0	NA	0.46822174	0.251750777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mycedium	902	10895	1	8.53	26.1	NA	NA	NA	1600	1	5	27	22	50	0	5	1	1	0	0	NA	0	0	300	10	7.5	NA	NA	-136.8543303	37.65991198	347	430	NA	79243882.14	NA	0.222233555	31.1960231	NA	NA	NA	NA	NA	NA
Not applicable	856.8837209302326	10895	1.1162790697674418	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Orbicella	669.741935483871	10895	2.096774193548387	5.535174193548387	26.838709677419356	NA	NA	NA	NA	1	79.74193548387096	78.7741935483871	60.25806451612903	NA	NA	0	NA	0.7419354838709677	0.25806451612903225	NA	NA	NA	NA	529.0322580645161	NA	NA	63.03225806451613	0.5	NA	NA	NA	NA	NA	NA	1.4682750136129032	0.249039798	NA	NA	NA	NA	NA	NA	NA
Oxypora	1018	10895	1	2.74	26.7	NA	NA	NA	12000	1	10	29	29	0	0	0	5	1	0	0	NA	0	0	NA	8.8	6.1	30	3	-167.2003788	37.65991198	NA	NA	NA	83154632.2	NA	1.536143972	31.486416	NA	NA	NA	NA	NA	NA
Pachyseris	773.2941176470588	10895	1.0294117647058822	6.672341176470588	25.755588235294116	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	0	33.705882352941174	4.664705882352941	2.335294117647059	NA	NA	-151.91012586176473	34.82691011176471	322.0882352941176	NA	NA	76832152.27058823	NA	1.5485126318235294	27.29896111764706	NA	NA	NA	NA	NA	NA
Palythoa	864.4375	10895	1.3125	1.93435	26.4	NA	NA	NA	NA	1	NA	NA	NA	NA	0	6.875	NA	1.5625	0.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pavona	786.4719101123595	10895	1.7078651685393258	4.431249438202247	26.629550561797753	NA	NA	NA	NA	1	NA	NA	NA	NA	0.3707865168539326	1.6853932584269662	NA	0.8764044943820225	0.06741573033707865	NA	NA	0.090909091	0.090909091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pectinia	1070.5	10895	1.5	3.8100000000000005	30	NA	NA	NA	NA	1	35.5	75	62.5	0.5	0	0	10	0.5	0	0	NA	0	0	100	30	27.5	15	3	-176.0573595	37.95030478	NA	NA	NA	60139203.62	NA	1.176105374	32.93838	NA	NA	NA	NA	NA	NA
Physogyra	562.6666666666666	10895	1.2	2.98496	26.759999999999998	NA	NA	NA	NA	1	NA	NA	NA	NA	0	1.2	NA	0.8	0	NA	NA	0	0	100	20	6	20	1	-173.2615884	33.94501258	NA	NA	NA	78301486.65	NA	1.648875415	30.6437165	0.4775	0.382	0.382	100	80	100
Platygyra	604.6666666666666	10895	1.6	2.554	25.68	NA	NA	NA	NA	1	16	24.4	19	1	0	5	14	0.8	0.4	1	NA	1.174393091	0.642290372	NA	8.02	4.3	NA	NA	-134.81035368000002	37.82203441	422.8	377.8	NA	92692117.148	NA	3.3446084382	28.0596479	NA	NA	NA	NA	NA	NA
Plerogyra	975.6666666666666	10895	1.6666666666666667	5.749573333333333	26.98	NA	NA	NA	NA	1.0666666666666667	NA	NA	NA	0	0	NA	NA	1.1333333333333333	0	NA	NA	0	0	100	30	15	NA	NA	-136.4118726	31.02818888	NA	NA	NA	80163066.15	NA	0.336292355	31.6932036	NA	NA	NA	NA	NA	NA
Pocillopora	714.1772151898734	10895	1.7088607594936709	4.117225316455696	25.50632911392405	NA	NA	NA	NA	1	13.746835443037975	23.354430379746834	20.20253164556962	NA	0	NA	NA	0.4810126582278481	NA	NA	NA	2.6374593898354433	1.140832348670886	NA	0.9316455696202531	0.6860759493670886	NA	NA	-75.82638230417722	35.70030004835443	NA	NA	NA	113902419.91696203	NA	1.8904685661392404	42.96449305316456	NA	NA	NA	NA	NA	NA
Podabacia	958.5	10895	1	12.5	26.1	NA	NA	NA	NA	1	10	35	25	0	0	0	5	0.5	0	10	NA	0	0	100	2.7	2	20	10	45.6578949	31.08541355	NA	NA	NA	1234095.094	NA	0.593460083	31.7140247	NA	NA	NA	NA	NA	NA
Porites	708.0105263157894	10895	1.7157894736842105	3.740416842105263	25.588315789473686	NA	NA	NA	NA	1	NA	NA	NA	NA	0.631578947368421	1.1263157894736842	NA	0.9473684210526315	0.28421052631578947	NA	NA	0.5274900049789474	0.1923303002842105	NA	1.1378947368421053	0.8747368421052631	NA	NA	-73.07470372168422	36.606828923473685	NA	NA	NA	94068062.04806316	NA	2.857697288968421	20.30093104105263	NA	NA	NA	NA	NA	NA
Psammocora	748.2105263157895	10895	1.9473684210526316	2.9133473684210527	26.489473684210527	NA	NA	NA	NA	1	6.368421052631579	10.157894736842104	6.684210526315789	0	0	1.8421052631578947	5.157894736842105	1.105263157894737	0.6842105263157895	0	NA	0	0	NA	2.2578947368421054	1.7789473684210526	NA	NA	-86.80389105473684	33.47184355473684	NA	NA	NA	61584588.85473684	NA	1.7734675417368422	93.80818207894737	NA	NA	NA	NA	NA	NA
