host_genus	Unnamed: 0	sum_total	sum_dis	sum_healthy	sum_bbd	sum_wd	sum_seb	percent_healthy	percent_diseased	percent_black_band_disease	percent_white_disease	percent_skeletal_eroding_band	n_samples_tissue	faith_pd_tissue	observed_features_tissue	gini_index_tissue	dominance_tissue	simpson_e_tissue	most_abundant_domain_tissue	most_abundant_phylum_tissue	most_abundant_class_tissue	most_abundant_order_tissue	most_abundant_family_tissue	most_abundant_genus_tissue	n_samples_skeleton	faith_pd_skeleton	observed_features_skeleton	gini_index_skeleton	dominance_skeleton	simpson_e_skeleton	most_abundant_domain_skeleton	most_abundant_phylum_skeleton	most_abundant_class_skeleton	most_abundant_order_skeleton	most_abundant_family_skeleton	most_abundant_genus_skeleton	n_samples_mucus	faith_pd_mucus	observed_features_mucus	gini_index_mucus	dominance_mucus	simpson_e_mucus	most_abundant_domain_mucus	most_abundant_phylum_mucus	most_abundant_class_mucus	most_abundant_order_mucus	most_abundant_family_mucus	most_abundant_genus_mucus	n_samples_all	faith_pd_all	observed_features_all	gini_index_all	dominance_all	simpson_e_all	most_abundant_domain_all	most_abundant_phylum_all	most_abundant_class_all	most_abundant_order_all	most_abundant_family_all	most_abundant_genus_all
Acanthastrea	1.0	109.0	0.0	99.0	0.0	0.0	0.0	90.8256880733945	0.0	0.0	0.0	0.0																																																
Acropora	2.0	31786.0	1158.0	27465.0	179.0	171.0	422.0	86.40596489020321	3.6431133203297104	0.563141005474108	0.5379726923802929	1.32762851569874	18	22.089649033789783	47.111111111111114	0.9702493325118096	0.1626661111111111	0.23955761000988884	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas	14	19.49287790091109	43.42857142857143	0.9600320855614972	0.1631697142857143	0.2138967909654085	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas	20	23.867036931660245	50.15	0.9636131578947367	0.1097564	0.21280347306603625	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas	52	22.074129074118773	47.28846153846154	0.9860974520528974	0.1424518076923077	0.2223588752887393	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas
Agaricia	3.0	9345.0	65.0	9280.0	0.0	4.0	0.0	99.30444087747459	0.695559122525415	0.0	0.0428036383092563	0.0																																																
Alveopora	4.0	267.0	2.0	262.0	0.0	1.0	1.0	98.12734082396999	0.749063670411985	0.0	0.374531835205993	0.374531835205993	3	98.92810501284693	241.0	0.8616220871327253	0.17106933333333332	0.043264657913735155	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas	2	71.96094387165394	155.5	0.8413356401384082	0.05264599999999999	0.1374306805252117	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales	D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales;D_4__Pirellulaceae	Unassigned;__;__;__;__;__	2	9.567684611751817	21.5	0.7516666666666667	0.17228500000000002	0.2796822918553087	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingobium	7	65.69165314362175	153.85714285714286	0.9384894719792679	0.13758142857142858	0.13771713121460663	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas
Anacropora	5.0	20.0	0.0	14.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0																																																
Astrea													3	19.77749376412632	29.0	0.9274666666666667	0.4198059999999999	0.12763925698635728	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae;D_5__uncultured	2	43.97507371908018	99.5	0.8293756345177665	0.29907900000000004	0.08880702947138	D_0__Bacteria	Unassigned;__	Unassigned;__;__	Unassigned;__;__;__	Unassigned;__;__;__;__	Unassigned;__;__;__;__;__	2	14.308823775223175	30.0	0.8151086956521739	0.16894199999999998	0.20008747627452206	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Aquabacterium	7	25.128610897283664	49.42857142857143	0.9501413533834587	0.3136371428571429	0.13724382606441085	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae;D_5__uncultured
Astreopora	6.0	595.0	1.0	478.0	0.0	0.0	1.0	80.3361344537815	0.16806722689075596	0.0	0.0	0.16806722689075596																																																
Australogyra	7.0	2.0	0.0	2.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0																																																
Barabattoia	8.0	8.0	0.0	8.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0																																																
Blastomussa	9.0	1.0	0.0	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0																																																
Cataphyllia	10.0	13.0	0.0	13.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0																																																
Caulastrea	11.0	159.0	3.0	145.0	0.0	1.0	2.0	91.19496855345909	1.88679245283019	0.0	0.628930817610063	1.25786163522013	7												10												8												25											
Cirrhipathes	12.0	2.0	0.0	2.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0																																																
Cladacora	13.0	23.0	0.0	23.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0																																																
Coeloseris	14.0	97.0	1.0	90.0	1.0	0.0	0.0	92.7835051546392	1.03092783505155	1.03092783505155	0.0	0.0																																																
Colpophyllia	15.0	2383.0	44.0	2339.0	9.0	3.0	0.0	98.1535879143936	1.8464120856063797	0.377675199328577	0.125891733109526	0.0																																																
