"","host_genus_id","Huang_Roy_tree_name.x","host_clade_sensu_fukami_numeric","host_clade_sensu_fukami","taxonomy_string_to_family","taxonomy_string_to_order","taxonomy_string_to_subclass","taxonomy_string_to_class","complex_robust","functional_group_sensu_darling","genus_in_australia","genus_in_curacao","genus_in_france","genus_in_panama","genus_in_saudiarabia","genus_in_singapore","genus_in_atlantic","genus_in_indian","genus_in_pacific","genus_in_caribbean","genus_in_coralsea","genus_in_easternindian","genus_in_easternpacific","genus_in_redsea","genus_in_southchinasea","genus_in_tasmansea","genus_in_westernindian","genus_in_aquariumdeep","genus_in_inshore","genus_in_midshelf","genus_in_offshore","genus_in_turfcontact","Unknown_disease_FRRP","Black_band_disease_FRRP","Dark_spots_FRRP","Red_band_FRRP","White_band_FRRP","White_plague_FRRP","White_spot_FRRP","Yellow_band_FRRP","Algal_infection_HICORDIS","Algal_overgrowth_HICORDIS","Black_band_disease_HICORDIS","Bleaching_HICORDIS","Ciliates_HICORDIS","Corallophila_huysmansii_HICORDIS","Cyanobacteria_HICORDIS","Discoloration_HICORDIS","Endolithic_fungal_infection_HICORDIS","Endolithic_hypermycosis_HICORDIS","Gear_entanglement_HICORDIS","Growth_anomalies_HICORDIS","Macroalgal_overgrowth_HICORDIS","No_Disease_HICORDIS","Pigmentation_response_HICORDIS","Predation_HICORDIS","Recently_denuded_skeleton_HICORDIS","Swollen_patches_HICORDIS","Tissue_loss_HICORDIS","Trematodiasis_HICORDIS","White_syndrome_HICORDIS","Total_diseased_Lamb_et_al","Total_compromised_or_bleached_Lamb_et_al","White_syndrome_Lamb_et_al","Black_band_disease_Lamb_et_al","Brown_band_Lamb_et_al","Skeletal_eroding_band_Lamb_et_al","Growth_anomalies_Lamb_et_al","n_samples_tissue","faith_pd_tissue","observed_features_tissue","gini_index_tissue","dominance_tissue","simpson_e_tissue","most_abundant_domain_tissue","most_abundant_phylum_tissue","most_abundant_class_tissue","most_abundant_order_tissue","most_abundant_family_tissue","most_abundant_genus_tissue","n_samples_skeleton","faith_pd_skeleton","observed_features_skeleton","gini_index_skeleton","dominance_skeleton","simpson_e_skeleton","most_abundant_domain_skeleton","most_abundant_phylum_skeleton","most_abundant_class_skeleton","most_abundant_order_skeleton","most_abundant_family_skeleton","most_abundant_genus_skeleton","n_samples_mucus","faith_pd_mucus","observed_features_mucus","gini_index_mucus","dominance_mucus","simpson_e_mucus","most_abundant_domain_mucus","most_abundant_phylum_mucus","most_abundant_class_mucus","most_abundant_order_mucus","most_abundant_family_mucus","most_abundant_genus_mucus","n_samples_all","faith_pd_all","observed_features_all","gini_index_all","dominance_all","simpson_e_all","most_abundant_domain_all","most_abundant_phylum_all","most_abundant_class_all","most_abundant_order_all","most_abundant_family_all","most_abundant_genus_all","Huang_Roy_tree_name.y"
"1","Pocillopora","POC_Pocillopora_damicornis","10","X","Cnidaria_Anthozoa_Scleractinia_Pocilloporidae","Cnidaria_Anthozoa_Scleractinia","Cnidaria_Anthozoa_Hexacorallia","Cnidaria_Anthozoa","robust","Weedy",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0.010623869801085,0,0.208092224231465,0,0,0,0.0509041591320072,0,0,0,0.00022603978300175,0.00090415913200725,0.417209162145871,0.00090415913200725,0.030937311633514,0,0,0.280198915009042,0,0,0.0372940156114484,0.185602775368604,0.00477016478751084,0.00303555941023417,0.000867302688638335,0.0281873373807459,0.000433651344319167,5,20.5590968433676,37.2,0.901398198198198,0.1944272,0.206268157125932,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Photobacterium",5,26.3852287389434,45.4,0.93227012987013,0.327204,0.100416137025372,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae;D_5__Candidatus Amoebophilus",3,34.8923730073235,85,0.835422718808194,0.070352,0.208362715072407,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingobium",13,26.4268040908928,52.7692307692308,0.961428571428571,0.221348153846154,0.161313141544764,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae;D_5__Candidatus Amoebophilus","POC_Pocillopora"
"2","Pocillopora","POC_Pocillopora_damicornis","10","X","Cnidaria_Anthozoa_Scleractinia_Pocilloporidae","Cnidaria_Anthozoa_Scleractinia","Cnidaria_Anthozoa_Hexacorallia","Cnidaria_Anthozoa","robust","Weedy",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0.003835826620637,0,0.142692750287687,0,0,0,0.002685078634446,0,0,0,0,0.001917913310318,0.834292289988492,0,0.006520905255082,0,0,0.008055235903337,0,0,NA,NA,NA,NA,NA,NA,NA,14,43.3771192011524,85.3571428571429,0.974450317460317,0.258739571428571,0.133620467523922,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas",13,45.4323508860258,98.4615384615385,0.970335607308084,0.200516923076923,0.144050943357729,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae;D_5__Candidatus Amoebophilus",10,20.6000543823961,41.9,0.953590697674419,0.2065108,0.196464143921784,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas",37,37.6132500296926,78.9189189189189,0.988157688332649,0.225778378378378,0.160045731952573,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas","POC_Pocillopora_damicornis"
"3","Pocillopora","POC_Pocillopora_damicornis","10","X","Cnidaria_Anthozoa_Scleractinia_Pocilloporidae","Cnidaria_Anthozoa_Scleractinia","Cnidaria_Anthozoa_Hexacorallia","Cnidaria_Anthozoa","robust","Weedy",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0.001160092807425,0,0.014501160092808,0,0,0,0.000580046403712,0.000580046403712,0,0,0,0.000580046403712,0.978538283062645,0,0.001160092807425,0,0,0.002900232018561,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","","POC_Pocillopora_eydouxi"
"4","Pocillopora","POC_Pocillopora_damicornis","10","X","Cnidaria_Anthozoa_Scleractinia_Pocilloporidae","Cnidaria_Anthozoa_Scleractinia","Cnidaria_Anthozoa_Hexacorallia","Cnidaria_Anthozoa","robust","Weedy",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.000484985652508,0.010346360586833,0,0.009295558339732,0.001091217718143,0,4.0415471042315e-05,0.000889140362931,8.083094208463e-05,0,4.0415471042315e-05,0.000202077355212,0.00262700561775,0.960392838378531,0.000242492826254,0.008366002505759,4.0415471042315e-05,4.0415471042315e-05,0.005577335003839,0.000242492826254,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","","POC_Pocillopora_meandrina"
"5","Pocillopora","POC_Pocillopora_damicornis","10","X","Cnidaria_Anthozoa_Scleractinia_Pocilloporidae","Cnidaria_Anthozoa_Scleractinia","Cnidaria_Anthozoa_Hexacorallia","Cnidaria_Anthozoa","robust","Weedy",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,40.8078885416129,84.5,0.89641095890411,0.1855775,0.183077896416265,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae;__",6,40.0737121543665,85.6666666666667,0.945941628264209,0.175036666666667,0.111571148092467,"D_0__Bacteria","D_0__Bacteria;D_1__Bacteroidetes","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Cyclobacteriaceae","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Cyclobacteriaceae;D_5__uncultured",5,32.2412275286386,61.6,0.916606956521739,0.0921844,0.210254834848428,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales;D_4__Caulobacteraceae;D_5__Caulobacter",15,37.3225276795903,79,0.971948997351494,0.147049866666667,0.162618004606946,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Cyclobacteriaceae;D_5__uncultured","POC_Pocillopora_verrucosa"
"6","Stylophora","POC_Stylophora","10","X","Cnidaria_Anthozoa_Scleractinia_Pocilloporidae","Cnidaria_Anthozoa_Scleractinia","Cnidaria_Anthozoa_Hexacorallia","Cnidaria_Anthozoa","robust","Weedy",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0368715083798883,0.166480446927374,0.00335195530726257,0.00446927374301676,0,0.0290502793296089,0.00111731843575419,7,27.9086675519044,48.7142857142857,0.947691091196626,0.538123142857143,0.104528956285315,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas",11,37.1992385608552,68.2727272727273,0.962391958041958,0.237817454545455,0.135162363389303,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae;D_5__Candidatus Amoebophilus",7,43.5706870815309,93,0.942930839002267,0.179084571428571,0.156281243870293,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas",25,35.5258650561144,69.12,0.981996723063224,0.30596752,0.131104951746319,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas","POC_Stylophora"
"7","Leptastrea","FAV_Leptastrea_transversa","11","XI","Cnidaria_Anthozoa_Scleractinia_incertae sedis","Cnidaria_Anthozoa_Scleractinia","Cnidaria_Anthozoa_Hexacorallia","Cnidaria_Anthozoa","robust","Missing: Not collected",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.022653721682848,0,0,0,0,0,0,0,0,0.0024271844660195,0.974919093851133,0,0,0,0,0,0,0,0.0065359477124183,0.0506535947712418,0,0.00163398692810458,0,0.00490196078431373,0,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","","FAV_Leptastrea"
"8","Leptastrea","FAV_Leptastrea_transversa","11","XI","Cnidaria_Anthozoa_Scleractinia_incertae sedis","Cnidaria_Anthozoa_Scleractinia","Cnidaria_Anthozoa_Hexacorallia","Cnidaria_Anthozoa","robust","Missing: Not collected",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","","FAV_Leptastrea_pruinosa"
"9","Leptastrea","FAV_Leptastrea_transversa","11","XI","Cnidaria_Anthozoa_Scleractinia_incertae sedis","Cnidaria_Anthozoa_Scleractinia","Cnidaria_Anthozoa_Hexacorallia","Cnidaria_Anthozoa","robust","Missing: Not collected",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0.023972602739726,0,0.087328767123288,0,0,0,0,0,0,0,0.001712328767123,0.003424657534247,0.88013698630137,0.003424657534247,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","","FAV_Leptastrea_purpurea"
"10","Leptastrea","FAV_Leptastrea_transversa","11","XI","Cnidaria_Anthozoa_Scleractinia_incertae sedis","Cnidaria_Anthozoa_Scleractinia","Cnidaria_Anthozoa_Hexacorallia","Cnidaria_Anthozoa","robust","Missing: Not collected",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0.018518518518519,0,0.055555555555556,0,0,0,0,0,0,0,0,0,0.925925925925926,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,107.650787505004,306,0.520477124183007,0.012216,0.267515869041351,"D_0__Bacteria","D_0__Archaea;D_1__Thaumarchaeota","D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria","D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales","D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae","D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae;D_5__uncultured archaeon",1,131.318813374651,359,0.581710306406685,0.051916,0.0536542746038651,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfobacterales","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfobacterales;D_4__Desulfobacteraceae","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfobacterales;D_4__Desulfobacteraceae;D_5__Desulfobacter",2,NA,NA,NA,NA,NA,"","","","","","",2,124.278378665307,350,0.757324159021407,0.034833,0.143504619260405,"D_0__Bacteria","D_0__Bacteria;D_1__Proteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfobacterales","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfobacterales;D_4__Desulfobacteraceae","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfobacterales;D_4__Desulfobacteraceae;D_5__Desulfobacter","FAV_Leptastrea_transversa"
