Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model_3,pVal_Model_3,Rsquared_Model_3,Adj_Rsquared_Model_3,x_trait_slope_95CI,intercept_95CI,Fixed_parameter,Estimated_parameter_95%_CI,AIC_Model_3,AICc_Model_3,Model_3l,pVal_Model_3l,Rsquared_Model_3l,Adjust_Rsquared_Model_3l,x_Trait_slope_95CI_Model_3l,intercept_95CI_Model_3l,Fixed_parameter_Model_3l,Estimated_paramter_95_CI_Model_3l,AIC_Model_3l,AICc_Model_3l,Model_3d,pVal_Model_3d,Rsqared_Model_3d,Adjust_Rsquared_3d,x_trait_slope_95CI_3d,Intercept_95CI_3d,Fixed_Parameter_Model_3d,Estimated_Parameter_95_CI_Model_3d,AIC_Model_3d,AICc_Model_3d,Model_3k,pVal_Model_3k,Rsquared_Model_3k,Adjust_Rsquared_Model_3k,x_trait_slope_95CI_Model_3k,Intercept_95CI_Model_3k,Fixed_Parameter_Model_3k,Estimated_Paramter_95_CI_Model_3k,AIC_Model_3k,AICc_Model_3k,Minimum_AIC,Minimum_AICc
perc_dis,observed_features_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.947352044,0.000105054,-0.023701969,0.172287014362645 + 4.55357820669515 - 0.633578206695154,151.885847179069 + 133.981818206025 - 130.061818206025,"lambda=1,delta=1,kappa=1",lambda,523.9957827,524.2884656,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.673601665,0.004265679,-0.019442281,2.768118871,148.998297353218 + 16.4359218336192 - 12.5159218336192,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,510.8274737,511.1201566,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.966886106,4.15E-05,-0.023767011,0.108597739374308 + 4.56037821238697 - 0.640378212386967,154.322489682808 + 57.6364436445722 - 53.7164436445722,"lambda=l,delta=ML,kappa=1",3 -/+ 1.76615229061998,516.9047567,517.1974396,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.540129205,0.009001882,-0.014593311,1.39961834475249 + 4.22597303984155 - 0.30597303984155,140.292879855487 + 63.1565889232441 - 59.2365889232441,"lambda=1,delta=1,kappa=ML",0.255134057497308 -/+ NA,512.7790071,513.0716901,Model_3l_AIC,Model_3l_AICc
perc_dis,gini_index_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.751031265,0.002422578,-0.021329266,0.00118527597391252 + 1.96371132745137 - -1.95628867254863,0.94743770639295 + 2.14891899878806 - -1.77108100121194,"lambda=1,delta=1,kappa=1",lambda,-52.35178091,-52.05909798,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.274063574,0.028412012,0.005278965,0.00336436160625813 + 1.96303576462221 - -1.95696423537779,0.929807800117887 + 1.98742415735784 - -1.93257584264216,"lambda=ML,delta=1,kappa=1",0.156648243523825 -/+ NA,-84.54816734,-84.25548442,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.722752036,0.003028215,-0.020709209,0.00129990576894374 + 1.96363944626191 - -1.95636055373809,0.948758050512804 + 2.03792382805459 - -1.88207617194541,"lambda=l,delta=ML,kappa=1",3 -/+ 2.03787903751946,-61.39433922,-61.10165629,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.743986928,0.002566468,-0.02118195,0.000895219572931611 + 1.96272319672859 - -1.95727680327141,0.956678063873433 + 2.02203752695627 - -1.89796247304373,"lambda=1,delta=1,kappa=ML",1e-06 -/+ NA,-75.30109887,-75.00841594,Model_3l_AIC,Model_3l_AICc
perc_dis,dominance_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.026998039,0.111154107,0.08999111,0.0116546423113202 + 1.96508539605111 - -1.95491460394889,0.131969268129899 + 2.21886369311431 - -1.70113630688569,"lambda=1,delta=1,kappa=1",lambda,-24.63325083,-24.3405679,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.022194183,0.118394859,0.097404261,0.00840758537385551 + 1.96354011422322 - -1.95645988577678,0.137606697360473 + 1.97887134395383 - -1.94112865604617,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,-73.72109805,-73.42841513,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.02753068,0.110431876,0.089251683,0.011359124484607 + 1.9649746507282 - -1.9550253492718,0.128137570440259 + 2.06651176032798 - -1.85348823967203,"lambda=l,delta=ML,kappa=1",3 -/+ 2.05910504519773,-33.89226079,-33.59957786,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.01087888,0.144636826,0.124271036,0.0091337455180159 + 1.96342736293213 - -1.95657263706787,0.170547185953673 + 2.03807923608977 - -1.88192076391023,"lambda=1,delta=1,kappa=ML",1e-06 -/+ NA,-55.06244677,-54.76976384,Model_3l_AIC,Model_3l_AICc
perc_bbd,observed_features_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.794090773,0.00164003,-0.022130445,-17.95148823,154.842034167253 + 133.851768620405 - 129.931768620405,"lambda=1,delta=1,kappa=1",lambda,523.9281848,524.2208677,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.108744888,0.060094934,0.037716242,-85.0588585,153.823956482121 + 14.544771987829 - 10.624771987829,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,508.2886033,508.5812863,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.655156645,0.004794376,-0.018900996,-31.50474436,159.023273769466 + 57.5206504140685 - 53.6006504140685,"lambda=l,delta=ML,kappa=1",3 -/+ 1.79147716855783,516.6951239,516.9878069,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.167344361,0.044896992,0.022156444,-70.54159825,149.313374436839 + 58.3543845929634 - 54.4343845929634,"lambda=1,delta=1,kappa=ML",0.18721164834294 -/+ NA,511.3014959,511.5941788,Model_3l_AIC,Model_3l_AICc
perc_bbd,gini_index_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.417010127,0.015746219,-0.007688395,3.822910026,0.962071524745638 + 2.14761236797697 - -1.77238763202303,"lambda=1,delta=1,kappa=1",lambda,-52.9434045,-52.65072157,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.541951337,0.008921527,-0.01467558,0.0404950091774061 + 2.02585841766277 - -1.89414158233723,0.935974603921467 + 1.98575550581886 - -1.93424449418114,"lambda=ML,delta=1,kappa=1",0.138215636678851 -/+ NA,-83.65234482,-83.35966189,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.498482324,0.010978514,-0.012569617,3.844861799,0.962633807479965 + 2.03763581480236 - -1.88236418519764,"lambda=l,delta=ML,kappa=1",3 -/+ 2.01157141551064,-61.7466214,-61.45393847,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.838429415,0.001001265,-0.022784419,3.907343187,0.960877675269214 + 2.02137277475764 - -1.89862722524236,"lambda=1,delta=1,kappa=ML",1e-06 -/+ NA,-75.23210687,-74.93942394,Model_3l_AIC,Model_3l_AICc
perc_bbd,dominance_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.642833506,0.005168255,-0.018518215,3.839255344,0.182478152549948 + 2.23380307097948 - -1.68619692902052,"lambda=1,delta=1,kappa=1",lambda,-19.67666179,-19.38397886,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.829952683,0.001110694,-0.022672384,3.903240678,0.164958866532524 + 1.97797435521834 - -1.94202564478166,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,-68.22551134,-67.93282842,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.657264545,0.0047321,-0.018964755,3.848616952,0.178284320893599 + 2.0726959636057 - -1.8473040363943,"lambda=l,delta=ML,kappa=1",3 -/+ 2.06142365201484,-28.9521231,-28.65944018,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.719715977,0.003097729,-0.02063804,3.889743458,0.206850443946969 + 2.04332347408637 - -1.87667652591363,"lambda=1,delta=1,kappa=ML",1e-06 -/+ NA,-48.32487643,-48.0321935,Model_3l_AIC,Model_3l_AICc
perc_wd,observed_features_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.147294766,0.04933854,0.026703743,-12.69169628,157.141472652593 + 130.407728380891 - 126.487728380891,"lambda=1,delta=1,kappa=1",lambda,521.7741257,522.0668087,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.137619766,0.051725021,0.029147046,-22.13438746,157.253918758338 + 15.895327698452 - 11.975327698452,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,508.6786917,508.9713747,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.157227653,0.047060213,0.024371171,-12.79079203,159.889659968856 + 55.6358453950445 - 51.7158453950445,"lambda=l,delta=ML,kappa=1",3 -/+ 1.74869256669991,514.7856272,515.0783101,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.336066938,0.022049417,-0.001235121,-9.902199166,149.370069421306 + 66.234962161892 - 62.314962161892,"lambda=1,delta=1,kappa=ML",0.32875585968178 -/+ NA,512.2507395,512.5434224,Model_3l_AIC,Model_3l_AICc
perc_wd,gini_index_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.72292596,0.00302426,-0.020713258,0.00589201947893437 + 1.97650715740584 - -1.94349284259416,0.950052463338408 + 2.14844715540598 - -1.77155284459402,"lambda=1,delta=1,kappa=1",lambda,-52.37832721,-52.08564428,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.535341717,0.00921536,-0.01437475,0.0126532689722685 + 1.98024471048725 - -1.93975528951275,0.935629326008071 + 1.98630411395089 - -1.93369588604911,"lambda=ML,delta=1,kappa=1",0.144269323427282 -/+ NA,-83.67359782,-83.38091489,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.715814664,0.003188357,-0.020545253,0.00609679979639896 + 1.97663413935926 - -1.94336586064074,0.9516176655338 + 2.03694865906524 - -1.88305134093476,"lambda=l,delta=ML,kappa=1",3 -/+ 2.03565252223397,-61.40140746,-61.10872453,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.544154061,0.00882504,-0.014774364,0.0119855180863475 + 1.9795996802297 - -1.9404003197703,0.957875282274336 + 2.02109916914657 - -1.89890083085343,"lambda=1,delta=1,kappa=ML",1e-06 -/+ NA,-75.57805444,-75.28537151,Model_3l_AIC,Model_3l_AICc
perc_wd,dominance_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",6.87E-05,0.31728297,0.301027802,0.0876059496090929 + 1.97982923426816 - -1.94017076573184,0.149398384143475 + 2.18637227596738 - -1.73362772403262,"lambda=1,delta=1,kappa=1",lambda,-36.24236051,-35.94967758,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.026451078,0.111910709,0.090765726,0.0530954902334257 + 1.98307945142986 - -1.93692054857014,0.139363653358702 + 1.97868399055068 - -1.94131600944932,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,-73.39866513,-73.10598221,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.000109688,0.302587325,0.285982261,0.0859454533296619 + 1.98013343206035 - -1.93986656793965,0.143017605343052 + 2.05313620416209 - -1.86686379583791,"lambda=l,delta=ML,kappa=1",3 -/+ 1.95243564907551,-44.60004719,-44.30736426,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.034503377,0.102086362,0.080707466,0.0543970177782728 + 1.98489337983526 - -1.93510662016474,0.190859558425618 + 2.04770338275901 - -1.87229661724099,"lambda=1,delta=1,kappa=ML",0.114388267956692 -/+ NA,-52.21040504,-51.91772211,Model_3l_AIC,Model_3l_AICc
perc_dis,observed_features_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.406641555,0.018193087,-0.007643937,1.798485091,115.388277702364 + 124.024176807855 - 120.104176807855,"lambda=1,delta=1,kappa=1",lambda,474.4079573,474.7322816,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.261551967,0.033051195,0.007605174,2.04362401,111.822158592107 + 41.1448712132483 - 37.2248712132483,"lambda=ML,delta=1,kappa=1",0.765582208807755 -/+ 0.943564285049224,433.6855377,434.009862,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.407148583,0.018154166,-0.007683883,1.838341636,115.486717935724 + 52.6838493417324 - 48.7638493417324,"lambda=l,delta=ML,kappa=1",3 -/+ NA,465.7375247,466.061849,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.480635589,0.013175613,-0.01279345,2.746824493,112.173009573291 + 42.7734075210157 - 38.8534075210157,"lambda=1,delta=1,kappa=ML",0.172229562714851 -/+ 0.461333428670289,440.0750627,440.399387,Model_3l_AIC,Model_3l_AICc
