Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
percent_diseased,observed_features_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.07171318,0.139954091,0.100861095,-4.724416672,200.905226908629 + 173.126346759263 - 169.206346759263,"lambda=1,delta=1,kappa=1",NA,309.0005938,309.5720224,,
percent_diseased,observed_features_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.090961026,0.124383319,0.084582561,-3.046986417,171.25539681087 + 31.1345257442286 - 27.2145257442286,"lambda=ML,delta=1,kappa=1",0.0193453937860062 -/+ 0.699132829357813,292.344279,292.9157076,,
percent_diseased,observed_features_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.070852206,0.140745109,0.101688068,-4.579796759,203.203361466663 + 81.1257458030359 - 77.2057458030359,"lambda=l,delta=ML,kappa=1",3 -/+ 1.53923017015466,303.1619748,303.7334033,,
percent_diseased,observed_features_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.042775773,0.173679878,0.136119872,-4.483420956,201.820350854517 + 85.3684941798113 - 81.4484941798113,"lambda=1,delta=1,kappa=ML",0.0949990136202657 -/+ 0.727375254625476,301.3153568,301.8867854,Model_3l_AIC,Model_3l_AICc
percent_diseased,gini_index_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.338767525,0.041654888,-0.001906254,0.00290799263923581 + 1.96297378759431 - -1.95702621240569,0.892664124036252 + 2.07141302278979 - -1.84858697721021,"lambda=1,delta=1,kappa=1",NA,-43.1824588,-42.61103023,,
percent_diseased,gini_index_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.880463553,0.001051004,-0.044355768,0.000541013113986383 + 1.96355603369406 - -1.95644396630594,0.909676109177807 + 1.98494316308706 - -1.93505683691294,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,-44.43537886,-43.86395028,,
percent_diseased,gini_index_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.386665462,0.034244101,-0.009653894,0.00269585759893788 + 1.96305229429425 - -1.95694770570575,0.895632496680994 + 2.01396624003485 - -1.90603375996515,"lambda=l,delta=ML,kappa=1",3 -/+ 0.93021594313895,-46.80316037,-46.23173179,,
percent_diseased,gini_index_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.331027474,0.042981,-0.000519864,0.00287602844477875 + 1.96289336923416 - -1.95710663076584,0.893785332365897 + 2.08769867124006 - -1.83230132875994,"lambda=1,delta=1,kappa=ML",1.22255676472886 -/+ 2.06853532125205,-43.41739044,-42.84596187,Model_3d_AIC,Model_3d_AICc
percent_diseased,dominance_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.000815694,0.405781265,0.378771323,0.0372147461614609 + 1.96960131890321 - -1.95039868109679,0.0541279987720419 + 2.3197136405517 - -1.6002863594483,"lambda=1,delta=1,kappa=1",NA,13.07661561,13.64804418,,
percent_diseased,dominance_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.000150726,0.486761722,0.46343271,0.0343297718142795 + 1.96751555203999 - -1.95248444796001,0.102517693044656 + 2.02695732255288 - -1.89304267744712,"lambda=ML,delta=1,kappa=1",0.106551465175456 -/+ 0.603473169814768,-7.286044506,-6.714615935,,
percent_diseased,dominance_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.000629774,0.418888611,0.392474457,0.0370022168622878 + 1.96929173511977 - -1.95070826488023,0.0475582739952046 + 2.12428298174198 - -1.79571701825802,"lambda=l,delta=ML,kappa=1",3 -/+ 1.66654946820501,6.631964727,7.203393298,,
percent_diseased,dominance_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",6.13E-05,0.525629194,0.504066885,0.038975634753028 + 1.96789407219368 - -1.95210592780632,0.0496571385760698 + 2.12117394782194 - -1.79882605217806,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.605360582952917,4.025337737,4.596766308,Model_3l_AIC,Model_3l_AICc
percent_black_band_disease,observed_features_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.257792177,0.05780091,0.014973679,-130.9874946,170.537196717742 + 179.772800918651 - 175.852800918651,"lambda=1,delta=1,kappa=1",NA,311.1901337,311.7615623,,
percent_black_band_disease,observed_features_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.111442321,0.111113231,0.070709287,-127.0581025,164.498591479328 + 34.2551315442718 - 30.3351315442718,"lambda=ML,delta=1,kappa=1",0.109049930342451 -/+ 0.727428242626586,293.1720451,293.7434737,,
percent_black_band_disease,observed_features_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.236602699,0.063048789,0.020460098,-130.2362062,176.249344454536 + 82.1837435930506 - 78.2637435930506,"lambda=l,delta=ML,kappa=1",3 -/+ 1.56095252272986,305.2395492,305.8109778,,
percent_black_band_disease,observed_features_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.05892209,0.152810389,0.11430177,-155.0724267,167.277998911997 + 81.019872880155 - 77.099872880155,"lambda=1,delta=1,kappa=ML",0.0436205008099962 -/+ 0.647392073209742,302.0230475,302.5944761,Model_3l_AIC,Model_3l_AICc
percent_black_band_disease,gini_index_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.590346092,0.013384885,-0.031461257,0.0400307273949585 + 2.03327379882119 - -1.88672620117881,0.903650540278237 + 2.07219745143675 - -1.84780254856325,"lambda=1,delta=1,kappa=1",NA,-42.48472951,-41.91330094,,
percent_black_band_disease,gini_index_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.544917412,0.016897036,-0.027789462,0.0422647345785456 + 2.02873232565322 - -1.89126767434678,0.9059411622951 + 1.98122882874268 - -1.93877117125732,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,-44.81913557,-44.247707,,
percent_black_band_disease,gini_index_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.589499345,0.013445561,-0.031397823,0.0398358448871073 + 2.03275012692636 - -1.88724987307364,0.904610264350668 + 2.01293185794407 - -1.90706814205593,"lambda=l,delta=ML,kappa=1",3 -/+ 0.98919522282117,-46.2917828,-45.72035423,,
percent_black_band_disease,gini_index_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.561079702,0.015585948,-0.029160146,0.0440924994647273 + 2.03470947295252 - -1.88529052704748,0.903391868248529 + 2.09016339939776 - -1.82983660060224,"lambda=1,delta=1,kappa=ML",1.23698477189172 -/+ 2.12994876039542,-42.73723202,-42.16580345,Model_3d_AIC,Model_3d_AICc
percent_black_band_disease,dominance_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.993353458,3.23E-06,-0.045451172,3.917451543,0.268846624681637 + 2.42314518612706 - -1.49685481387294,"lambda=1,delta=1,kappa=1",NA,25.56872506,26.14015363,,
percent_black_band_disease,dominance_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.718538861,0.006021815,-0.039159012,3.844965441,0.291159982367314 + 2.02348041058826 - -1.89651958941174,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.447888912127038,7.758684881,8.330113452,,
percent_black_band_disease,dominance_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.966448173,8.23E-05,-0.045368537,3.907771412,0.259106072325625 + 2.16912846646512 - -1.75087153353488,"lambda=l,delta=ML,kappa=1",3 -/+ 1.5588775388116,19.65749791,20.22892648,,
percent_black_band_disease,dominance_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.952403255,0.000165653,-0.045281363,3.905441958,0.283222275592847 + 2.21395696244954 - -1.70604303755046,"lambda=1,delta=1,kappa=ML",0.201817732187667 -/+ 0.990370741843378,21.63616723,22.2075958,Model_3l_AIC,Model_3l_AICc
percent_white_disease,observed_features_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.535706232,0.017676291,-0.026974787,-17.75632854,159.37209865639 + 183.191016447732 - 179.271016447732,"lambda=1,delta=1,kappa=1",NA,312.1910368,312.7624654,,
percent_white_disease,observed_features_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.620510536,0.011334303,-0.033605047,-13.61610199,162.243156861589 + 83.6657412654102 - 79.7457412654102,"lambda=l,delta=ML,kappa=1",3 -/+ 1.50083073114129,306.5289502,307.1003788,,
percent_white_disease,observed_features_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.716527076,0.006111826,-0.039064909,13.8775758028979 + 39.6898892191759 - 35.7698892191759,148.15839282337 + 92.2603437995718 - 88.3403437995718,"lambda=1,delta=1,kappa=ML",0.131229006377873 -/+ 0.787866706771882,305.7039653,306.2753939,Model_3l_AIC,Model_3l_AICc
percent_white_disease,gini_index_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.167608081,0.084723183,0.043119691,0.0292623171813181 + 1.980505599592 - -1.939494400408,0.898266404750841 + 2.06786955103051 - -1.85213044896949,"lambda=1,delta=1,kappa=1",NA,-44.28601249,-43.71458392,,
percent_white_disease,gini_index_tissue,415583,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.255626325,0.058313917,0.015510004,0.034898342584905 + 1.98989925946254 - -1.93010074053746,0.89387954418891 + 1.98406157146789 - -1.93593842853211,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,-45.8521408,-45.28071223,,
