	analysis_label	x_trait	y_trait	R2	p	FDR_q	N_unique_samples	slope	model_name	best_model	AIC	AICc	delta_AICc	filter_column	filter_value	results_dir	x_trait_slope_95CI	compartment	branch_length_transformation	estimated_parameter	parameter_value	intercept	x_trait_slope_stdev	trait_table	tree
0	A12b_Taxa_vs_Growth_Rate_Zeros_Included	all_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhizobiales___D_4__Stappiaceae___D_5__Pseudovibrio	growth_rate_mm_per_year	0.0392422007248159	0.430713340125287	0.5609290010933969	18	-0.0020607447233488	BM_Lambda	True	-38.9528983632934	-38.1528983632934	0.0	None	None	../output/PIC_results/A12b_Taxa_vs_Growth_Rate_Zeros_Included/PIC_all_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhizobiales___D_4__Stappiaceae___D_5__Pseudovibrio_vs_growth_rate_mm_per_year/PGLS_results.tsv	-0.00705706831854286 - 0.00293557887184516	all	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.898126351905504 )	0.143181948003506	0.0025491446914255	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa_zeros.tsv	../output/huang_roy_genus_tree.newick
1	A12b_Taxa_vs_Growth_Rate_Zeros_Included	all_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Bacteroidales___D_4__Rikenellaceae___D_5__Rikenellaceae_RC9_gut_group	growth_rate_mm_per_year	0.0026897885498885	0.838059077150099	0.9202217317726578	13	-0.0403307494338788	BM_Lambda	True	-38.2807870188418	-37.4807870188418	0.0	None	None	../output/PIC_results/A12b_Taxa_vs_Growth_Rate_Zeros_Included/PIC_all_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Bacteroidales___D_4__Rikenellaceae___D_5__Rikenellaceae_RC9_gut_group_vs_growth_rate_mm_per_year/PGLS_results.tsv	-0.420860340940376 - 0.340198842072618	all	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.949885843868242 )	0.139445883319709	0.194147750768621	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa_zeros.tsv	../output/huang_roy_genus_tree.newick
2	A12b_Taxa_vs_Growth_Rate_Zeros_Included	mucus_D_0__Bacteria___D_1__Tenericutes___D_2__Mollicutes___D_3__Entomoplasmatales___D_4__Spiroplasmataceae___D_5__Spiroplasma	growth_rate_mm_per_year	0.018115418967226	0.606534022032888	0.707623025705036	17	-0.0032178653653373	BM_Lambda	True	-36.9252142564664	-36.0680713993236	0.0	None	None	../output/PIC_results/A12b_Taxa_vs_Growth_Rate_Zeros_Included/PIC_mucus_D_0__Bacteria___D_1__Tenericutes___D_2__Mollicutes___D_3__Entomoplasmatales___D_4__Spiroplasmataceae___D_5__Spiroplasma_vs_growth_rate_mm_per_year/PGLS_results.tsv	-0.0152069034539625 - 0.00877117272328789	mucus	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.80586309381129 )	0.146500887562601	0.0061168561676659	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa_zeros.tsv	../output/huang_roy_genus_tree.newick
3	A12b_Taxa_vs_Growth_Rate_Zeros_Included	tissue_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Flavobacteriales___D_4__Flavobacteriaceae___D_5__Maritimimonas	growth_rate_mm_per_year	0.0004890289713483	0.930595043334033	0.9522950169915545	16	4.65301472553307e-05	BM_Lambda	True	-38.2411102678129	-37.4411102678129	0.0	None	None	../output/PIC_results/A12b_Taxa_vs_Growth_Rate_Zeros_Included/PIC_tissue_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Flavobacteriales___D_4__Flavobacteriaceae___D_5__Maritimimonas_vs_growth_rate_mm_per_year/PGLS_results.tsv	-0.000984228520255539 - 0.0010772888147662	tissue	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.926951761382366 )	0.137476109267207	0.0005258972793422	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa_zeros.tsv	../output/huang_roy_genus_tree.newick
4	A12b_Taxa_vs_Growth_Rate_Zeros_Included	mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Sphingomonadales___D_4__Sphingomonadaceae___D_5__Sphingobium	growth_rate_mm_per_year	0.178988592800663	0.0906396547618991	0.2537910333333175	19	0.0005883377138804	BM_Lambda	True	-39.9671392313173	-39.1099963741745	0.0	None	None	../output/PIC_results/A12b_Taxa_vs_Growth_Rate_Zeros_Included/PIC_mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Sphingomonadales___D_4__Sphingomonadaceae___D_5__Sphingobium_vs_growth_rate_mm_per_year/PGLS_results.tsv	-4.93367845768215e-05 - 0.00122601221233776	mucus	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.844792646563816 )	0.0811674868915827	0.0003253441318659	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa_zeros.tsv	../output/huang_roy_genus_tree.newick
5	A12b_Taxa_vs_Growth_Rate_Zeros_Included	all_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Betaproteobacteriales___D_4__Burkholderiaceae___D_5__Aquabacterium	growth_rate_mm_per_year	0.274566472571316	0.0256102920386538	0.11032125801266252	16	0.0009307755396668	BM_Lambda	True	-44.0100506047869	-43.2100506047869	0.0	None	None	../output/PIC_results/A12b_Taxa_vs_Growth_Rate_Zeros_Included/PIC_all_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Betaproteobacteriales___D_4__Burkholderiaceae___D_5__Aquabacterium_vs_growth_rate_mm_per_year/PGLS_results.tsv	0.000189437813922009 - 0.00167211326541177	all	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.657662208454967 )	0.0800631618446386	0.0003782335335433	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa_zeros.tsv	../output/huang_roy_genus_tree.newick
6	A12b_Taxa_vs_Growth_Rate_Zeros_Included	all_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Pseudomonadaceae___D_5__Pseudomonas	growth_rate_mm_per_year	0.325553052615285	0.0134079741037851	0.07296001758603957	7	0.0007383996027771	BM_Lambda	True	-45.3218262941198	-44.5218262941198	0.0	None	None	../output/PIC_results/A12b_Taxa_vs_Growth_Rate_Zeros_Included/PIC_all_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Pseudomonadaceae___D_5__Pseudomonas_vs_growth_rate_mm_per_year/PGLS_results.tsv	0.000217624102111067 - 0.00125917510344321	all	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.663043513897116 )	0.079356965745439	0.0002657017860541	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa_zeros.tsv	../output/huang_roy_genus_tree.newick
7	A12b_Taxa_vs_Growth_Rate_Zeros_Included	tissue_D_0__Bacteria___D_1__Tenericutes___D_2__Mollicutes___D_3__Mycoplasmatales___D_4__Mycoplasmataceae___D_5__Mycoplasma	growth_rate_mm_per_year	0.0667800683551031	0.30048790858689	0.45479251029367135	19	-0.10088147653198	BM_Lambda	True	-39.4763644454854	-38.6763644454854	0.0	None	None	../output/PIC_results/A12b_Taxa_vs_Growth_Rate_Zeros_Included/PIC_tissue_D_0__Bacteria___D_1__Tenericutes___D_2__Mollicutes___D_3__Mycoplasmatales___D_4__Mycoplasmataceae___D_5__Mycoplasma_vs_growth_rate_mm_per_year/PGLS_results.tsv	-0.285670462980564 - 0.0839075099166041	tissue	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.913937579464988 )	0.149355805771154	0.0942800951268286	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa_zeros.tsv	../output/huang_roy_genus_tree.newick
8	A12b_Taxa_vs_Growth_Rate_Zeros_Included	skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhodobacterales___D_4__Rhodobacteraceae___D_5__Ruegeria	growth_rate_mm_per_year	0.0590274008027236	0.331332479248742	0.4882794431034092	19	-0.002511524600556	BM_Lambda	True	-39.3274482486836	-38.5274482486836	0.0	None	None	../output/PIC_results/A12b_Taxa_vs_Growth_Rate_Zeros_Included/PIC_skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhodobacterales___D_4__Rhodobacteraceae___D_5__Ruegeria_vs_growth_rate_mm_per_year/PGLS_results.tsv	-0.00742507228414628 - 0.00240202308303417	skeleton	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.897229042805946 )	0.153640027306777	0.0025069120834644	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa_zeros.tsv	../output/huang_roy_genus_tree.newick
9	A12b_Taxa_vs_Growth_Rate_Zeros_Included	all_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Cellvibrionales___D_4__Spongiibacteraceae___D_5__BD1_7_clade	growth_rate_mm_per_year	0.217170658985461	0.0512682444756623	0.1757197982434272	11	-0.0844752253779367	BM_Lambda	True	-42.6394357097974	-41.8394357097974	0.0	None	None	../output/PIC_results/A12b_Taxa_vs_Growth_Rate_Zeros_Included/PIC_all_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Cellvibrionales___D_4__Spongiibacteraceae___D_5__BD1_7_clade_vs_growth_rate_mm_per_year/PGLS_results.tsv	-0.163063619062419 - -0.00588683169345443	all	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.796675788189336 )	0.156939520677502	0.0400961192267767	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa_zeros.tsv	../output/huang_roy_genus_tree.newick
