	analysis_label	pic_x_trait	pic_y_trait	R2	p	sig_marker	FDR_q	slope	pic_filter_column	pic_filter_value	results_dir	slope_std_error	T_stat	pic_suffix	trait_table	tree
0	A13a_Taxa_vs_Disease_Zeros_Excluded	mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Sphingomonadales___D_4__Sphingomonadaceae___D_5__Sphingobium	perc_dis	0.001084	0.84	n.s	0.9098305084745764	0.001225	None	None	" ../output/PIC_results/A13a_Taxa_vs_Disease_Zeros_Excluded/PIC_mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Sphingomonadales___D_4__Sphingomonadaceae___D_5__Sphingobium_vs_perc_dis/"""	0.006033	0.203		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata.tsv	../output/huang_roy_genus_tree.newick
1	A13a_Taxa_vs_Disease_Zeros_Excluded	mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55	perc_dis	0.001423	0.864	n.s	0.9098305084745764	-0.00329	None	None	" ../output/PIC_results/A13a_Taxa_vs_Disease_Zeros_Excluded/PIC_mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55_vs_perc_dis/"""	0.01902	-0.173		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata.tsv	../output/huang_roy_genus_tree.newick
2	A13a_Taxa_vs_Disease_Zeros_Excluded	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Betaproteobacteriales___D_4__Burkholderiaceae___D_5__Aquabacterium	perc_dis	0.02881	0.302	n.s	0.9098305084745764	-0.010124	None	None	" ../output/PIC_results/A13a_Taxa_vs_Disease_Zeros_Excluded/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Betaproteobacteriales___D_4__Burkholderiaceae___D_5__Aquabacterium_vs_perc_dis/"""	0.009665	-1.048		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata.tsv	../output/huang_roy_genus_tree.newick
3	A13a_Taxa_vs_Disease_Zeros_Excluded	mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Vibrionales___D_4__Vibrionaceae___D_5__Vibrio	perc_dis	0.006219	0.673	n.s	0.9098305084745764	0.005898	None	None	" ../output/PIC_results/A13a_Taxa_vs_Disease_Zeros_Excluded/PIC_mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Vibrionales___D_4__Vibrionaceae___D_5__Vibrio_vs_perc_dis/"""	0.013845	0.426		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata.tsv	../output/huang_roy_genus_tree.newick
4	A13a_Taxa_vs_Disease_Zeros_Excluded	all_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhodospirillales___D_4__Terasakiellaceae___D_5__uncultured	perc_dis	0.0106	0.55	n.s	0.9098305084745764	-0.003127	None	None	" ../output/PIC_results/A13a_Taxa_vs_Disease_Zeros_Excluded/PIC_all_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhodospirillales___D_4__Terasakiellaceae___D_5__uncultured_vs_perc_dis/"""	0.005181	-0.604		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata.tsv	../output/huang_roy_genus_tree.newick
5	A13a_Taxa_vs_Disease_Zeros_Excluded	all_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Pseudomonadaceae___D_5__Pseudomonas	perc_dis	0.001813	0.786	n.s	0.9098305084745764	0.003174	None	None	" ../output/PIC_results/A13a_Taxa_vs_Disease_Zeros_Excluded/PIC_all_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Pseudomonadaceae___D_5__Pseudomonas_vs_perc_dis/"""	0.011633	0.273		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata.tsv	../output/huang_roy_genus_tree.newick
6	A13a_Taxa_vs_Disease_Zeros_Excluded	skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55	perc_dis	0.1745	0.41	n.s	0.9098305084745764	-0.01020	None	None	" ../output/PIC_results/A13a_Taxa_vs_Disease_Zeros_Excluded/PIC_skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55_vs_perc_dis/"""	0.01109	-0.92		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata.tsv	../output/huang_roy_genus_tree.newick
7	A13a_Taxa_vs_Disease_Zeros_Excluded	tissue_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Bacteroidales___D_4__Rikenellaceae___D_5__Rikenellaceae_RC9_gut_group	perc_dis	0.04692	0.783	n.s	0.9098305084745764	-0.002722	None	None	" ../output/PIC_results/A13a_Taxa_vs_Disease_Zeros_Excluded/PIC_tissue_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Bacteroidales___D_4__Rikenellaceae___D_5__Rikenellaceae_RC9_gut_group_vs_perc_dis/"""	0.008675	-0.314		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata.tsv	../output/huang_roy_genus_tree.newick
8	A13a_Taxa_vs_Disease_Zeros_Excluded	skeleton_D_0__Bacteria___D_1__Spirochaetes___D_2__Spirochaetia___D_3__Spirochaetales___D_4__Spirochaetaceae___D_5__Spirochaeta_2	perc_dis	0.0007258	0.88	n.s	0.9098305084745764	-0.00274	None	None	" ../output/PIC_results/A13a_Taxa_vs_Disease_Zeros_Excluded/PIC_skeleton_D_0__Bacteria___D_1__Spirochaetes___D_2__Spirochaetia___D_3__Spirochaetales___D_4__Spirochaetaceae___D_5__Spirochaeta_2_vs_perc_dis/"""	0.01797	-0.152		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata.tsv	../output/huang_roy_genus_tree.newick
9	A13a_Taxa_vs_Disease_Zeros_Excluded	all_D_0__Bacteria___D_1__Cyanobacteria___D_2__Oxyphotobacteria___D_3__Synechococcales___D_4__Cyanobiaceae___D_5__Synechococcus_CC9902	perc_dis	0.003041	0.725	n.s	0.9098305084745764	-0.01541	None	None	" ../output/PIC_results/A13a_Taxa_vs_Disease_Zeros_Excluded/PIC_all_D_0__Bacteria___D_1__Cyanobacteria___D_2__Oxyphotobacteria___D_3__Synechococcales___D_4__Cyanobiaceae___D_5__Synechococcus_CC9902_vs_perc_dis/"""	0.04356	-0.354		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata.tsv	../output/huang_roy_genus_tree.newick
