	analysis_label	x_trait	y_trait	R2	p	FDR_q	N_unique_samples	slope	model_name	best_model	AIC	AICc	delta_AICc	filter_column	filter_value	results_dir	x_trait_slope_95CI	compartment	branch_length_transformation	estimated_parameter	parameter_value	intercept	x_trait_slope_stdev	trait_table	tree
0	A15c_Taxa_vs_Depth_Zeros_Included	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Pseudomonadaceae___D_5__Pseudomonas	depth	0.0351388709240759	0.359149755950948	0.8814429648166321	28	0.0049829416072347	BM_Kappa	True	103.625594546282	104.147333676717	0.0	None	None	../output/PIC_results/A15c_Taxa_vs_Depth_Zeros_Included/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Pseudomonadaceae___D_5__Pseudomonas_vs_depth/PGLS_results.tsv	-0.0054636532551607 - 0.0154295364696301	tissue	lambda=1 delta=1kappa=ML	kappa	kappa : 0.13078653820753 (95% CI  NA  -  0.809905065362653 )	3.85833571373094	0.0053298953379568	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
1	A15c_Taxa_vs_Depth_Zeros_Included	skeleton_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__Candidatus_Nitrosopumilus	depth	0.0071175599686569	0.681984184305434	0.8814429648166321	22	-0.0053707395054121	BM_Kappa	True	104.331847268421	104.853586398856	0.0	None	None	../output/PIC_results/A15c_Taxa_vs_Depth_Zeros_Included/PIC_skeleton_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__Candidatus_Nitrosopumilus_vs_depth/PGLS_results.tsv	-0.0307493526956336 - 0.0200078736848093	skeleton	lambda=1 delta=1kappa=ML	kappa	kappa : 0.0295317462581465 (95% CI  NA  -  0.721650553825054 )	4.20336537374454	0.0129482720358273	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
2	A15c_Taxa_vs_Depth_Zeros_Included	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhizobiales___D_4__Beijerinckiaceae___D_5__Methylobacterium	depth	0.0067151430598869	0.690656316833311	0.8814429648166321	28	0.0039772200065574	BM_Kappa	True	104.335741489867	104.857480620302	0.0	None	None	../output/PIC_results/A15c_Taxa_vs_Depth_Zeros_Included/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhizobiales___D_4__Beijerinckiaceae___D_5__Methylobacterium_vs_depth/PGLS_results.tsv	-0.0153753808049305 - 0.0233298208180455	tissue	lambda=1 delta=1kappa=ML	kappa	kappa : 0.0678302608302695 (95% CI  NA  -  0.727795976173715 )	4.01875471886448	0.0098737759242285	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
3	A15c_Taxa_vs_Depth_Zeros_Included	mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Pseudomonadaceae___D_5__Pseudomonas	depth	0.0189731864739496	0.502206285733485	0.8814429648166321	27	-0.0027701340101768	BM_Kappa	True	104.04213937896	104.563878509395	0.0	None	None	../output/PIC_results/A15c_Taxa_vs_Depth_Zeros_Included/PIC_mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Pseudomonadaceae___D_5__Pseudomonas_vs_depth/PGLS_results.tsv	-0.0107394588788111 - 0.00519919085845737	mucus	lambda=1 delta=1kappa=ML	kappa	kappa : 1e-06 (95% CI  NA  -  0.695080760564211 )	4.44386316919322	0.0040659820758338	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
4	A15c_Taxa_vs_Depth_Zeros_Included	mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Vibrionales___D_4__Vibrionaceae___D_5__Photobacterium	depth	0.0063960319702926	0.697747912226299	0.8814429648166321	24	0.0096077023856121	BM_Kappa	True	104.343607946566	104.865347077001	0.0	None	None	../output/PIC_results/A15c_Taxa_vs_Depth_Zeros_Included/PIC_mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Vibrionales___D_4__Vibrionaceae___D_5__Photobacterium_vs_depth/PGLS_results.tsv	-0.03830176444828 - 0.0575171692195042	mucus	lambda=1 delta=1kappa=ML	kappa	kappa : 0.0640406670082477 (95% CI  NA  -  0.76048298665317 )	4.06787465456674	0.024443605527496	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
5	A15c_Taxa_vs_Depth_Zeros_Included	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas	depth	0.166561883480058	0.0384738151247346	0.621442112370259	9	-0.002927385042289	BM_Kappa	True	99.8030905926631	100.324829723098	0.0	None	None	../output/PIC_results/A15c_Taxa_vs_Depth_Zeros_Included/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas_vs_depth/PGLS_results.tsv	-0.00554725157866733 - -0.000307518505910798	tissue	lambda=1 delta=1kappa=ML	kappa	kappa : 1e-06 (95% CI  NA  -  0.586113911352616 )	4.54972243445559	0.0013366666001929	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
6	A15c_Taxa_vs_Depth_Zeros_Included	tissue_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__Candidatus_Nitrosopumilus	depth	0.0014421750585619	0.853869993376555	0.9211578135601762	29	-0.003663140163971	BM_Kappa	True	104.472801687522	104.994540817957	0.0	None	None	../output/PIC_results/A15c_Taxa_vs_Depth_Zeros_Included/PIC_tissue_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__Candidatus_Nitrosopumilus_vs_depth/PGLS_results.tsv	-0.0422270986291306 - 0.0349008183011884	tissue	lambda=1 delta=1kappa=ML	kappa	kappa : 0.0626719735351691 (95% CI  NA  -  0.744121058071677 )	4.1443060391031	0.0196754890128365	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
7	A15c_Taxa_vs_Depth_Zeros_Included	mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Sphingomonadales___D_4__Sphingomonadaceae___D_5__Sphingobium	depth	0.0314477140921127	0.386127127047204	0.8814429648166321	29	-0.0055949802295946	BM_Kappa	True	103.709408950537	104.231148080972	0.0	None	None	../output/PIC_results/A15c_Taxa_vs_Depth_Zeros_Included/PIC_mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Sphingomonadales___D_4__Sphingomonadaceae___D_5__Sphingobium_vs_depth/PGLS_results.tsv	-0.0180176803249923 - 0.00682771986580294	mucus	lambda=1 delta=1kappa=ML	kappa	kappa : 1e-06 (95% CI  NA  -  0.664292510055959 )	4.61532595323221	0.0063381122935702	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
8	A15c_Taxa_vs_Depth_Zeros_Included	skeleton_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Cytophagales___D_4__Cyclobacteriaceae___D_5__uncultured	depth	0.0337445718193371	0.369033194348349	0.8814429648166321	18	0.009137695404283	BM_Kappa	True	103.61834093213	104.140080062565	0.0	None	None	../output/PIC_results/A15c_Taxa_vs_Depth_Zeros_Included/PIC_skeleton_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Cytophagales___D_4__Cyclobacteriaceae___D_5__uncultured_vs_depth/PGLS_results.tsv	-0.0104251102352097 - 0.0287005010437757	skeleton	lambda=1 delta=1kappa=ML	kappa	kappa : 0.0498903083461582 (95% CI  NA  -  0.722980843816119 )	3.81792809897534	0.0099810232854554	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
9	A15c_Taxa_vs_Depth_Zeros_Included	mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhizobiales___D_4__Stappiaceae___D_5__Pseudovibrio	depth	0.268603393548578	0.0066820163135856	0.3928641732909603	28	0.007392350189968	BM_Lambda	True	100.72945464871	101.251193779145	0.0	None	None	../output/PIC_results/A15c_Taxa_vs_Depth_Zeros_Included/PIC_mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhizobiales___D_4__Stappiaceae___D_5__Pseudovibrio_vs_depth/PGLS_results.tsv	0.00251196944020687 - 0.0122727309397292	mucus	lambda=ML delta=1kappa=1	lambda	lambda : 0.0973684768232631 (95% CI  NA  -  0.943335412927902 )	3.77712256037177	0.0024899901784495	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
