	analysis_label	pic_x_trait	pic_y_trait	R2	p	sig_marker	FDR_q	slope	pic_filter_column	pic_filter_value	results_dir	slope_std_error	T_stat	pic_suffix	trait_table	tree
0	alpha_diversity_vs_disease	observed_features_all	perc_dis	0.0001051	0.947	n.s	0.957	0.0006098	None	None	" ../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_observed_features_all_vs_perc_dis/"""	0.0091792	0.066		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
1	alpha_diversity_vs_disease	gini_index_all	perc_dis	0.002423	0.751	n.s	0.957	2.044	None	None	" ../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_gini_index_all_vs_perc_dis/"""	6.400	0.319		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
2	alpha_diversity_vs_disease	dominance_all	perc_dis	0.1112	0.027	*	0.162	9.537	None	None	" ../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_dominance_all_vs_perc_dis/"""	4.162	2.292		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
3	alpha_diversity_vs_disease	observed_features_mucus	perc_dis	0.01819	0.407	n.s	0.814	-0.008576	None	None	" ../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_observed_features_mucus_vs_perc_dis/"""	0.010219	-0.839		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
4	alpha_diversity_vs_disease	gini_index_mucus	perc_dis	0.03169	0.272	n.s	0.6528	8.268	None	None	" ../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_gini_index_mucus_vs_perc_dis/"""	7.413	1.115		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
5	alpha_diversity_vs_disease	dominance_mucus	perc_dis	0.06299	0.118	n.s	0.472	5.467	None	None	" ../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_dominance_mucus_vs_perc_dis/"""	3.420	1.598		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
6	alpha_diversity_vs_disease	observed_features_tissue	perc_dis	0.04115	0.209	n.s	0.627	0.010093	None	None	" ../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_observed_features_tissue_vs_perc_dis/"""	0.007904	1.277		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
7	alpha_diversity_vs_disease	gini_index_tissue	perc_dis	0.004043	0.697	n.s	0.957	-1.470	None	None	" ../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_gini_index_tissue_vs_perc_dis/"""	3.742	-0.393		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
8	alpha_diversity_vs_disease	dominance_tissue	perc_dis	0.1618	0.0101	*	0.1212	11.469	None	None	" ../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_dominance_tissue_vs_perc_dis/"""	4.235	2.708		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
9	alpha_diversity_vs_disease	observed_features_skeleton	perc_dis	0.006031	0.625	n.s	0.957	0.003632	None	None	" ../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_observed_features_skeleton_vs_perc_dis/"""	0.007371	0.493		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
10	alpha_diversity_vs_disease	gini_index_skeleton	perc_dis	0.001235	0.825	n.s	0.957	1.286	None	None	" ../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_gini_index_skeleton_vs_perc_dis/"""	5.781	0.222		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
11	alpha_diversity_vs_disease	dominance_skeleton	perc_dis	7.207e-05	0.957	n.s	0.957	0.2221	None	None	" ../output/PIC_results/A1_alpha_diversity_vs_disease/PIC_dominance_skeleton_vs_perc_dis/"""	4.1367	0.054		../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
