	analysis_label	x_trait	y_trait	R2	p	FDR_q	slope	model_name	best_model	AIC	AICc	delta_AICc	filter_column	filter_value	results_dir	x_trait_slope_95CI	compartment	branch_length_transformation	estimated_parameter	parameter_value	intercept	x_trait_slope_stdev	trait_table	tree
0	alpha_diversity_vs_disease_australia_only	dominance_all	perc_dis	0.406992323284025	0.0007965991423215	0.001062132189762	29.1963153834546	BM_Lambda	True	139.515707168775	140.087135740204	0.0			../output/PIC_results/A2_alpha_diversity_vs_disease_australia_only/PIC_dominance_all_vs_perc_dis/PGLS_results.tsv	14.4694666423403 - 43.923164124569	all	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.587880300513103 )	-0.809561694648178	7.51369833730323	../output/GCMP_trait_table_genus_australia_only.tsv	../output/huang_roy_genus_tree.newick
1	alpha_diversity_vs_disease_australia_only	dominance_mucus	perc_dis	0.443776869312094	0.0005199176554131	0.0010398353108262	45.1123605396868	BM_Lambda	True	133.33518858918	133.93518858918	0.0			../output/PIC_results/A2_alpha_diversity_vs_disease_australia_only/PIC_dominance_mucus_vs_perc_dis/PGLS_results.tsv	23.5108476773166 - 66.7138734020571	mucus	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.395859283896101 )	-2.42781766081496	11.0211800318216	../output/GCMP_trait_table_genus_australia_only.tsv	../output/huang_roy_genus_tree.newick
2	alpha_diversity_vs_disease_australia_only	dominance_tissue	perc_dis	0.480112129779631	0.0001746784941012	0.0006987139764048	14.0603645812711	BM_Lambda	True	137.248495170652	137.81992374208	0.0			../output/PIC_results/A2_alpha_diversity_vs_disease_australia_only/PIC_dominance_tissue_vs_perc_dis/PGLS_results.tsv	7.94637328496198 - 20.1743558775802	tissue	lambda=ML delta=1kappa=1	lambda	lambda : 0.0723257536864812 (95% CI  NA  -  0.661526491391795 )	0.974053812380522	3.11938331444343	../output/GCMP_trait_table_genus_australia_only.tsv	../output/huang_roy_genus_tree.newick
3	alpha_diversity_vs_disease_australia_only	dominance_skeleton	perc_dis	0.105389941528892	0.121680115726061	0.121680115726061	20.3097338090522	BM_Lambda	True	149.384041328864	149.955469900293	0.0			../output/PIC_results/A2_alpha_diversity_vs_disease_australia_only/PIC_dominance_skeleton_vs_perc_dis/PGLS_results.tsv	-4.41697240663058 - 45.036440024735	skeleton	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.533600011969186 )	1.79694851438817	12.6156664365728	../output/GCMP_trait_table_genus_australia_only.tsv	../output/huang_roy_genus_tree.newick
4	alpha_diversity_vs_disease_australia_only	dominance_all	perc_dis	0.331478993851	0.0032405039511389	NA (q values only calculated for best models by AIC)	22.761915790424	BM	False	152.228128286627	152.799556858056	12.712421117852017			../output/PIC_results/A2_alpha_diversity_vs_disease_australia_only/PIC_dominance_all_vs_perc_dis/PGLS_results.tsv	9.25416416746954 - 36.2696674133785	all	lambda=1 delta=1kappa=1	None	All parameters fixed	1.73419655094605	6.89171001171148	../output/GCMP_trait_table_genus_australia_only.tsv	../output/huang_roy_genus_tree.newick
5	alpha_diversity_vs_disease_australia_only	dominance_all	perc_dis	0.5358750979262	4.78296156054547e-05	NA (q values only calculated for best models by AIC)	30.4989822028547	BM_Kappa	False	143.816752503775	144.388181075203	4.301045334999003			../output/PIC_results/A2_alpha_diversity_vs_disease_australia_only/PIC_dominance_all_vs_perc_dis/PGLS_results.tsv	18.6381346264221 - 42.3598297792873	all	lambda=1 delta=1kappa=ML	kappa	kappa : 1e-06 (95% CI  NA  -  0.543397184206051 )	0.497323294958299	6.05145284511868	../output/GCMP_trait_table_genus_australia_only.tsv	../output/huang_roy_genus_tree.newick
6	alpha_diversity_vs_disease_australia_only	dominance_all	perc_dis	0.331478993851	0.0032405039511389	NA (q values only calculated for best models by AIC)	22.761915790424	BM_Delta	False	152.228128286627	152.799556858056	12.712421117852017			../output/PIC_results/A2_alpha_diversity_vs_disease_australia_only/PIC_dominance_all_vs_perc_dis/PGLS_results.tsv	9.25416416746954 - 36.2696674133785	all	lambda=1 delta=MLkappa=1	delta	delta : 1 (95% CI  0.30847377197554  -  NA )	1.73419655094605	6.89171001171148	../output/GCMP_trait_table_genus_australia_only.tsv	../output/huang_roy_genus_tree.newick
7	alpha_diversity_vs_disease_australia_only	dominance_mucus	perc_dis	0.0833119958469904	0.181646598571703	NA (q values only calculated for best models by AIC)	13.2117728579309	BM	False	153.977895684173	154.577895684173	20.642707094993			../output/PIC_results/A2_alpha_diversity_vs_disease_australia_only/PIC_dominance_mucus_vs_perc_dis/PGLS_results.tsv	-5.53232432352316 - 31.955870039385	mucus	lambda=1 delta=1kappa=1	None	All parameters fixed	3.77889297871859	9.56331488849697	../output/GCMP_trait_table_genus_australia_only.tsv	../output/huang_roy_genus_tree.newick
8	alpha_diversity_vs_disease_australia_only	dominance_mucus	perc_dis	0.483939180272807	0.0002281796204917	NA (q values only calculated for best models by AIC)	41.9061277632849	BM_Kappa	False	141.768132509595	142.368132509595	8.432943920415			../output/PIC_results/A2_alpha_diversity_vs_disease_australia_only/PIC_dominance_mucus_vs_perc_dis/PGLS_results.tsv	23.3972959783598 - 60.4149595482101	mucus	lambda=1 delta=1kappa=ML	kappa	kappa : 1e-06 (95% CI  NA  -  0.311289106852145 )	-0.549554466579282	9.443281522921	../output/GCMP_trait_table_genus_australia_only.tsv	../output/huang_roy_genus_tree.newick
9	alpha_diversity_vs_disease_australia_only	dominance_mucus	perc_dis	0.0833119958469904	0.181646598571703	NA (q values only calculated for best models by AIC)	13.2117728579309	BM_Delta	False	153.977895684173	154.577895684173	20.642707094993			../output/PIC_results/A2_alpha_diversity_vs_disease_australia_only/PIC_dominance_mucus_vs_perc_dis/PGLS_results.tsv	-5.53232432352316 - 31.955870039385	mucus	lambda=1 delta=MLkappa=1	delta	delta : 1 (95% CI  0.298742145659379  -  NA )	3.77889297871859	9.56331488849697	../output/GCMP_trait_table_genus_australia_only.tsv	../output/huang_roy_genus_tree.newick
