	analysis_label	pic_x_trait	pic_y_trait	R2	p	sig_marker	FDR_q	slope	pic_filter_column	pic_filter_value	results_dir	slope_std_error	T_stat	pic_suffix	trait_table	tree
0	beta_diversity_vs_disease	all_unweighted_unifrac_ordination_PC1	perc_dis	0.07612	0.284	n.s	0.7607999999999999	-6.974	None	None	" ../output/PIC_results/A3_beta_diversity_vs_disease/PIC_all_unweighted_unifrac_ordination_PC1_vs_perc_dis/"""	6.273	-1.112	../output/PIC_results/A3_beta_diversity_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa.tsv	../output/huang_roy_genus_tree.newick
1	beta_diversity_vs_disease	mucus_unweighted_unifrac_ordination_PC1	perc_dis	0.004515	0.805	n.s	0.9245714285714286	-2.133	None	None	" ../output/PIC_results/A3_beta_diversity_vs_disease/PIC_mucus_unweighted_unifrac_ordination_PC1_vs_perc_dis/"""	8.464	-0.252	../output/PIC_results/A3_beta_diversity_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa.tsv	../output/huang_roy_genus_tree.newick
2	beta_diversity_vs_disease	tissue_unweighted_unifrac_ordination_PC1	perc_dis	0.007053	0.749	n.s	0.9245714285714286	-2.020	None	None	" ../output/PIC_results/A3_beta_diversity_vs_disease/PIC_tissue_unweighted_unifrac_ordination_PC1_vs_perc_dis/"""	6.188	-0.326	../output/PIC_results/A3_beta_diversity_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa.tsv	../output/huang_roy_genus_tree.newick
3	beta_diversity_vs_disease	skeleton_unweighted_unifrac_ordination_PC1	perc_dis	0.03474	0.474	n.s	0.8079999999999999	4.144	None	None	" ../output/PIC_results/A3_beta_diversity_vs_disease/PIC_skeleton_unweighted_unifrac_ordination_PC1_vs_perc_dis/"""	5.640	0.735	../output/PIC_results/A3_beta_diversity_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa.tsv	../output/huang_roy_genus_tree.newick
4	beta_diversity_vs_disease	all_unweighted_unifrac_ordination_PC2	perc_dis	0.08682	0.251	n.s	0.7607999999999999	19.04	None	None	" ../output/PIC_results/A3_beta_diversity_vs_disease/PIC_all_unweighted_unifrac_ordination_PC2_vs_perc_dis/"""	15.94	1.194	../output/PIC_results/A3_beta_diversity_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa.tsv	../output/huang_roy_genus_tree.newick
5	beta_diversity_vs_disease	mucus_unweighted_unifrac_ordination_PC2	perc_dis	0.02183	0.585	n.s	0.8079999999999999	-4.645	None	None	" ../output/PIC_results/A3_beta_diversity_vs_disease/PIC_mucus_unweighted_unifrac_ordination_PC2_vs_perc_dis/"""	8.310	-0.559	../output/PIC_results/A3_beta_diversity_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa.tsv	../output/huang_roy_genus_tree.newick
6	beta_diversity_vs_disease	tissue_unweighted_unifrac_ordination_PC2	perc_dis	0.02326	0.559	n.s	0.8079999999999999	-6.049	None	None	" ../output/PIC_results/A3_beta_diversity_vs_disease/PIC_tissue_unweighted_unifrac_ordination_PC2_vs_perc_dis/"""	10.121	-0.598	../output/PIC_results/A3_beta_diversity_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa.tsv	../output/huang_roy_genus_tree.newick
7	beta_diversity_vs_disease	skeleton_unweighted_unifrac_ordination_PC2	perc_dis	0.134	0.148	n.s	0.7607999999999999	-16.14	None	None	" ../output/PIC_results/A3_beta_diversity_vs_disease/PIC_skeleton_unweighted_unifrac_ordination_PC2_vs_perc_dis/"""	10.60	-1.523	../output/PIC_results/A3_beta_diversity_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa.tsv	../output/huang_roy_genus_tree.newick
8	beta_diversity_vs_disease	all_unweighted_unifrac_ordination_PC3	perc_dis	0.1126	0.188	n.s	0.7607999999999999	-27.38	None	None	" ../output/PIC_results/A3_beta_diversity_vs_disease/PIC_all_unweighted_unifrac_ordination_PC3_vs_perc_dis/"""	19.84	-1.38	../output/PIC_results/A3_beta_diversity_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa.tsv	../output/huang_roy_genus_tree.newick
9	beta_diversity_vs_disease	mucus_unweighted_unifrac_ordination_PC3	perc_dis	0.0475	0.417	n.s	0.8079999999999999	6.325	None	None	" ../output/PIC_results/A3_beta_diversity_vs_disease/PIC_mucus_unweighted_unifrac_ordination_PC3_vs_perc_dis/"""	7.570	0.836	../output/PIC_results/A3_beta_diversity_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_and_growth_data_pcoa.tsv	../output/huang_roy_genus_tree.newick
