	analysis_label	x_trait	y_trait	R2	p	FDR_q	slope	model_name	best_model	AIC	AICc	delta_AICc	filter_column	filter_value	results_dir	x_trait_slope_95CI	compartment	branch_length_transformation	estimated_parameter	parameter_value	intercept	x_trait_slope_stdev	trait_table	tree
0	gamma_proteobacteria_dominance_vs_disease	dominance_all	perc_dis	0.499837790242449	0.0001121925497222	0.0026926211933328	48.7506745243838	BM_Lambda	True	136.864421754862	137.435850326291	0.0	most_abundant_class_all	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_dominance_all_vs_perc_dis_most_abundant_class_all_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria/PGLS_results.tsv	28.3724541904814 - 69.1288948582862	all	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.498278180976615 )	-3.50468850745099	10.3970511907665	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
1	gamma_proteobacteria_dominance_vs_disease	dominance_skeleton	perc_dis	0.0359641471431716	0.423245560690652	0.823490688988845	7.5408591146206	BM_Lambda	True	119.498925287789	120.204807640731	0.0	most_abundant_class_skeleton	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_dominance_skeleton_vs_perc_dis_most_abundant_class_skeleton_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria/PGLS_results.tsv	-10.4956446068235 - 25.5773628360647	skeleton	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.944768021013655 )	2.27794278484039	9.20229781706333	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
2	gamma_proteobacteria_dominance_vs_disease	observed_features_skeleton	perc_dis	0.247660968650147	0.255761262119021	0.7672837863570631	-0.0046099733088936	BM_Delta	True	24.4517517883236	27.4517517883236	0.0	most_abundant_class_skeleton	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_observed_features_skeleton_vs_perc_dis_most_abundant_class_skeleton_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria/PGLS_results.tsv	-0.0116528079756221 - 0.00243286135783487	skeleton	lambda=1 delta=MLkappa=1	delta	delta : 0.654788600914862 (95% CI  0.0336328076232054  -  NA )	2.69319127489737	0.0035932829932288	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
3	gamma_proteobacteria_dominance_vs_disease	gini_index_skeleton	perc_dis	0.140239879837881	0.103790621686707	0.431180989755228	19.0451573503653	BM_Lambda	True	117.209423980112	117.915306333053	0.0	most_abundant_class_skeleton	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_gini_index_skeleton_vs_perc_dis_most_abundant_class_skeleton_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria/PGLS_results.tsv	-2.73982772493019 - 40.8301424256609	skeleton	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.672347417652944 )	-13.7461779056984	11.1147883037222	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
4	gamma_proteobacteria_dominance_vs_disease	gini_index_mucus	perc_dis	0.0938732489014474	0.0996151280862398	0.431180989755228	11.6383571341571	BM_Lambda	True	165.682915476557	166.127359921001	0.0	most_abundant_class_mucus	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_gini_index_mucus_vs_perc_dis_most_abundant_class_mucus_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria/PGLS_results.tsv	-1.75508751121328 - 25.0318017795275	mucus	lambda=ML delta=1kappa=1	lambda	lambda : 0.0376433296925156 (95% CI  NA  -  0.709081432030689 )	-7.1172143404502	6.83339012518897	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
5	gamma_proteobacteria_dominance_vs_disease	observed_features_mucus	perc_dis	0.0508363570050057	0.531103814934198	0.823490688988845	-0.0268730413160909	BM_Lambda	True	68.0305883597844	69.7448740740701	0.0	most_abundant_class_mucus	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_observed_features_mucus_vs_perc_dis_most_abundant_class_mucus_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria/PGLS_results.tsv	-0.107338822984649 - 0.0535927403524669	mucus	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.551823809415837 )	5.9132971722974	0.0410539702390601	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
6	gamma_proteobacteria_dominance_vs_disease	dominance_tissue	perc_dis	0.401103390398331	0.0006779517510311	0.008135421012373202	23.3678378237879	BM_Lambda	True	145.634332479792	146.179787025246	0.0	most_abundant_class_tissue	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_dominance_tissue_vs_perc_dis_most_abundant_class_tissue_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria/PGLS_results.tsv	11.6981713440848 - 35.037504303491	tissue	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.532109198401374 )	-0.469686692675507	5.95391146923629	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
7	gamma_proteobacteria_dominance_vs_disease	observed_features_mucus	perc_dis	0.0259071947300455	0.395492880750154	0.823490688988845	-0.0111067472026253	BM_Lambda	True	167.725777870944	168.170222315388	0.0	most_abundant_class_mucus	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_observed_features_mucus_vs_perc_dis_most_abundant_class_mucus_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria/PGLS_results.tsv	-0.0363330680951387 - 0.0141195736898881	mucus	lambda=ML delta=1kappa=1	lambda	lambda : 0.138866215851876 (95% CI  NA  -  0.757465207501403 )	4.6667518711548	0.0128705718839354	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
8	gamma_proteobacteria_dominance_vs_disease	dominance_all	perc_dis	0.0631908305389915	0.314310543339202	0.8084733958795032	3.19592500420101	BM_Lambda	True	71.7888082551887	72.5888082551887	0.0	most_abundant_class_all	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_dominance_all_vs_perc_dis_most_abundant_class_all_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria/PGLS_results.tsv	-2.83371237175952 - 9.22556238016153	all	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.694460120940752 )	1.15944148998523	3.07634559997986	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
9	gamma_proteobacteria_dominance_vs_disease	observed_features_skeleton	perc_dis	0.0222234213162578	0.530477022241252	0.823490688988845	-0.0076399547349414	BM_Lambda	True	119.78197950987	120.487861862811	0.0	most_abundant_class_skeleton	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	../output/PIC_results/A4_gamma_proteobacteria_dominance_vs_disease/PIC_observed_features_skeleton_vs_perc_dis_most_abundant_class_skeleton_is_D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria/PGLS_results.tsv	-0.0310512239683483 - 0.0157713144984653	skeleton	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.823175161239 )	4.72642019316603	0.0119445251190851	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
