	analysis_label	x_trait	y_trait	R2	p	FDR_q	slope	model_name	best_model	AIC	AICc	delta_AICc	filter_column	filter_value	results_dir	x_trait_slope_95CI	compartment	branch_length_transformation	estimated_parameter	parameter_value	intercept	x_trait_slope_stdev	trait_table	tree
0	Endozoicomonas_vs_dominance_and_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas	dominance_tissue	0.593224535787573	6.17739193131683e-10	2.470956772526732e-09	0.0006699148380332	BM_Lambda	True	-87.6788784226428	-87.3931641369285	0.0	None	None	../output/PIC_results/A5_Endozoicomonas_vs_dominance_and_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas_vs_dominance_tissue/PGLS_results.tsv	0.000504105394107334 - 0.000835724281959083	tissue	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.588663551739053 )	0.104380814520518	8.45966550642218e-05	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
1	Endozoicomonas_vs_dominance_and_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas	observed_features_tissue	0.0173115703611219	0.38894149709269	0.38894149709269	-0.0798670686388998	BM_Lambda	True	542.186157340299	542.471871626013	0.0	None	None	../output/PIC_results/A5_Endozoicomonas_vs_dominance_and_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas_vs_observed_features_tissue/PGLS_results.tsv	-0.259724868723162 - 0.099990731445362	tissue	lambda=ML delta=1kappa=1	lambda	lambda : 0.0357961118923065 (95% CI  NA  -  0.830773799162727 )	175.393283471878	0.0917641837164601	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
2	Endozoicomonas_vs_dominance_and_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas	gini_index_tissue	0.0400518771647035	0.187465902398838	0.249954536531784	0.0001332404743531	BM_Lambda	True	-73.097740939438	-72.8120266537237	0.0	None	None	../output/PIC_results/A5_Endozoicomonas_vs_dominance_and_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas_vs_gini_index_tissue/PGLS_results.tsv	-6.17307225621437e-05 - 0.000328211671268493	tissue	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.533765461558564 )	0.861697249892284	9.94751004669991e-05	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
3	Endozoicomonas_vs_dominance_and_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas	perc_dis	0.301960046634955	0.0002402178713669	0.0004804357427338	0.0150391245008179	BM_Lambda	True	223.568869213327	223.893193537651	0.0	None	None	../output/PIC_results/A5_Endozoicomonas_vs_dominance_and_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas_vs_perc_dis/PGLS_results.tsv	0.00776882626930944 - 0.0223094227323264	tissue	lambda=ML delta=1kappa=1	lambda	lambda : 1e-06 (95% CI  NA  -  0.271255987848455 )	1.78006196857797	0.0037093358324023	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
4	Endozoicomonas_vs_dominance_and_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas	dominance_tissue	0.51768017859406	2.56311811774879e-08	NA (q values only calculated for best models by AIC)	0.0006300521538567	BM	False	-50.155416687397	-49.8697024016827	37.5234617352458	None	None	../output/PIC_results/A5_Endozoicomonas_vs_dominance_and_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas_vs_dominance_tissue/PGLS_results.tsv	0.000448276744717259 - 0.000811827562996169	tissue	lambda=1 delta=1kappa=1	None	All parameters fixed	0.125446422836669	9.27425556833953e-05	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
5	Endozoicomonas_vs_dominance_and_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas	dominance_tissue	0.609634793288705	2.51646703475217e-10	NA (q values only calculated for best models by AIC)	0.0006487680813614	BM_Kappa	False	-72.9663850336038	-72.6806707478895	14.712493389039011	None	None	../output/PIC_results/A5_Endozoicomonas_vs_dominance_and_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas_vs_dominance_tissue/PGLS_results.tsv	0.000493596567592817 - 0.00080393959513008	tissue	lambda=1 delta=1kappa=ML	kappa	kappa : 0.225348315903438 (95% CI  NA  -  0.539267521091377 )	0.151384100049936	7.91691396778733e-05	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
6	Endozoicomonas_vs_dominance_and_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas	dominance_tissue	0.51768017859406	2.56311811774879e-08	NA (q values only calculated for best models by AIC)	0.0006300521538567	BM_Delta	False	-50.155416687397	-49.8697024016827	37.5234617352458	None	None	../output/PIC_results/A5_Endozoicomonas_vs_dominance_and_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas_vs_dominance_tissue/PGLS_results.tsv	0.000448276744717259 - 0.000811827562996169	tissue	lambda=1 delta=MLkappa=1	delta	delta : 1 (95% CI  0.435538885291692  -  NA )	0.125446422836669	9.27425556833953e-05	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
7	Endozoicomonas_vs_dominance_and_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas	observed_features_tissue	0.0062764275494462	0.604940225993326	NA (q values only calculated for best models by AIC)	-0.0439216365742431	BM	False	562.930334453401	563.216048739115	20.744177113101955	None	None	../output/PIC_results/A5_Endozoicomonas_vs_dominance_and_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas_vs_observed_features_tissue/PGLS_results.tsv	-0.209109027476679 - 0.121265754328193	tissue	lambda=1 delta=1kappa=1	None	All parameters fixed	170.94945890861	0.0842792810726714	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
8	Endozoicomonas_vs_dominance_and_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas	observed_features_tissue	0.001539537709707	0.798027164938715	NA (q values only calculated for best models by AIC)	0.0209490911487908	BM_Kappa	False	551.147226304898	551.432940590612	8.961068964599008	None	None	../output/PIC_results/A5_Endozoicomonas_vs_dominance_and_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas_vs_observed_features_tissue/PGLS_results.tsv	-0.138512943236271 - 0.180411125533853	tissue	lambda=1 delta=1kappa=ML	kappa	kappa : 0.159760469547888 (95% CI  NA  -  0.660096548032606 )	143.169856489813	0.081358180808705	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
9	Endozoicomonas_vs_dominance_and_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas	observed_features_tissue	0.0062764275494462	0.604940225993326	NA (q values only calculated for best models by AIC)	-0.0439216365742431	BM_Delta	False	562.930334453401	563.216048739115	20.744177113101955	None	None	../output/PIC_results/A5_Endozoicomonas_vs_dominance_and_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas_vs_observed_features_tissue/PGLS_results.tsv	-0.209109027476679 - 0.121265754328193	tissue	lambda=1 delta=MLkappa=1	delta	delta : 1 (95% CI  0.410539626250887  -  NA )	170.94945890861	0.0842792810726714	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
10	Endozoicomonas_vs_dominance_and_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas	gini_index_tissue	0.0003863088424434	0.898030213461171	NA (q values only calculated for best models by AIC)	-2.10446951069658e-05	BM	False	0.736390832327857	1.02210511804214	73.83413177176584	None	None	../output/PIC_results/A5_Endozoicomonas_vs_dominance_and_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas_vs_gini_index_tissue/PGLS_results.tsv	-0.000341017637543218 - 0.000298928247329287	tissue	lambda=1 delta=1kappa=1	None	All parameters fixed	0.888667730462078	0.0001632515012429	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
11	Endozoicomonas_vs_dominance_and_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas	gini_index_tissue	0.0032545513701444	0.709722751977061	NA (q values only calculated for best models by AIC)	3.09491655011235e-05	BM_Kappa	False	-68.8014934915612	-68.5157792058469	4.296247447876809	None	None	../output/PIC_results/A5_Endozoicomonas_vs_dominance_and_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas_vs_gini_index_tissue/PGLS_results.tsv	-0.000130939838878172 - 0.000192838169880419	tissue	lambda=1 delta=1kappa=ML	kappa	kappa : 1e-06 (95% CI  NA  -  0.121362864741749 )	0.896769387683219	8.2596430805763e-05	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
