model_name	compartment	formula	n_parameters	x_traits	y_trait	x_trait	R2	Pr(>|t|)	Estimate	Std. Error	t value	CI lower	CI upper	estimated_parameter	parameter_value	n	AIC	AICc	delta_AICc	best_model	filter_column	filter_value	trait_table	tree
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	(Intercept)	0.457770318089917	0.240390107183459	8.34163810721916	6.90402752168061	1.20822781789673	-5.19025583527483	21.8735320497131	All parameters fixed	1	24	151.182998440789	152.382998440789	11.0609602549336	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	tissue_Endozoicomonas	0.457770318089917	0.00496647073555545	0.0110565738763699	0.00352331260882265	3.13811889659844	0.00415088116307752	0.0179622665896623	All parameters fixed	1	24	151.182998440789	152.382998440789	11.0609602549336	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	depth	0.457770318089917	0.0841887958052117	-1.04533342397002	0.576649473960691	-1.81277096602584	-2.17556639293297	0.0848995449929397	All parameters fixed	1	24	151.182998440789	152.382998440789	11.0609602549336	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	(Intercept)	0.427861108772757	0.515582480528294	1.7649559297103	2.6687379673905	0.66134478216911	-3.46577048637507	6.99568234579568	lambda : 1e-06 (95% CI  NA  -  0.549784666883036 )	1e-06	24	140.122038185856	141.322038185856	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	tissue_Endozoicomonas	0.427861108772757	0.00194240246083455	0.0183902621049676	0.00519568352580058	3.53952699652428	0.00820672239439848	0.0285738018155367	lambda : 1e-06 (95% CI  NA  -  0.549784666883036 )	1e-06	24	140.122038185856	141.322038185856	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	depth	0.427861108772757	0.972059333124001	-0.0187931470457343	0.53019951008998	-0.035445425142971	-1.0579841868221	1.02039789273063	lambda : 1e-06 (95% CI  NA  -  0.549784666883036 )	1e-06	24	140.122038185856	141.322038185856	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	(Intercept)	0.498291256321541	0.0690058078141074	8.24254163535547	4.30073361584758	1.91654316951482	-0.186896251705789	16.6719795224167	kappa : 0.137377573749937 (95% CI  NA  -  0.868617380911555 )	0.137377573749937	24	145.865358526606	147.065358526606	5.74332034075084	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	tissue_Endozoicomonas	0.498291256321541	0.00390183517948106	0.0140239913196411	0.00432549290180203	3.24217184908537	0.00554602523210916	0.0225019574071731	kappa : 0.137377573749937 (95% CI  NA  -  0.868617380911555 )	0.137377573749937	24	145.865358526606	147.065358526606	5.74332034075084	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	depth	0.498291256321541	0.130424106829155	-0.982841597670816	0.624406702660164	-1.57404075498167	-2.20667873488474	0.240995539543104	kappa : 0.137377573749937 (95% CI  NA  -  0.868617380911555 )	0.137377573749937	24	145.865358526606	147.065358526606	5.74332034075084	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Delta	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	(Intercept)	0.457770318089917	0.240390107183459	8.34163810721916	6.90402752168061	1.20822781789673	-5.19025583527483	21.8735320497131	delta : 1 (95% CI  0.307143793549461  -  NA )	1	24	151.182998440789	152.382998440789	11.0609602549336	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Delta	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	tissue_Endozoicomonas	0.457770318089917	0.00496647073555545	0.0110565738763699	0.00352331260882265	3.13811889659844	0.00415088116307752	0.0179622665896623	delta : 1 (95% CI  0.307143793549461  -  NA )	1	24	151.182998440789	152.382998440789	11.0609602549336	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Delta	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	depth	0.457770318089917	0.0841887958052117	-1.04533342397002	0.576649473960691	-1.81277096602584	-2.17556639293297	0.0848995449929397	delta : 1 (95% CI  0.307143793549461  -  NA )	1	24	151.182998440789	152.382998440789	11.0609602549336	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
