model_name	compartment	formula	n_parameters	x_traits	y_trait	x_trait	R2	Pr(>|t|)	Estimate	Std. Error	t value	CI lower	CI upper	estimated_parameter	parameter_value	n	AIC	AICc	delta_AICc	best_model	filter_column	filter_value	trait_table	tree
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	(Intercept)	0.546033613507994	0.493586029884546	4.83513619776933	6.92638538396271	0.698074959698974	-8.74057915479758	18.4108515503362	All parameters fixed	1	24	150.919001905568	154.252335238901	7.43104552907687	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	tissue_Endozoicomonas	0.546033613507994	0.00218551747006024	0.0141041191972508	0.00398379290503157	3.54037459613856	0.00629588510338895	0.0219123532911127	All parameters fixed	1	24	150.919001905568	154.252335238901	7.43104552907687	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	latitude	0.546033613507994	0.074865284797746	-0.12597606100886	0.066842394064491	-1.88467308467909	-0.256987153375262	0.00503503135754285	All parameters fixed	1	24	150.919001905568	154.252335238901	7.43104552907687	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	depth	0.546033613507994	0.563924493755035	-0.384015509097799	0.65387855986013	-0.587288730158003	-1.66561748642365	0.897586468228055	All parameters fixed	1	24	150.919001905568	154.252335238901	7.43104552907687	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	turf_contact_percent	0.546033613507994	0.42945967241971	-0.11169076584734	0.138343343248161	-0.807344706474154	-0.382843718613735	0.159462186919056	All parameters fixed	1	24	150.919001905568	154.252335238901	7.43104552907687	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	(Intercept)	0.442779126094898	0.621201902459725	1.75613843306257	3.49592897630665	0.502338132429076	-5.09588236049845	8.6081592266236	lambda : 1e-06 (95% CI  NA  -  0.671694313871125 )	1e-06	24	143.487956376491	146.821289709824	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	tissue_Endozoicomonas	0.442779126094898	0.00253443076640369	0.0189404428932444	0.00545029993170012	3.47511937518938	0.00825785502711219	0.0296230307593767	lambda : 1e-06 (95% CI  NA  -  0.671694313871125 )	1e-06	24	143.487956376491	146.821289709824	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	latitude	0.442779126094898	0.698011131069299	-0.0424312941842291	0.107709876459247	-0.393940607668261	-0.253542652044353	0.168680063675895	lambda : 1e-06 (95% CI  NA  -  0.671694313871125 )	1e-06	24	143.487956376491	146.821289709824	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	depth	0.442779126094898	0.876607801695255	0.0969676601181885	0.616147112420198	0.157377447956064	-1.1106806802254	1.30461600046178	lambda : 1e-06 (95% CI  NA  -  0.671694313871125 )	1e-06	24	143.487956376491	146.821289709824	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	turf_contact_percent	0.442779126094898	0.499605804732876	-0.160591517327531	0.233329153900063	-0.688261688019981	-0.617916658971654	0.296733624316592	lambda : 1e-06 (95% CI  NA  -  0.671694313871125 )	1e-06	24	143.487956376491	146.821289709824	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	(Intercept)	0.553412926211126	0.258017713501612	5.66735166263373	4.86024011193386	1.16606413101239	-3.85871895675663	15.1934222820241	kappa : 0.300429606630933 (95% CI  NA  -  0.978387893468781 )	0.300429606630933	24	146.835882527515	150.169215860848	3.3479261510243	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	tissue_Endozoicomonas	0.553412926211126	0.00297280265123634	0.0153153715637457	0.004498324205795	3.40468380291833	0.00649865612038749	0.0241320870071039	kappa : 0.300429606630933 (95% CI  NA  -  0.978387893468781 )	0.300429606630933	24	146.835882527515	150.169215860848	3.3479261510243	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	latitude	0.553412926211126	0.128987406772472	-0.131905206786339	0.0831096359648635	-1.58712290404093	-0.294800093277472	0.0309896797047934	kappa : 0.300429606630933 (95% CI  NA  -  0.978387893468781 )	0.300429606630933	24	146.835882527515	150.169215860848	3.3479261510243	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	depth	0.553412926211126	0.530689269404061	-0.4476282756585	0.700922982461894	-0.638626906035051	-1.82143732128381	0.926180769966812	kappa : 0.300429606630933 (95% CI  NA  -  0.978387893468781 )	0.300429606630933	24	146.835882527515	150.169215860848	3.3479261510243	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	turf_contact_percent	0.553412926211126	0.394702376438239	-0.159623981551879	0.183295170047259	-0.870857543658807	-0.518882514844506	0.199634551740748	kappa : 0.300429606630933 (95% CI  NA  -  0.978387893468781 )	0.300429606630933	24	146.835882527515	150.169215860848	3.3479261510243	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
