model_name	compartment	formula	n_parameters	x_traits	y_trait	x_trait	R2	Pr(>|t|)	Estimate	Std. Error	t value	CI lower	CI upper	estimated_parameter	parameter_value	n	AIC	AICc	delta_AICc	best_model	filter_column	filter_value	trait_table	tree
BM	tissue	perc_dis ~ tissue_Endozoicomonas + temperature	3	tissue_Endozoicomonas,temperature	perc_dis	(Intercept)	0.503678516591801	0.0335249349649152	24.4307399339697	10.7399343178831	2.27475692223647	3.38046867091871	45.4810111970206	All parameters fixed	1	24	149.059818995038	150.259818995038	8.94441836802633	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + temperature	3	tissue_Endozoicomonas,temperature	perc_dis	tissue_Endozoicomonas	0.503678516591801	0.000192563520021505	0.0153573194643989	0.00340612762890664	4.50873283022825	0.00868130931174186	0.0220333296170559	All parameters fixed	1	24	149.059818995038	150.259818995038	8.94441836802633	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + temperature	3	tissue_Endozoicomonas,temperature	perc_dis	temperature	0.503678516591801	0.0284993307372678	-0.808434595080739	0.343702711141151	-2.35213330845311	-1.48209190891739	-0.134777281244083	All parameters fixed	1	24	149.059818995038	150.259818995038	8.94441836802633	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + temperature	3	tissue_Endozoicomonas,temperature	perc_dis	(Intercept)	0.428019320458726	0.969229766005267	0.533324922448514	13.6620974394097	0.0390368261398931	-26.2443860587945	27.3110359036915	lambda : 1e-06 (95% CI  NA  -  0.577210617933617 )	1e-06	24	140.115400627012	141.315400627012	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + temperature	3	tissue_Endozoicomonas,temperature	perc_dis	tissue_Endozoicomonas	0.428019320458726	0.000783686621311119	0.0185380701389051	0.00472729934325747	3.92149275787789	0.00927256342612046	0.0278035768516897	lambda : 1e-06 (95% CI  NA  -  0.577210617933617 )	1e-06	24	140.115400627012	141.315400627012	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + temperature	3	tissue_Endozoicomonas,temperature	perc_dis	temperature	0.428019320458726	0.933808145201646	0.0447594855757458	0.532496709747356	0.0840558913443467	-0.998934065529071	1.08845303668056	lambda : 1e-06 (95% CI  NA  -  0.577210617933617 )	1e-06	24	140.115400627012	141.315400627012	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + temperature	3	tissue_Endozoicomonas,temperature	perc_dis	(Intercept)	0.54328528198598	0.0249193341491778	31.3205997365219	12.9672598166865	2.41535992794854	5.90477049581632	56.7364289772274	kappa : 0.135423216556155 (95% CI  NA  -  0.858796211071738 )	0.135423216556155	24	143.615626448349	144.815626448349	3.50022582133727	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + temperature	3	tissue_Endozoicomonas,temperature	perc_dis	tissue_Endozoicomonas	0.54328528198598	0.000177712716452172	0.017056165259194	0.00375490938642145	4.54236401040001	0.00969654286180792	0.02441578765658	kappa : 0.135423216556155 (95% CI  NA  -  0.858796211071738 )	0.135423216556155	24	143.615626448349	144.815626448349	3.50022582133727	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + temperature	3	tissue_Endozoicomonas,temperature	perc_dis	temperature	0.54328528198598	0.0402189045252639	-1.05599443218822	0.482901715386426	-2.18676885697785	-2.00248179434561	-0.109507070030822	kappa : 0.135423216556155 (95% CI  NA  -  0.858796211071738 )	0.135423216556155	24	143.615626448349	144.815626448349	3.50022582133727	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Delta	tissue	perc_dis ~ tissue_Endozoicomonas + temperature	3	tissue_Endozoicomonas,temperature	perc_dis	(Intercept)	0.503678516591801	0.0335249349649152	24.4307399339697	10.7399343178831	2.27475692223647	3.38046867091871	45.4810111970206	delta : 1 (95% CI  0.307359897884773  -  NA )	1	24	149.059818995038	150.259818995038	8.94441836802633	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Delta	tissue	perc_dis ~ tissue_Endozoicomonas + temperature	3	tissue_Endozoicomonas,temperature	perc_dis	tissue_Endozoicomonas	0.503678516591801	0.000192563520021505	0.0153573194643989	0.00340612762890664	4.50873283022825	0.00868130931174186	0.0220333296170559	delta : 1 (95% CI  0.307359897884773  -  NA )	1	24	149.059818995038	150.259818995038	8.94441836802633	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Delta	tissue	perc_dis ~ tissue_Endozoicomonas + temperature	3	tissue_Endozoicomonas,temperature	perc_dis	temperature	0.503678516591801	0.0284993307372678	-0.808434595080739	0.343702711141151	-2.35213330845311	-1.48209190891739	-0.134777281244083	delta : 1 (95% CI  0.307359897884773  -  NA )	1	24	149.059818995038	150.259818995038	8.94441836802633	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
