"host_name"	"perc_dis"	"tissue_Endozoicomonas"	"temperature"
"Pocillopora"	5.830450841	148.6521739	25.42307692
"Stylophora"	3.687150838	634.4285714	24.79090909
"Psammocora"	12.38164603	244.75	26.63333333
"Physogyra"	0	1.8	26.76
"Diploastrea"	0.704225352	5	27.50384615
"Echinopora"	1.87680462	46.55555556	26.55
"Favites"	0.585529067	14.22222222	21.58
"Echinophyllia"	0.553505535	55.75	23.824
"Hydnophora"	3.109656301	425.5714286	25.22
"Lobophyllia"	3.1543052	145.2941176	25.32666667
"Turbinaria"	1.872074883	44.90909091	25.50153846
"Porites"	16.51667822	340.1538462	25.53645161
"Pachyseris"	2.951510892	6.875	25.43909091
"Galaxea"	3.649635036	58.5	25.4425
"Acropora"	3.64311332	58.68181818	26.32806452
"Pavona"	4.369457063	3.708333333	26.567
"Goniastrea"	0.288018433	6.714285714	22.22
"Cyphastrea"	21.66207168	621.6666667	23.57333333
"Seriatopora"	5.12195122	62.75	22
"Tubastraea"	0.909090909	7.285714286	26.772
"Platygyra"	1.229773463	204.4	25.68
"Acanthastrea"	0	8	25.545
"Orbicella"	3.315238465	11.75	26.90909091
"Stephanocoenia"	2.111324376	50	28
