model_name	compartment	formula	n_parameters	x_traits	y_trait	x_trait	R2	Pr(>|t|)	Estimate	Std. Error	t value	CI lower	CI upper	estimated_parameter	parameter_value	n	AIC	AICc	delta_AICc	best_model	filter_column	filter_value	trait_table	tree
BM	tissue	perc_dis ~ tissue_Endozoicomonas + turf_contact_percent	3	tissue_Endozoicomonas,turf_contact_percent	perc_dis	(Intercept)	0.378379548989212	0.574334703806783	3.92861749997354	6.88521634348326	0.57058737212984	-9.56640653325365	17.4236415332007	All parameters fixed	1	24	154.462358922501	155.662358922501	14.7785454520414	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + turf_contact_percent	3	tissue_Endozoicomonas,turf_contact_percent	perc_dis	tissue_Endozoicomonas	0.378379548989212	0.00286051149119837	0.0136145671413731	0.00403385308606578	3.3750775873326	0.00570821509268413	0.021520919190062	All parameters fixed	1	24	154.462358922501	155.662358922501	14.7785454520414	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + turf_contact_percent	3	tissue_Endozoicomonas,turf_contact_percent	perc_dis	turf_contact_percent	0.378379548989212	0.671980591587027	-0.0641985799152157	0.149495486507207	-0.429434904124152	-0.357209733469341	0.228812573638909	All parameters fixed	1	24	154.462358922501	155.662358922501	14.7785454520414	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + turf_contact_percent	3	tissue_Endozoicomonas,turf_contact_percent	perc_dis	(Intercept)	0.438213201625909	0.140942950689006	2.40351216971564	1.57092749368958	1.52999561047251	-0.675505717915934	5.48253005734722	lambda : 1e-06 (95% CI  NA  -  0.543217548111379 )	1e-06	24	139.68381347046	140.88381347046	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + turf_contact_percent	3	tissue_Endozoicomonas,turf_contact_percent	perc_dis	tissue_Endozoicomonas	0.438213201625909	0.000580376880137123	0.0189009367475749	0.00467009652464577	4.0472261435771	0.00974754755926919	0.0280543259358806	lambda : 1e-06 (95% CI  NA  -  0.543217548111379 )	1e-06	24	139.68381347046	140.88381347046	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + turf_contact_percent	3	tissue_Endozoicomonas,turf_contact_percent	perc_dis	turf_contact_percent	0.438213201625909	0.539930334830439	-0.13178532291973	0.211500919793102	-0.623095743737887	-0.546327125714209	0.28275647987475	lambda : 1e-06 (95% CI  NA  -  0.543217548111379 )	1e-06	24	139.68381347046	140.88381347046	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + turf_contact_percent	3	tissue_Endozoicomonas,turf_contact_percent	perc_dis	(Intercept)	0.454629062347322	0.224203927439091	4.05119988320646	3.2348301106682	1.25236866994837	-2.28906713370321	10.3914669001161	kappa : 0.0272560301136365 (95% CI  NA  -  0.79205032145477 )	0.0272560301136365	24	148.254088364689	149.454088364689	8.5702748942295	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + turf_contact_percent	3	tissue_Endozoicomonas,turf_contact_percent	perc_dis	tissue_Endozoicomonas	0.454629062347322	0.000631001043743584	0.0182948744582554	0.00455977449167713	4.01223229167335	0.00935771645456822	0.0272320324619426	kappa : 0.0272560301136365 (95% CI  NA  -  0.79205032145477 )	0.0272560301136365	24	148.254088364689	149.454088364689	8.5702748942295	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + turf_contact_percent	3	tissue_Endozoicomonas,turf_contact_percent	perc_dis	turf_contact_percent	0.454629062347322	0.673851106645937	-0.0861476745538974	0.2018339441876	-0.426824511113083	-0.481742205161592	0.309446856053798	kappa : 0.0272560301136365 (95% CI  NA  -  0.79205032145477 )	0.0272560301136365	24	148.254088364689	149.454088364689	8.5702748942295	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Delta	tissue	perc_dis ~ tissue_Endozoicomonas + turf_contact_percent	3	tissue_Endozoicomonas,turf_contact_percent	perc_dis	(Intercept)	0.378379548989212	0.574334703806783	3.92861749997354	6.88521634348326	0.57058737212984	-9.56640653325365	17.4236415332007	delta : 1 (95% CI  0.325517177430006  -  NA )	1	24	154.462358922501	155.662358922501	14.7785454520414	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Delta	tissue	perc_dis ~ tissue_Endozoicomonas + turf_contact_percent	3	tissue_Endozoicomonas,turf_contact_percent	perc_dis	tissue_Endozoicomonas	0.378379548989212	0.00286051149119837	0.0136145671413731	0.00403385308606578	3.3750775873326	0.00570821509268413	0.021520919190062	delta : 1 (95% CI  0.325517177430006  -  NA )	1	24	154.462358922501	155.662358922501	14.7785454520414	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Delta	tissue	perc_dis ~ tissue_Endozoicomonas + turf_contact_percent	3	tissue_Endozoicomonas,turf_contact_percent	perc_dis	turf_contact_percent	0.378379548989212	0.671980591587027	-0.0641985799152157	0.149495486507207	-0.429434904124152	-0.357209733469341	0.228812573638909	delta : 1 (95% CI  0.325517177430006  -  NA )	1	24	154.462358922501	155.662358922501	14.7785454520414	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_depth.tsv	../output/huang_roy_genus_tree.newick
