	model_name	compartment	formula	n_parameters	x_traits	y_trait	x_trait	R2	Pr(>|t|)	Estimate	Std. Error	t value	CI lower	CI upper	estimated_parameter	parameter_value	n	AIC	AICc	delta_AICc	best_model	filter_column	filter_value	trait_table	tree	results_dir	FDR_q	analysis_label
24	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + turf_contact_percent	3	"tissue_Endozoicomonas,turf_contact_percent"	perc_dis	(Intercept)	0.397036952	0.046985982	3.285628079	1.561245143	2.104492106	0.225587598	6.345668561	lambda : 0.0138840725135879 (95% CI  NA  -  0.6373800422726 )	0.013884073	25	147.307026	148.4498832	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_turf_contact_percent_vs_perc_dis/PGLS_results.tsv	0.166258089	Endozoicomonas_and_confounders_vs_disease_with_zeros
34	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + turf_contact_percent	4	"tissue_Endozoicomonas,depth,turf_contact_percent"	perc_dis	(Intercept)	0.413334925	0.113480906	4.567779119	2.765579051	1.651653789	-0.852755822	9.988314059	lambda : 0.0386058838152481 (95% CI  NA  -  0.688576724188163 )	0.038605884	25	148.9642779	150.9642779	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_depth_and_turf_contact_percent_vs_perc_dis/PGLS_results.tsv	0.370932092	Endozoicomonas_and_confounders_vs_disease_with_zeros
40	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude	3	"tissue_Endozoicomonas,latitude"	perc_dis	(Intercept)	0.384559299	0.120956117	2.075437301	1.288790351	1.610376194	-0.450591788	4.601466389	lambda : 0.034979035782643 (95% CI  NA  -  0.703911267277632 )	0.034979036	26	152.9486904	154.0395995	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_latitude_vs_perc_dis/PGLS_results.tsv	0.370932092	Endozoicomonas_and_confounders_vs_disease_with_zeros
21	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	"tissue_Endozoicomonas,depth"	perc_dis	(Intercept)	0.397821516	0.147522222	3.812465219	2.543649236	1.498817197	-1.173087284	8.798017722	lambda : 0.0497743116092772 (95% CI  NA  -  0.694833483001245 )	0.049774312	26	152.5691914	153.6601004	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_depth_vs_perc_dis/PGLS_results.tsv	0.424126387	Endozoicomonas_and_confounders_vs_disease_with_zeros
5	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	"tissue_Endozoicomonas,latitude,depth,turf_contact_percent"	perc_dis	(Intercept)	0.423867236	0.251923517	3.925076295	3.326900792	1.179799621	-2.595649259	10.44580185	lambda : 0.058875293124495 (95% CI  NA  -  0.786353316983228 )	0.058875293	25	150.7641108	153.9220055	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_latitude_and_depth_and_turf_contact_percent_vs_perc_dis/PGLS_results.tsv	0.643804545	Endozoicomonas_and_confounders_vs_disease_with_zeros
45	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth	4	"tissue_Endozoicomonas,latitude,depth"	perc_dis	(Intercept)	0.398316906	0.240868116	3.712242407	3.079767936	1.205364327	-2.324102748	9.748587563	lambda : 0.0511303624751138 (95% CI  NA  -  0.7239319889783 )	0.051130362	26	154.5643262	156.4690881	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_latitude_and_depth_vs_perc_dis/PGLS_results.tsv	0.643804545	Endozoicomonas_and_confounders_vs_disease_with_zeros
0	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	"tissue_Endozoicomonas,observed_features_all"	perc_dis	(Intercept)	0.37930771	0.317367862	2.333927724	2.283478817	1.022093004	-2.141690758	6.809546206	lambda : 0.025653639186563 (95% CI  NA  -  0.647036597133267 )	0.025653639	26	153.0447982	154.1357072	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_observed_features_all_vs_perc_dis/PGLS_results.tsv	0.712204642	Endozoicomonas_and_confounders_vs_disease_with_zeros
36	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	"tissue_Endozoicomonas,observed_features_all"	perc_dis	(Intercept)	0.37930771	0.317367862	2.333927724	2.283478817	1.022093004	-2.141690758	6.809546206	lambda : 0.025653639186563 (95% CI  NA  -  0.647036597133267 )	0.025653639	26	153.0447982	154.1357072	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_observed_features_all_vs_perc_dis/PGLS_results.tsv	0.712204642	Endozoicomonas_and_confounders_vs_disease_with_zeros
9	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent	5	"tissue_Endozoicomonas,depth,temperature,turf_contact_percent"	perc_dis	(Intercept)	0.407259594	0.936693051	1.199592152	14.91435454	0.080432053	-28.03254274	30.43172705	lambda : 0.016554697781182 (95% CI  NA  -  0.735034458075234 )	0.016554698	25	150.91876	154.0766548	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_depth_and_temperature_and_turf_contact_percent_vs_perc_dis/PGLS_results.tsv	0.990049388	Endozoicomonas_and_confounders_vs_disease_with_zeros
20	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent + observed_features_all	6	"tissue_Endozoicomonas,depth,temperature,turf_contact_percent,observed_features_all"	perc_dis	(Intercept)	0.408504393	0.990049388	0.199983557	15.82561537	0.0126367	-30.81822256	31.21818968	lambda : 0.0154069148058774 (95% CI  NA  -  0.729711629371128 )	0.015406915	25	152.8494235	157.5160901	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_depth_and_temperature_and_turf_contact_percent_and_observed_features_all_vs_perc_dis/PGLS_results.tsv	0.990049388	Endozoicomonas_and_confounders_vs_disease_with_zeros
