model_name	compartment	formula	n_parameters	x_traits	y_trait	x_trait	R2	Pr(>|t|)	Estimate	Std. Error	t value	CI lower	CI upper	estimated_parameter	parameter_value	n	AIC	AICc	delta_AICc	best_model	filter_column	filter_value	trait_table	tree
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent + observed_features_all	6	tissue_Endozoicomonas,depth,temperature,turf_contact_percent,observed_features_all	perc_dis	(Intercept)	0.530279176306595	0.0552578352257242	28.1799638897997	13.7986390588832	2.04222777112632	1.13463133438858	55.2252964452107	All parameters fixed	1	25	159.505559076564	164.172225743231	6.65613560792428	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent + observed_features_all	6	tissue_Endozoicomonas,depth,temperature,turf_contact_percent,observed_features_all	perc_dis	tissue_Endozoicomonas	0.530279176306595	0.00442720669866548	0.0136755032046746	0.00423652882413402	3.22799720534652	0.00537190670937191	0.0219790996999773	All parameters fixed	1	25	159.505559076564	164.172225743231	6.65613560792428	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent + observed_features_all	6	tissue_Endozoicomonas,depth,temperature,turf_contact_percent,observed_features_all	perc_dis	depth	0.530279176306595	0.312749839039305	-0.658136436789658	0.634648276057674	-1.03700972903903	-1.9020470578627	0.585774184283383	All parameters fixed	1	25	159.505559076564	164.172225743231	6.65613560792428	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent + observed_features_all	6	tissue_Endozoicomonas,depth,temperature,turf_contact_percent,observed_features_all	perc_dis	temperature	0.530279176306595	0.111287705448096	-0.756926115280489	0.453216291277264	-1.67012115373722	-1.64523004618393	0.131377815622948	All parameters fixed	1	25	159.505559076564	164.172225743231	6.65613560792428	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent + observed_features_all	6	tissue_Endozoicomonas,depth,temperature,turf_contact_percent,observed_features_all	perc_dis	turf_contact_percent	0.530279176306595	0.662801518035368	-0.0630006041143371	0.142228527929201	-0.442953358454906	-0.341768518855572	0.215767310626898	All parameters fixed	1	25	159.505559076564	164.172225743231	6.65613560792428	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent + observed_features_all	6	tissue_Endozoicomonas,depth,temperature,turf_contact_percent,observed_features_all	perc_dis	observed_features_all	0.530279176306595	0.499103179880724	-0.0110837344828842	0.0160848661384564	-0.689078441031274	-0.0426100721142587	0.0204426031484902	All parameters fixed	1	25	159.505559076564	164.172225743231	6.65613560792428	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent + observed_features_all	6	tissue_Endozoicomonas,depth,temperature,turf_contact_percent,observed_features_all	perc_dis	(Intercept)	0.408504393487552	0.990049387700647	0.199983556844998	15.8256153680663	0.0126367001973607	-30.818222564565	31.218189678255	lambda : 0.0154069148058774 (95% CI  NA  -  0.729711629371128 )	0.0154069148058774	25	152.84942346864	157.516090135307	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent + observed_features_all	6	tissue_Endozoicomonas,depth,temperature,turf_contact_percent,observed_features_all	perc_dis	tissue_Endozoicomonas	0.408504393487552	0.00670176391745803	0.0175054440342582	0.00575390839449095	3.04235709609467	0.00622778358105599	0.0287831044874605	lambda : 0.0154069148058774 (95% CI  NA  -  0.729711629371128 )	0.0154069148058774	25	152.84942346864	157.516090135307	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent + observed_features_all	6	tissue_Endozoicomonas,depth,temperature,turf_contact_percent,observed_features_all	perc_dis	depth	0.408504393487552	0.572846038027872	-0.339365560971315	0.591454575488221	-0.573781275918245	-1.49861652892823	0.819885406985598	lambda : 0.0154069148058774 (95% CI  NA  -  0.729711629371128 )	0.0154069148058774	25	152.84942346864	157.516090135307	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent + observed_features_all	6	tissue_Endozoicomonas,depth,temperature,turf_contact_percent,observed_features_all	perc_dis	temperature	0.408504393487552	0.803820447301725	0.157195364698025	0.624030413594552	0.251903370851021	-1.0659042459473	1.38029497534335	lambda : 0.0154069148058774 (95% CI  NA  -  0.729711629371128 )	0.0154069148058774	25	152.84942346864	157.516090135307	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
