model_name	compartment	formula	n_parameters	x_traits	y_trait	x_trait	R2	Pr(>|t|)	Estimate	Std. Error	t value	CI lower	CI upper	estimated_parameter	parameter_value	n	AIC	AICc	delta_AICc	best_model	filter_column	filter_value	trait_table	tree
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature	4	tissue_Endozoicomonas,depth,temperature	perc_dis	(Intercept)	0.514529038080827	0.0469536080981785	22.1180175960884	10.5082181494931	2.10483045569009	1.52191002308195	42.7141251690948	All parameters fixed	1	26	161.084110351423	162.988872256185	6.55882543691658	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature	4	tissue_Endozoicomonas,depth,temperature	perc_dis	tissue_Endozoicomonas	0.514529038080827	0.0012939603060893	0.013327332131335	0.00361592408698183	3.68573338674793	0.00624012092085056	0.0204145433418194	All parameters fixed	1	26	161.084110351423	162.988872256185	6.55882543691658	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature	4	tissue_Endozoicomonas,depth,temperature	perc_dis	depth	0.514529038080827	0.259281341790531	-0.688235755266552	0.594331371470894	-1.15800004560294	-1.8531252433495	0.4766537328164	All parameters fixed	1	26	161.084110351423	162.988872256185	6.55882543691658	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature	4	tissue_Endozoicomonas,depth,temperature	perc_dis	temperature	0.514529038080827	0.124878969576169	-0.588400607599814	0.368800354159435	-1.59544480086221	-1.31124930175231	0.134448086552679	All parameters fixed	1	26	161.084110351423	162.988872256185	6.55882543691658	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature	4	tissue_Endozoicomonas,depth,temperature	perc_dis	(Intercept)	0.394752489560309	0.946564294292429	0.935380482291862	13.7979865287869	0.0677910853399058	-26.1086731141304	27.9794340787141	lambda : 0.0358088007494115 (95% CI  NA  -  0.729746855004518 )	0.0358088007494115	26	154.525284914506	156.430046819268	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature	4	tissue_Endozoicomonas,depth,temperature	perc_dis	tissue_Endozoicomonas	0.394752489560309	0.00417501004248444	0.0164297652621521	0.00514135186519915	3.19561191159899	0.00635271560636175	0.0265068149179424	lambda : 0.0358088007494115 (95% CI  NA  -  0.729746855004518 )	0.0358088007494115	26	154.525284914506	156.430046819268	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature	4	tissue_Endozoicomonas,depth,temperature	perc_dis	depth	0.394752489560309	0.50947115056833	-0.36573405488649	0.545404668960492	-0.670573751382724	-1.43472720604905	0.703259096276074	lambda : 0.0358088007494115 (95% CI  NA  -  0.729746855004518 )	0.0358088007494115	26	154.525284914506	156.430046819268	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature	4	tissue_Endozoicomonas,depth,temperature	perc_dis	temperature	0.394752489560309	0.837717755477147	0.115050482571583	0.555117827376299	0.207254166408879	-0.972980459085964	1.20308142422913	lambda : 0.0358088007494115 (95% CI  NA  -  0.729746855004518 )	0.0358088007494115	26	154.525284914506	156.430046819268	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature	4	tissue_Endozoicomonas,depth,temperature	perc_dis	(Intercept)	0.547396345996564	0.0317721267451456	28.1602753551586	12.2807289294362	2.29304591909524	4.09004665346357	52.2305040568536	kappa : 0.228999438048949 (95% CI  NA  -  0.883955336365318 )	0.228999438048949	26	155.839358381713	157.744120286475	1.31407346720661	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature	4	tissue_Endozoicomonas,depth,temperature	perc_dis	tissue_Endozoicomonas	0.547396345996564	0.00219425174962584	0.0138843180823993	0.0040054844585007	3.46632678924346	0.00603356854373793	0.0217350676210607	kappa : 0.228999438048949 (95% CI  NA  -  0.883955336365318 )	0.228999438048949	26	155.839358381713	157.744120286475	1.31407346720661	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
