model_name	compartment	formula	n_parameters	x_traits	y_trait	x_trait	R2	Pr(>|t|)	Estimate	Std. Error	t value	CI lower	CI upper	estimated_parameter	parameter_value	n	AIC	AICc	delta_AICc	best_model	filter_column	filter_value	trait_table	tree
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth + turf_contact_percent	4	tissue_Endozoicomonas,depth,turf_contact_percent	perc_dis	(Intercept)	0.46112630104701	0.208627663782402	8.9848980044601	6.92628632778739	1.29721723579544	-4.59062319800319	22.5604192069234	All parameters fixed	1	25	158.939126391788	160.939126391788	9.97484849733667	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth + turf_contact_percent	4	tissue_Endozoicomonas,depth,turf_contact_percent	perc_dis	tissue_Endozoicomonas	0.46112630104701	0.00808511888138463	0.0115375918534061	0.00394391826069175	2.92541353313505	0.00380751206245025	0.0192676716443619	All parameters fixed	1	25	158.939126391788	160.939126391788	9.97484849733667	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth + turf_contact_percent	4	tissue_Endozoicomonas,depth,turf_contact_percent	perc_dis	depth	0.46112630104701	0.067875282962357	-1.10272724903617	0.5728307234625	-1.92504906575313	-2.22547546702267	0.020020968950325	All parameters fixed	1	25	158.939126391788	160.939126391788	9.97484849733667	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth + turf_contact_percent	4	tissue_Endozoicomonas,depth,turf_contact_percent	perc_dis	turf_contact_percent	0.46112630104701	0.70386676407233	-0.0542555792146809	0.140802118934551	-0.38533212159897	-0.3302277323264	0.221716573897038	All parameters fixed	1	25	158.939126391788	160.939126391788	9.97484849733667	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + turf_contact_percent	4	tissue_Endozoicomonas,depth,turf_contact_percent	perc_dis	(Intercept)	0.41333492520592	0.11348090635405	4.56777911883805	2.76557905134538	1.65165378896544	-0.852755821798902	9.98831405947501	lambda : 0.0386058838152481 (95% CI  NA  -  0.688576724188163 )	0.0386058838152481	25	148.964277894451	150.964277894451	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + turf_contact_percent	4	tissue_Endozoicomonas,depth,turf_contact_percent	perc_dis	tissue_Endozoicomonas	0.41333492520592	0.00364149328410845	0.0173536578652034	0.00530397067117547	3.27182387329405	0.00695787534969945	0.0277494403807073	lambda : 0.0386058838152481 (95% CI  NA  -  0.688576724188163 )	0.0386058838152481	25	148.964277894451	150.964277894451	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + turf_contact_percent	4	tissue_Endozoicomonas,depth,turf_contact_percent	perc_dis	depth	0.41333492520592	0.585437352312019	-0.290143119913528	0.523733752076667	-0.55398973001659	-1.31666127398379	0.736375034156738	lambda : 0.0386058838152481 (95% CI  NA  -  0.688576724188163 )	0.0386058838152481	25	148.964277894451	150.964277894451	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + turf_contact_percent	4	tissue_Endozoicomonas,depth,turf_contact_percent	perc_dis	turf_contact_percent	0.41333492520592	0.375763411938377	-0.19554501632607	0.216086519340527	-0.904938526118389	-0.619074594233504	0.227984561581364	lambda : 0.0386058838152481 (95% CI  NA  -  0.688576724188163 )	0.0386058838152481	25	148.964277894451	150.964277894451	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + depth + turf_contact_percent	4	tissue_Endozoicomonas,depth,turf_contact_percent	perc_dis	(Intercept)	0.503929315761307	0.0368385440172432	9.78809244180287	4.39050970838408	2.22937496826658	1.18269341337007	18.3934914702357	kappa : 0.163934296341628 (95% CI  NA  -  0.870845518993957 )	0.163934296341628	25	153.622335037515	155.622335037515	4.65805714306364	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + depth + turf_contact_percent	4	tissue_Endozoicomonas,depth,turf_contact_percent	perc_dis	tissue_Endozoicomonas	0.503929315761307	0.00656845965550579	0.0140724480133602	0.00466508100679081	3.01654955034552	0.00492888924005025	0.0232160067866702	kappa : 0.163934296341628 (95% CI  NA  -  0.870845518993957 )	0.163934296341628	25	153.622335037515	155.622335037515	4.65805714306364	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + depth + turf_contact_percent	4	tissue_Endozoicomonas,depth,turf_contact_percent	perc_dis	depth	0.503929315761307	0.0612076674016939	-1.22072227209775	0.617174164550944	-1.97792186098061	-2.4303836346176	-0.0110609095779044	kappa : 0.163934296341628 (95% CI  NA  -  0.870845518993957 )	0.163934296341628	25	153.622335037515	155.622335037515	4.65805714306364	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + depth + turf_contact_percent	4	tissue_Endozoicomonas,depth,turf_contact_percent	perc_dis	turf_contact_percent	0.503929315761307	0.558321695336113	-0.113160919271496	0.190245203059559	-0.594816150166318	-0.486041517268232	0.25971967872524	kappa : 0.163934296341628 (95% CI  NA  -  0.870845518993957 )	0.163934296341628	25	153.622335037515	155.622335037515	4.65805714306364	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Delta	tissue	perc_dis ~ tissue_Endozoicomonas + depth + turf_contact_percent	4	tissue_Endozoicomonas,depth,turf_contact_percent	perc_dis	(Intercept)	0.46112630104701	0.208627663782402	8.9848980044601	6.92628632778739	1.29721723579544	-4.59062319800319	22.5604192069234	delta : 1 (95% CI  0.313304126959618  -  NA )	1	25	158.939126391788	160.939126391788	9.97484849733667	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
