model_name	compartment	formula	n_parameters	x_traits	y_trait	x_trait	R2	Pr(>|t|)	Estimate	Std. Error	t value	CI lower	CI upper	estimated_parameter	parameter_value	n	AIC	AICc	delta_AICc	best_model	filter_column	filter_value	trait_table	tree
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	(Intercept)	0.458359074360166	0.195337177084058	8.84251220465992	6.62970518825236	1.33377155598541	-4.15170996431471	21.8367343736345	All parameters fixed	1	26	161.930689354205	163.021598445114	9.36149800281575	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	tissue_Endozoicomonas	0.458359074360166	0.00382579713285081	0.0108768448770103	0.00338169568567607	3.21638783852777	0.00424872133308525	0.0175049684209354	All parameters fixed	1	26	161.930689354205	163.021598445114	9.36149800281575	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	depth	0.458359074360166	0.0534262300122648	-1.11577521903097	0.548022434348809	-2.03600281502489	-2.18989919035463	-0.041651247707301	All parameters fixed	1	26	161.930689354205	163.021598445114	9.36149800281575	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	(Intercept)	0.39782151596675	0.147522221506402	3.81246521927556	2.54364923632958	1.49881719728655	-1.17308728393041	8.79801772248154	lambda : 0.0497743116092772 (95% CI  NA  -  0.694833483001245 )	0.0497743116092772	26	152.569191351389	153.660100442298	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	tissue_Endozoicomonas	0.39782151596675	0.00324021234008498	0.016450696625481	0.00500683883277659	3.28564532930214	0.00663729251323887	0.0262641007377231	lambda : 0.0497743116092772 (95% CI  NA  -  0.694833483001245 )	0.0497743116092772	26	152.569191351389	153.660100442298	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	depth	0.39782151596675	0.511270006167684	-0.338224073530077	0.506914310610928	-0.667221395115977	-1.3317761223275	0.655327975267342	lambda : 0.0497743116092772 (95% CI  NA  -  0.694833483001245 )	0.0497743116092772	26	152.569191351389	153.660100442298	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	(Intercept)	0.4944062115334	0.0361419759151207	9.45424069042716	4.24831936297813	2.22540724523111	1.12753473899003	17.7809466418643	kappa : 0.21055177034392 (95% CI  NA  -  0.88778994357193 )	0.21055177034392	26	156.762822819539	157.853731910449	4.19363146815067	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	tissue_Endozoicomonas	0.4944062115334	0.00480586961108731	0.0127846155809896	0.00409672573082579	3.1206911130984	0.00475503314857104	0.0208141980134082	kappa : 0.21055177034392 (95% CI  NA  -  0.88778994357193 )	0.21055177034392	26	156.762822819539	157.853731910449	4.19363146815067	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	depth	0.4944062115334	0.0491326050113321	-1.23087242554919	0.592551567890361	-2.07724102381742	-2.3922734986143	-0.0694713524840833	kappa : 0.21055177034392 (95% CI  NA  -  0.88778994357193 )	0.21055177034392	26	156.762822819539	157.853731910449	4.19363146815067	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Delta	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	tissue_Endozoicomonas,depth	perc_dis	(Intercept)	0.458359074360166	0.195337177084058	8.84251220465992	6.62970518825236	1.33377155598541	-4.15170996431471	21.8367343736345	delta : 1 (95% CI  0.312945701379965  -  NA )	1	26	161.930689354205	163.021598445114	9.36149800281575	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
