model_name	compartment	formula	n_parameters	x_traits	y_trait	x_trait	R2	Pr(>|t|)	Estimate	Std. Error	t value	CI lower	CI upper	estimated_parameter	parameter_value	n	AIC	AICc	delta_AICc	best_model	filter_column	filter_value	trait_table	tree
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	(Intercept)	0.535881123100804	0.41364604806532	5.70662071920462	6.83523795854428	0.834882524034316	-7.69044567954217	19.1036871179514	All parameters fixed	1	25	157.205613915244	160.363508652086	6.44150312306212	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	tissue_Endozoicomonas	0.535881123100804	0.00233096713186542	0.013778896541134	0.00395296821104762	3.48570891681478	0.00603107884748071	0.0215267142347874	All parameters fixed	1	25	157.205613915244	160.363508652086	6.44150312306212	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	latitude	0.535881123100804	0.0878125655605113	-0.118666243089031	0.0661160965987638	-1.79481622772101	-0.248253792422608	0.0109213062445456	All parameters fixed	1	25	157.205613915244	160.363508652086	6.44150312306212	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	depth	0.535881123100804	0.431471507615837	-0.511193946980068	0.636684901094656	-0.802899434400233	-1.75909635312559	0.736708459165458	All parameters fixed	1	25	157.205613915244	160.363508652086	6.44150312306212	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	turf_contact_percent	0.535881123100804	0.422812908429613	-0.112774472752707	0.137810713998884	-0.81832877488481	-0.382883472190519	0.157334526685105	All parameters fixed	1	25	157.205613915244	160.363508652086	6.44150312306212	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	(Intercept)	0.423867236279903	0.251923517484433	3.92507629451698	3.32690079247767	1.17979962113443	-2.59564925873925	10.4458018477732	lambda : 0.058875293124495 (95% CI  NA  -  0.786353316983228 )	0.058875293124495	25	150.764110792182	153.922005529024	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	tissue_Endozoicomonas	0.423867236279903	0.00393206534600088	0.0175786026220106	0.00539445421779428	3.25864339788544	0.00700547235513379	0.0281517328888874	lambda : 0.058875293124495 (95% CI  NA  -  0.786353316983228 )	0.058875293124495	25	150.764110792182	153.922005529024	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	latitude	0.423867236279903	0.68421913425341	-0.044961728950628	0.108946079765452	-0.412697079577578	-0.258496045290915	0.168572587389658	lambda : 0.058875293124495 (95% CI  NA  -  0.786353316983228 )	0.058875293124495	25	150.764110792182	153.922005529024	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	depth	0.423867236279903	0.75583912552855	-0.188407359570023	0.597648292045587	-0.315247884211559	-1.35979801197937	0.982983292839327	lambda : 0.058875293124495 (95% CI  NA  -  0.786353316983228 )	0.058875293124495	25	150.764110792182	153.922005529024	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	tissue_Endozoicomonas,latitude,depth,turf_contact_percent	perc_dis	turf_contact_percent	0.423867236279903	0.344649408393411	-0.224618294254521	0.232065339227498	-0.967909705957095	-0.679466359140417	0.230229770631375	lambda : 0.058875293124495 (95% CI  NA  -  0.786353316983228 )	0.058875293124495	25	150.764110792182	153.922005529024	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
