model_name	compartment	formula	n_parameters	x_traits	y_trait	x_trait	R2	Pr(>|t|)	Estimate	Std. Error	t value	CI lower	CI upper	estimated_parameter	parameter_value	n	AIC	AICc	delta_AICc	best_model	filter_column	filter_value	trait_table	tree
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth	4	tissue_Endozoicomonas,latitude,depth	perc_dis	(Intercept)	0.516472109828719	0.363647015574255	6.13846961295162	6.61710804887268	0.927666522537349	-6.83106216283883	19.1080013887421	All parameters fixed	1	26	160.979837920038	162.8845998248	6.4155117524306	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth	4	tissue_Endozoicomonas,latitude,depth	perc_dis	tissue_Endozoicomonas	0.516472109828719	0.00162519864373789	0.0119852521269746	0.00333730319939783	3.59129854582503	0.00544413785615488	0.0185263663977944	All parameters fixed	1	26	160.979837920038	162.8845998248	6.4155117524306	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth	4	tissue_Endozoicomonas,latitude,depth	perc_dis	latitude	0.516472109828719	0.118176578852512	-0.0972070611639047	0.0597806258355353	-1.62606295610445	-0.214377087801554	0.0199629654737445	All parameters fixed	1	26	160.979837920038	162.8845998248	6.4155117524306	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth	4	tissue_Endozoicomonas,latitude,depth	perc_dis	depth	0.516472109828719	0.291202738096593	-0.650749856402828	0.601729748200612	-1.08146532284436	-1.83014016287603	0.528640450070371	All parameters fixed	1	26	160.979837920038	162.8845998248	6.4155117524306	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth	4	tissue_Endozoicomonas,latitude,depth	perc_dis	(Intercept)	0.398316906005999	0.240868115712697	3.71224240731761	3.07976793640992	1.20536432743207	-2.32410274804584	9.74858756268106	lambda : 0.0511303624751138 (95% CI  NA  -  0.7239319889783 )	0.0511303624751138	26	154.564326167607	156.469088072369	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth	4	tissue_Endozoicomonas,latitude,depth	perc_dis	tissue_Endozoicomonas	0.398316906005999	0.00411237645553109	0.0164332105319584	0.00513212487974937	3.20202857822137	0.00637424576764965	0.0264921752962672	lambda : 0.0511303624751138 (95% CI  NA  -  0.7239319889783 )	0.0511303624751138	26	154.564326167607	156.469088072369	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth	4	tissue_Endozoicomonas,latitude,depth	perc_dis	latitude	0.398316906005999	0.94910718140358	-0.00596167408191306	0.0923427964971876	-0.0645602505886274	-0.186953555216401	0.175030207052575	lambda : 0.0511303624751138 (95% CI  NA  -  0.7239319889783 )	0.0511303624751138	26	154.564326167607	156.469088072369	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth	4	tissue_Endozoicomonas,latitude,depth	perc_dis	depth	0.398316906005999	0.568677815834699	-0.324899962229531	0.561442804775196	-0.578687551904103	-1.42532785958891	0.775527935129852	lambda : 0.0511303624751138 (95% CI  NA  -  0.7239319889783 )	0.0511303624751138	26	154.564326167607	156.469088072369	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth	4	tissue_Endozoicomonas,latitude,depth	perc_dis	(Intercept)	0.518213643286058	0.120348197511784	7.560897037724	4.67881094504673	1.61598686643418	-1.60957241456759	16.7313664900156	kappa : 0.349785027443148 (95% CI  NA  -  NA )	0.349785027443148	26	157.320158431767	159.224920336529	2.75583226415949	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth	4	tissue_Endozoicomonas,latitude,depth	perc_dis	tissue_Endozoicomonas	0.518213643286058	0.00433113295430232	0.0124541875203627	0.00391639304189813	3.18001471944363	0.00477805715824234	0.020130317882483	kappa : 0.349785027443148 (95% CI  NA  -  NA )	0.349785027443148	26	157.320158431767	159.224920336529	2.75583226415949	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth	4	tissue_Endozoicomonas,latitude,depth	perc_dis	latitude	0.518213643286058	0.249257663038229	-0.0840123699404453	0.0709887629936091	-1.18346011956862	-0.223150345407919	0.0551256055270286	kappa : 0.349785027443148 (95% CI  NA  -  NA )	0.349785027443148	26	157.320158431767	159.224920336529	2.75583226415949	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth	4	tissue_Endozoicomonas,latitude,depth	perc_dis	depth	0.518213643286058	0.173137390540376	-0.896789385216829	0.636973368016882	-1.4078914916158	-2.14525718652992	0.351678416096259	kappa : 0.349785027443148 (95% CI  NA  -  NA )	0.349785027443148	26	157.320158431767	159.224920336529	2.75583226415949	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
