model_name	compartment	formula	n_parameters	x_traits	y_trait	x_trait	R2	Pr(>|t|)	Estimate	Std. Error	t value	CI lower	CI upper	estimated_parameter	parameter_value	n	AIC	AICc	delta_AICc	best_model	filter_column	filter_value	trait_table	tree
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude	3	tissue_Endozoicomonas,latitude	perc_dis	(Intercept)	0.490766728821732	0.611794802850567	3.09209277063233	6.00961901231784	0.514523926441012	-8.68676049351064	14.8709460347753	All parameters fixed	1	26	160.326565315195	161.417474406104	7.37787490352818	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude	3	tissue_Endozoicomonas,latitude	perc_dis	tissue_Endozoicomonas	0.490766728821732	0.000370509461484758	0.0131772868545655	0.00316161565087544	4.16789651547833	0.00698052017884964	0.0193740535302813	All parameters fixed	1	26	160.326565315195	161.417474406104	7.37787490352818	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + latitude	3	tissue_Endozoicomonas,latitude	perc_dis	latitude	0.490766728821732	0.0236506427740768	-0.127933402942924	0.0527910088886859	-2.42339378686021	-0.231403780364748	-0.0244630255210992	All parameters fixed	1	26	160.326565315195	161.417474406104	7.37787490352818	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude	3	tissue_Endozoicomonas,latitude	perc_dis	(Intercept)	0.38455929934253	0.120956117080651	2.07543730065401	1.28879035140241	1.6103761937662	-0.450591788094706	4.60146638940272	lambda : 0.034979035782643 (95% CI  NA  -  0.703911267277632 )	0.034979035782643	26	152.948690411667	154.039599502576	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude	3	tissue_Endozoicomonas,latitude	perc_dis	tissue_Endozoicomonas	0.38455929934253	0.00149149446993424	0.0172910663567585	0.0047963511747618	3.60504594570627	0.0078902180542254	0.0266919146592917	lambda : 0.034979035782643 (95% CI  NA  -  0.703911267277632 )	0.034979035782643	26	152.948690411667	154.039599502576	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude	3	tissue_Endozoicomonas,latitude	perc_dis	latitude	0.38455929934253	0.766267426265199	-0.0253656766881311	0.0843266573393455	-0.300802587087676	-0.190645925073248	0.139914571696986	lambda : 0.034979035782643 (95% CI  NA  -  0.703911267277632 )	0.034979035782643	26	152.948690411667	154.039599502576	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + latitude	3	tissue_Endozoicomonas,latitude	perc_dis	(Intercept)	0.477539710623713	0.402787872110094	3.33120113239187	3.90808107620361	0.852387928355843	-4.3286377769672	10.9910400417509	kappa : 0.439955057862104 (95% CI  NA  -  NA )	0.439955057862104	26	157.492180953225	158.583090044134	4.54349054155799	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + latitude	3	tissue_Endozoicomonas,latitude	perc_dis	tissue_Endozoicomonas	0.477539710623713	0.00076452443166386	0.0141083774607381	0.00363967512543934	3.87627383612573	0.00697461421487703	0.0212421407065992	kappa : 0.439955057862104 (95% CI  NA  -  NA )	0.439955057862104	26	157.492180953225	158.583090044134	4.54349054155799	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + latitude	3	tissue_Endozoicomonas,latitude	perc_dis	latitude	0.477539710623713	0.0581895217289559	-0.127439793504192	0.0639253494140245	-1.99357210672099	-0.25273347835568	-0.00214610865270434	kappa : 0.439955057862104 (95% CI  NA  -  NA )	0.439955057862104	26	157.492180953225	158.583090044134	4.54349054155799	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Delta	tissue	perc_dis ~ tissue_Endozoicomonas + latitude	3	tissue_Endozoicomonas,latitude	perc_dis	(Intercept)	0.490766728821732	0.611794802850567	3.09209277063233	6.00961901231784	0.514523926441012	-8.68676049351064	14.8709460347753	delta : 1 (95% CI  0.299194224845177  -  NA )	1	26	160.326565315195	161.417474406104	7.37787490352818	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
