model_name	compartment	formula	n_parameters	x_traits	y_trait	x_trait	R2	Pr(>|t|)	Estimate	Std. Error	t value	CI lower	CI upper	estimated_parameter	parameter_value	n	AIC	AICc	delta_AICc	best_model	filter_column	filter_value	trait_table	tree
BM	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	tissue_Endozoicomonas,observed_features_all	perc_dis	(Intercept)	0.370253101385054	0.68990520789089	2.81298944763749	6.96190765371551	0.404054403987421	-10.8323495536449	16.4583284489199	All parameters fixed	1	26	165.849271745618	166.940180836527	12.804473588134	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	tissue_Endozoicomonas,observed_features_all	perc_dis	tissue_Endozoicomonas	0.370253101385054	0.00141500849123433	0.0134438008517682	0.00370708127311755	3.62651904862671	0.00617792155645775	0.0207096801470786	All parameters fixed	1	26	165.849271745618	166.940180836527	12.804473588134	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	tissue_Endozoicomonas,observed_features_all	perc_dis	observed_features_all	0.370253101385054	0.561283861077217	0.00788197281250587	0.0133709952439659	0.589482882066156	-0.0183251778656672	0.034089123490679	All parameters fixed	1	26	165.849271745618	166.940180836527	12.804473588134	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	tissue_Endozoicomonas,observed_features_all	perc_dis	(Intercept)	0.379307710320225	0.317367861606254	2.33392772379933	2.28347881729633	1.02209300393806	-2.14169075810147	6.80954620570014	lambda : 0.025653639186563 (95% CI  NA  -  0.647036597133267 )	0.025653639186563	26	153.044798157484	154.135707248393	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	tissue_Endozoicomonas,observed_features_all	perc_dis	tissue_Endozoicomonas	0.379307710320225	0.00130222569587035	0.0174984820527175	0.00478053924790645	3.6603573666675	0.00812862512682086	0.0268683389786141	lambda : 0.025653639186563 (95% CI  NA  -  0.647036597133267 )	0.025653639186563	26	153.044798157484	154.135707248393	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	tissue_Endozoicomonas,observed_features_all	perc_dis	observed_features_all	0.379307710320225	0.961800386696598	-0.000675766983634571	0.013956673527512	-0.0484189146004218	-0.0280308470975581	0.0266793131302889	lambda : 0.025653639186563 (95% CI  NA  -  0.647036597133267 )	0.025653639186563	26	153.044798157484	154.135707248393	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	tissue_Endozoicomonas,observed_features_all	perc_dis	(Intercept)	0.406713974944856	0.502601437019529	2.81848465690319	4.1380658949405	0.68111159378812	-5.29212449718019	10.9290938109866	kappa : 0.215901580093862 (95% CI  NA  -  0.90495786746779 )	0.215901580093862	26	160.907728756056	161.998637846965	7.86293059857215	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	tissue_Endozoicomonas,observed_features_all	perc_dis	tissue_Endozoicomonas	0.406713974944856	0.000605584367995515	0.0163985644189474	0.00413030839135102	3.97030024520358	0.00830315997189937	0.0244939688659954	kappa : 0.215901580093862 (95% CI  NA  -  0.90495786746779 )	0.215901580093862	26	160.907728756056	161.998637846965	7.86293059857215	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Kappa	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	tissue_Endozoicomonas,observed_features_all	perc_dis	observed_features_all	0.406713974944856	0.5957708526791	0.00751789508361469	0.0139747576936275	0.537962464067827	-0.0198726299958953	0.0349084201631246	kappa : 0.215901580093862 (95% CI  NA  -  0.90495786746779 )	0.215901580093862	26	160.907728756056	161.998637846965	7.86293059857215	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Delta	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	tissue_Endozoicomonas,observed_features_all	perc_dis	(Intercept)	0.370253101385054	0.68990520789089	2.81298944763749	6.96190765371551	0.404054403987421	-10.8323495536449	16.4583284489199	delta : 1 (95% CI  0.325302602505045  -  NA )	1	26	165.849271745618	166.940180836527	12.804473588134	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Delta	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	tissue_Endozoicomonas,observed_features_all	perc_dis	tissue_Endozoicomonas	0.370253101385054	0.00141500849123433	0.0134438008517682	0.00370708127311755	3.62651904862671	0.00617792155645775	0.0207096801470786	delta : 1 (95% CI  0.325302602505045  -  NA )	1	26	165.849271745618	166.940180836527	12.804473588134	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
BM_Delta	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	tissue_Endozoicomonas,observed_features_all	perc_dis	observed_features_all	0.370253101385054	0.561283861077217	0.00788197281250587	0.0133709952439659	0.589482882066156	-0.0183251778656672	0.034089123490679	delta : 1 (95% CI  0.325302602505045  -  NA )	1	26	165.849271745618	166.940180836527	12.804473588134	FALSE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick
