	analysis_label	pic_x_trait	pic_y_trait	R2	p	sig_marker	FDR_q	slope	pic_filter_column	pic_filter_value	results_dir	slope_std_error	T_stat	pic_suffix	trait_table	tree
0	opportunists_vs_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Vibrionales	perc_dis	0.003987	0.699	n.s	0.842	-0.01385	None	None	" ../output/PIC_results/A6_opportunists_vs_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Vibrionales_vs_perc_dis/"""	0.03552	-0.39	../output/PIC_results/A6_opportunists_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
1	opportunists_vs_disease	tissue_D_0__Bacteria___D_1__Cyanobacteria___D_2__Oxyphotobacteria___D_3__Nostocales	perc_dis	0.007824	0.587	n.s	0.842	0.01792	None	None	" ../output/PIC_results/A6_opportunists_vs_disease/PIC_tissue_D_0__Bacteria___D_1__Cyanobacteria___D_2__Oxyphotobacteria___D_3__Nostocales_vs_perc_dis/"""	0.03274	0.547	../output/PIC_results/A6_opportunists_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
2	opportunists_vs_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55	perc_dis	0.001065	0.842	n.s	0.842	-0.002881	None	None	" ../output/PIC_results/A6_opportunists_vs_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55_vs_perc_dis/"""	0.014316	-0.201	../output/PIC_results/A6_opportunists_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
3	opportunists_vs_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Vibrionales	perc_dis	0.003987	0.699	n.s	0.842	-0.01385	None	None	" ../output/PIC_results/A6_opportunists_vs_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Vibrionales_vs_perc_dis/"""	0.03552	-0.39	../output/PIC_results/A6_opportunists_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
4	opportunists_vs_disease	tissue_D_0__Bacteria___D_1__Cyanobacteria___D_2__Oxyphotobacteria___D_3__Nostocales	perc_dis	0.007824	0.587	n.s	0.842	0.01792	None	None	" ../output/PIC_results/A6_opportunists_vs_disease/PIC_tissue_D_0__Bacteria___D_1__Cyanobacteria___D_2__Oxyphotobacteria___D_3__Nostocales_vs_perc_dis/"""	0.03274	0.547	../output/PIC_results/A6_opportunists_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
5	opportunists_vs_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55	perc_dis	0.001065	0.842	n.s	0.842	-0.002881	None	None	" ../output/PIC_results/A6_opportunists_vs_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55_vs_perc_dis/"""	0.014316	-0.201	../output/PIC_results/A6_opportunists_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
6	opportunists_vs_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Vibrionales	perc_dis	0.003987	0.699	n.s	0.842	-0.01385	None	None	" ../output/PIC_results/A6_opportunists_vs_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Vibrionales_vs_perc_dis/"""	0.03552	-0.39	../output/PIC_results/A6_opportunists_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
7	opportunists_vs_disease	tissue_D_0__Bacteria___D_1__Cyanobacteria___D_2__Oxyphotobacteria___D_3__Nostocales	perc_dis	0.007824	0.587	n.s	0.842	0.01792	None	None	" ../output/PIC_results/A6_opportunists_vs_disease/PIC_tissue_D_0__Bacteria___D_1__Cyanobacteria___D_2__Oxyphotobacteria___D_3__Nostocales_vs_perc_dis/"""	0.03274	0.547	../output/PIC_results/A6_opportunists_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
8	opportunists_vs_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55	perc_dis	0.001065	0.842	n.s	0.842	-0.002881	None	None	" ../output/PIC_results/A6_opportunists_vs_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55_vs_perc_dis/"""	0.014316	-0.201	../output/PIC_results/A6_opportunists_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
9	opportunists_vs_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Vibrionales	perc_dis	0.003987	0.699	n.s	0.842	-0.01385	None	None	" ../output/PIC_results/A6_opportunists_vs_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Vibrionales_vs_perc_dis/"""	0.03552	-0.39	../output/PIC_results/A6_opportunists_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
10	opportunists_vs_disease	tissue_D_0__Bacteria___D_1__Cyanobacteria___D_2__Oxyphotobacteria___D_3__Nostocales	perc_dis	0.007824	0.587	n.s	0.842	0.01792	None	None	" ../output/PIC_results/A6_opportunists_vs_disease/PIC_tissue_D_0__Bacteria___D_1__Cyanobacteria___D_2__Oxyphotobacteria___D_3__Nostocales_vs_perc_dis/"""	0.03274	0.547	../output/PIC_results/A6_opportunists_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
11	opportunists_vs_disease	tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55	perc_dis	0.001065	0.842	n.s	0.842	-0.002881	None	None	" ../output/PIC_results/A6_opportunists_vs_disease/PIC_tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55_vs_perc_dis/"""	0.014316	-0.201	../output/PIC_results/A6_opportunists_vs_disease	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros.tsv	../output/huang_roy_genus_tree.newick
