host_genus	n_samples_skeleton	faith_pd_skeleton	observed_features_skeleton	gini_index_skeleton	dominance_skeleton	simpson_e_skeleton	most_abundant_domain_skeleton	most_abundant_phylum_skeleton	most_abundant_class_skeleton	most_abundant_order_skeleton	most_abundant_family_skeleton	most_abundant_genus_skeleton
Lobophyllia	12	56.94700952176269	144.0	0.9603873403019744	0.15285783333333333	0.1574096987540278	D_0__Bacteria	D_0__Bacteria;D_1__Bacteroidetes	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae;D_5__Candidatus Amoebophilus
Alveopora	2	71.96094387165394	155.5	0.8413356401384082	0.05264599999999999	0.1374306805252117	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales	D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales;D_4__Pirellulaceae	Unassigned;__;__;__;__;__
Cyphastrea	4	54.05483189225006	108.25	0.9249158163265306	0.17656700000000003	0.09086646423406163	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales	Unassigned;__;__;__;__	Unassigned;__;__;__;__;__
Pocillopora	7	46.654184944955155	102.28571428571429	0.9474558058925477	0.19885771428571433	0.146612985426094	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas
Pavona	11	86.9816428901275	229.36363636363637	0.950455647990378	0.03862072727272728	0.17309177687604013	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae;D_5__Candidatus Amoebophilus
Psammocora	2	76.67782383228527	209.5	0.7847625899280576	0.21193600000000004	0.10679105376835549	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Chlamydiae;D_2__Chlamydiae	D_0__Bacteria;D_1__Chlamydiae;D_2__Chlamydiae;D_3__Chlamydiales	D_0__Bacteria;D_1__Chlamydiae;D_2__Chlamydiae;D_3__Chlamydiales;D_4__cvE6	D_0__Bacteria;D_1__Chlamydiae;D_2__Chlamydiae;D_3__Chlamydiales;D_4__cvE6;__
Turbinaria	6	85.68022892838339	232.16666666666666	0.9133258606885507	0.04022900000000001	0.197606254258881	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales	D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae	Unassigned;__;__;__;__;__
Stylophora	9	35.02710783044939	66.77777777777777	0.9563101632438126	0.22430644444444445	0.12036014291547018	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae;D_5__Candidatus Amoebophilus
Acropora	14	19.49287790091109	43.42857142857143	0.9600320855614972	0.1631697142857143	0.2138967909654085	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas
Galaxea	9	82.20546979425468	206.22222222222223	0.9389998508575689	0.1447168888888889	0.19474582195668025	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae;D_5__Candidatus Amoebophilus
