Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
perc_dis,observed_features_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.947352043,0.000105054,-0.023701969,0.172287016240306 + 4.55357820699824 - 0.633578206998244,151.885847173612 + 133.981818224841 - 130.061818224841,"lambda=1,delta=1,kappa=1",NA,523.9957827,524.2884656,,
perc_dis,observed_features_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.673601666,0.004265679,-0.019442281,2.768118873,148.998297348921 + 16.4359218335117 - 12.5159218335117,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.841951433553789,510.8274737,511.1201566,,
perc_dis,observed_features_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.966886105,4.15E-05,-0.023767011,0.108597741256686 + 4.56037821266036 - 0.640378212660365,154.322489676471 + 57.6364436515586 - 53.7164436515586,"lambda=l,delta=ML,kappa=1",3 -/+ 1.76615229085557,516.9047567,517.1974396,,
perc_dis,observed_features_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.540129204,0.009001882,-0.014593311,1.39961834697903 + 4.22597303976577 - 0.305973039765767,140.29287984505 + 63.1565889062275 - 59.2365889062275,"lambda=1,delta=1,kappa=ML",0.255134057160353 -/+ 0.690873494124212,512.7790071,513.0716901,Model_3l_AIC,Model_3l_AICc
perc_bbd,observed_features_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.794090774,0.00164003,-0.022130445,-17.95148817,154.842034161674 + 133.851768639933 - 129.931768639933,"lambda=1,delta=1,kappa=1",NA,523.9281848,524.2208677,,
perc_bbd,observed_features_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.108744888,0.060094934,0.037716242,-85.05885855,153.82395648743 + 14.54477198704 - 10.62477198704,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.752334399271864,508.2886033,508.5812863,,
perc_bbd,observed_features_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.655156645,0.004794376,-0.018900996,-31.50474432,159.023273765515 + 57.5206504213327 - 53.6006504213327,"lambda=l,delta=ML,kappa=1",3 -/+ 1.79147716879378,516.695124,516.9878069,,
perc_bbd,observed_features_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.167344361,0.044896992,0.022156445,-70.54159831,149.313374431619 + 58.3543845704549 - 54.4343845704549,"lambda=1,delta=1,kappa=ML",0.187211647887171 -/+ 0.632470441733052,511.3014959,511.5941788,Model_3l_AIC,Model_3l_AICc
perc_wd,observed_features_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.147294766,0.04933854,0.026703743,-12.69169628,157.141472652858 + 130.407728401359 - 126.487728401359,"lambda=1,delta=1,kappa=1",NA,521.7741258,522.0668087,,
perc_wd,observed_features_all,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.137619766,0.051725021,0.029147046,-22.13438746,157.25391875788 + 15.8953276984935 - 11.9753276984936,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.830181750247785,508.6786917,508.9713747,,
