Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Model,pVal,R_Squared
perc_dis,observed_features_all,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.947352043,0.000105054
perc_bbd,observed_features_all,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.794090774,0.00164003
perc_wd,observed_features_all,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.147294766,0.04933854
perc_dis,dominance_all,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.026998039,0.111154107
perc_bbd,dominance_all,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.642833504,0.005168255
perc_wd,dominance_all,581844,all,lm(y_trait_positive ~ x_trait_positive -1),6.87E-05,0.31728297
perc_dis,gini_index_all,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.751031265,0.002422578
perc_bbd,gini_index_all,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.417010126,0.015746219
perc_wd,gini_index_all,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.722925961,0.00302426
"perc_dis","observed_features_mucus",581844,"mucus","lm(y_trait_positive ~ x_trait_positive -1)",0.40664155531415,0.018193086659832
"perc_bbd","observed_features_mucus",581844,"mucus","lm(y_trait_positive ~ x_trait_positive -1)",0.689773136488,0.00423941906199194
"perc_wd","observed_features_mucus",581844,"mucus","lm(y_trait_positive ~ x_trait_positive -1)",0.357973314286492,0.0222786032554429
"perc_dis","dominance_mucus",581844,"mucus","lm(y_trait_positive ~ x_trait_positive -1)",0.118255726087909,0.0629919773766524
"perc_bbd","dominance_mucus",581844,"mucus","lm(y_trait_positive ~ x_trait_positive -1)",0.679677129569698,0.00453564284986508
"perc_wd","dominance_mucus",581844,"mucus","lm(y_trait_positive ~ x_trait_positive -1)",0.0173257659509813,0.140132085705931
"perc_dis","gini_index_mucus",581844,"mucus","lm(y_trait_positive ~ x_trait_positive -1)",0.271748054953239,0.0316935895196156
"perc_bbd","gini_index_mucus",581844,"mucus","lm(y_trait_positive ~ x_trait_positive -1)",0.635389598258276,0.00597676638986326
"perc_wd","gini_index_mucus",581844,"mucus","lm(y_trait_positive ~ x_trait_positive -1)",0.00230262670857028,0.219385700806139
"perc_dis","observed_features_tissue",581844,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.209340698554503,0.0411498162431791
"perc_bbd","observed_features_tissue",581844,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.268758567941626,0.0320851694463312
"perc_wd","observed_features_tissue",581844,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.599900261391724,0.0073096778107997
"perc_dis","dominance_tissue",581844,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.0100913768920084,0.161757869975856
"perc_bbd","dominance_tissue",581844,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.821002835420025,0.00136405152064039
"perc_wd","dominance_tissue",581844,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.337529512245612,0.0242266545818589
"perc_dis","gini_index_tissue",581844,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.696690160833792,0.00404310669301762
"perc_bbd","gini_index_tissue",581844,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.842461726128314,0.00105267943730015
"perc_wd","gini_index_tissue",581844,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.00247044129140898,0.21670165164685
"perc_dis","observed_features_skeleton",581844,"skeleton","lm(y_trait_positive ~ x_trait_positive -1)",0.624959033150184,0.00603081169707211
"perc_bbd","observed_features_skeleton",581844,"skeleton","lm(y_trait_positive ~ x_trait_positive -1)",0.52463155907191,0.0101943147781261
"perc_wd","observed_features_skeleton",581844,"skeleton","lm(y_trait_positive ~ x_trait_positive -1)",0.42920155782008,0.0156963328867279
"perc_dis","dominance_skeleton",581844,"skeleton","lm(y_trait_positive ~ x_trait_positive -1)",0.957447980944089,7.20650539169646e-05
"perc_bbd","dominance_skeleton",581844,"skeleton","lm(y_trait_positive ~ x_trait_positive -1)",0.865025652535003,0.000731149197090729
"perc_wd","dominance_skeleton",581844,"skeleton","lm(y_trait_positive ~ x_trait_positive -1)",0.909170169224877,0.000329424475899113
"perc_dis","gini_index_skeleton",581844,"skeleton","lm(y_trait_positive ~ x_trait_positive -1)",0.825156163944691,0.00123470187868903
"perc_bbd","gini_index_skeleton",581844,"skeleton","lm(y_trait_positive ~ x_trait_positive -1)",0.655860538371626,0.00501457654841257
"perc_wd","gini_index_skeleton",581844,"skeleton","lm(y_trait_positive ~ x_trait_positive -1)",0.429671999857618,0.0156646099296106
