Disease_Trait,Diversity_Trait,Filtered_Column,Filtered_Value,N_Microbes,Compartment,Model,pVal,R_Squared
perc_dis,observed_features_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.290987776,0.217892247
perc_bbd,observed_features_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.515870028,0.088961499
perc_wd,observed_features_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.188335888,0.316803326
perc_dis,dominance_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.122023625,0.408867907
perc_bbd,dominance_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.535603195,0.081214931
perc_wd,dominance_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.090456265,0.467190661
perc_dis,gini_index_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.831211713,0.009984526
perc_bbd,gini_index_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.254283782,0.248991943
perc_wd,gini_index_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.144448252,0.374070895
perc_dis,observed_features_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.095889994,0.115885281
