Disease_Trait,Taxa_String,N_Unique_Sample,Taxa,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc,Best_model
growth_rate_mm_per_year,tissue_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__Candidatus_Nitrosopumilus,17,Nitrosopumilus,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.011653916,0.33624319,0.294758389,3.917636044,0.162125350962597 + 2.05027500829213 - -1.86972499170787,"lambda=1,delta=1,kappa=1",NA,-37.83050579,-37.03050579,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__Candidatus_Nitrosopumilus,17,Nitrosopumilus,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.001407204,0.481252507,0.294758389,3.916104265,0.182281245224063 + 1.97769289310913 - -1.94230710689087,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.625093906885438,-50.04639032,-49.24639032,model_l,model_l,yes
growth_rate_mm_per_year,tissue_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__Candidatus_Nitrosopumilus,17,Nitrosopumilus,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.010336725,0.34528384,0.294758389,3.917514074,0.162298334976148 + 2.00270872715684 - -1.91729127284316,"lambda=l,delta=ML,kappa=1",3 -/+ 1.28431448027728,-42.63994685,-41.83994685,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__Candidatus_Nitrosopumilus,17,Nitrosopumilus,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.005898882,0.386271154,0.294758389,3.91678529,0.17993925766426 + 2.00653958901678 - -1.91346041098322,"lambda=1,delta=1,kappa=ML",0.0406783141331137 -/+ 0.844494191975819,-43.2282213,-42.4282213,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__uncultured_archaeon,13,archaeon,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.689233967,0.010258535,-0.051600307,3.916702118,0.138523307958875 + 2.07299567432457 - -1.84700432567543,"lambda=1,delta=1,kappa=1",NA,-30.63900305,-29.83900305,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__uncultured_archaeon,13,archaeon,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.014331432,0.320429149,-0.051600307,3.90771768,0.166076934812546 + 1.97848174863395 - -1.94151825136605,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.546444267978587,-45.18559365,-44.38559365,model_l,model_l,yes
growth_rate_mm_per_year,tissue_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__uncultured_archaeon,13,archaeon,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.415645157,0.041821334,-0.051600307,3.914017981,0.147452858864287 + 2.01600838700305 - -1.90399161299695,"lambda=l,delta=ML,kappa=1",3 -/+ 1.38060189816339,-35.78496255,-34.98496255,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Archaea___D_1__Thaumarchaeota___D_2__Nitrososphaeria___D_3__Nitrosopumilales___D_4__Nitrosopumilaceae___D_5__uncultured_archaeon,13,archaeon,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.059435837,0.204647735,-0.051600307,3.908971967,0.171255337705615 + 2.01323517314617 - -1.90676482685383,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.659866472124206,-38.42150736,-37.62150736,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Bacteroidales___D_4__Rikenellaceae___D_5__Rikenellaceae_RC9_gut_group,3,group,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.22730709,0.08968846,0.032793988,3.606644214,0.132110598462676 + 2.06479901489838 - -1.85520098510162,"lambda=1,delta=1,kappa=1",NA,-32.1448267,-31.3448267,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Bacteroidales___D_4__Rikenellaceae___D_5__Rikenellaceae_RC9_gut_group,3,group,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.46994772,0.033102982,0.032793988,3.741580226,0.14181666983494 + 1.97906580434103 - -1.94093419565897,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.967248209330383,-38.83824474,-38.03824474,model_l,model_l,yes
