Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
perc_dis,all_unweighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.810562137,0.001383434,-0.022393151,0.00137729347826598 + 1.96570981398469 - -1.95429018601531,0.00100282612291531 + 2.25064865749959 - -1.66935134250041,"lambda=1,delta=1,kappa=1",NA,-14.44165989,-14.14897696,,
perc_dis,all_unweighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.646915609,0.005042537,-0.018646926,3.917842408,0.00360900095236484 + 1.98492917374635 - -1.93507082625365,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.918824546629361,-49.22241061,-48.92972769,,
perc_dis,all_unweighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.831685707,0.001087841,-0.022695782,0.00119990656581754 + 1.96561052863599 - -1.95438947136401,0.0019964531538934 + 2.08012648003907 - -1.83987351996093,"lambda=l,delta=ML,kappa=1",3 -/+ 2.01362106026126,-23.30675985,-23.01407693,,
perc_dis,all_unweighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.366200411,0.019481042,-0.003864647,0.00325741231989382 + 1.96356590685091 - -1.95643409314909,3.906664253,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.353602607989098,-51.57524819,-51.28256526,Model_3k_AIC,Model_3k_AICc
perc_dis,all_weighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.773889734,0.001986694,-0.021775528,0.00451554184055404 + 1.97561665170814 - -1.94438334829186,3.903524846,"lambda=1,delta=1,kappa=1",NA,74.09965593,74.39233886,,
perc_dis,all_weighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.826662029,0.001154772,-0.022627257,3.917267674,0.0153872136682285 + 2.02609893129098 - -1.89390106870902,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.359031198538617,36.58760595,36.88028888,,
perc_dis,all_weighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.780036244,0.001877439,-0.021887384,0.0043071311534593 + 1.97532401300975 - -1.94467598699025,3.9023084,"lambda=l,delta=ML,kappa=1",3 -/+ 2.02999645208876,65.11353956,65.40622249,,
perc_dis,all_weighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.288130435,0.026819902,0.003648947,0.011284545044203 + 1.97048883918988 - -1.94951116081012,3.853017162,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.357519833421282,43.36736748,43.66005041,Model_3l_AIC,Model_3l_AICc
perc_bbd,all_unweighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.517281913,0.010052138,-0.013518049,3.800716033,0.0186981941297735 + 2.24932148710447 - -1.67067851289553,"lambda=1,delta=1,kappa=1",NA,-14.82527872,-14.5325958,,
perc_bbd,all_unweighted_unifrac_ordination_PC1,581844,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.024789837,0.114308188,0.093220287,3.708584072,0.0168510624821476 + 1.98104630246821 - -1.93895369753179,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.643851978337275,-54.34097184,-54.04828891,,
