Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Model,pVal,R_Squared
perc_dis,all_unweighted_unifrac_ordination_PC1,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.810562137,0.001383434
perc_dis,all_weighted_unifrac_ordination_PC1,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.773889734,0.001986694
perc_bbd,all_unweighted_unifrac_ordination_PC1,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.517281913,0.010052138
perc_bbd,all_weighted_unifrac_ordination_PC1,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.843412261,0.000939691
perc_wd,all_unweighted_unifrac_ordination_PC1,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.982417311,1.17E-05
perc_wd,all_weighted_unifrac_ordination_PC1,581844,all,lm(y_trait_positive ~ x_trait_positive -1),0.799597145,0.001551673
perc_dis,mucus_weighted_unifrac_ordination_PC1,581844,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.886255421,0.000545445
perc_dis,mucus_unweighted_unifrac_ordination_PC1,581844,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.549542636,0.009503924
perc_bbd,mucus_unweighted_unifrac_ordination_PC1,581844,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.864652352,0.000774428
perc_bbd,mucus_weighted_unifrac_ordination_PC1,581844,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.962761197,5.81E-05
perc_wd,mucus_unweighted_unifrac_ordination_PC1,581844,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.800876849,0.001694705
perc_wd,mucus_weighted_unifrac_ordination_PC1,581844,mucus,lm(y_trait_positive ~ x_trait_positive -1),0.554862306,0.009254079
perc_dis,tissue_weighted_unifrac_ordination_PC1,581844,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.125714844,0.060599862
perc_dis,tissue_unweighted_unifrac_ordination_PC1,581844,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.229326221,0.0377964
perc_bbd,tissue_unweighted_unifrac_ordination_PC1,581844,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.176641731,0.04751141
perc_bbd,tissue_weighted_unifrac_ordination_PC1,581844,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.197739034,0.043269724
perc_wd,tissue_unweighted_unifrac_ordination_PC1,581844,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.906338403,0.000369058
perc_wd,tissue_weighted_unifrac_ordination_PC1,581844,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.906338403,0.000369058
perc_dis,skeleton_unweighted_unifrac_ordination_PC1,581844,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.860957037,0.000776335
perc_dis,skeleton_weighted_unifrac_ordination_PC1,581844,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.714356221,0.003385484
perc_bbd,skeleton_unweighted_unifrac_ordination_PC1,581844,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.289766087,0.027970602
perc_bbd,skeleton_weighted_unifrac_ordination_PC1,581844,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.63358084,0.005735804
