Disease_Trait,Diversity_Trait,Filtered_column,Filtered_Value,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc,Best_Model
perc_dis,tissue_weighted_unifrac_ordination_PC1,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC1,caper,"pgls(x_trait~y_trait, data=comp.data)",0.969657628,0.000137632,-0.090758947,3.918630637,3.851666292,"lambda=1,delta=1,kappa=1",NA,17.73398476,18.93398476,,,n
perc_dis,tissue_weighted_unifrac_ordination_PC1,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.991824976,9.99E-06,-0.090898196,0.000766769174926726 + 2.03315602944879 - -1.88684397055121,3.857916512,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.804670979908614,11.28099605,12.48099605,,,y
perc_dis,tissue_weighted_unifrac_ordination_PC1,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.979905927,6.03E-05,-0.090843258,3.919055255,3.837150065,"lambda=l,delta=ML,kappa=1",3 -/+ 0.912154511763393,14.16431347,15.36431347,,,n
perc_dis,tissue_weighted_unifrac_ordination_PC1,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.714289724,0.012668796,-0.077088586,0.0231628335023359 + 2.02165369363358 - -1.89834630636642,3.797724154,"lambda=1,delta=1,kappa=ML",0.017213375315364 -/+ 1.15345748409997,15.00645376,16.20645376,Model_3l_AIC,Model_3l_AICc,n
perc_bbd,tissue_weighted_unifrac_ordination_PC1,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC1,caper,"pgls(x_trait~y_trait, data=comp.data)",0.003871972,0.546707614,0.505499216,5.95919750663679 + 3.59607454476426 - -0.323925455235735,3.75094499,"lambda=1,delta=1,kappa=1",NA,7.449941158,8.649941158,,,n
perc_bbd,tissue_weighted_unifrac_ordination_PC1,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.002010391,0.595198186,0.558398021,5.81078995487571 + 3.40487161698689 - -0.515128383013112,3.762322107,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.710891634144354,-0.475523965,0.724476035,,,y
perc_bbd,tissue_weighted_unifrac_ordination_PC1,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.00357296,0.552926751,0.512283728,5.91818015667642 + 3.56452829508552 - -0.355471704914482,3.749379805,"lambda=l,delta=ML,kappa=1",3 -/+ 0.9706652459926,3.699671214,4.899671214,,,n
perc_bbd,tissue_weighted_unifrac_ordination_PC1,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.001391101,0.620290484,0.585771437,5.79699592316684 + 3.32752361311896 - -0.592476386881037,3.704463491,"lambda=1,delta=1,kappa=ML",0.00437106213674123 -/+ 0.876341690312531,2.588755714,3.788755714,Model_3l_AIC,Model_3l_AICc,n
perc_wd,tissue_weighted_unifrac_ordination_PC1,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC1,caper,"pgls(x_trait~y_trait, data=comp.data)",0.337194619,0.083865114,0.000580124,3.696157469,3.910147943,"lambda=1,delta=1,kappa=1",NA,16.5970824,17.7970824,,,n
perc_wd,tissue_weighted_unifrac_ordination_PC1,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.401528293,0.064739421,-0.020284268,3.648182534,0.00826041044386708 + 2.10794583379899 - -1.81205416620101,"lambda=ML,delta=1,kappa=1",0.0927451891187061 -/+ 0.878142188732981,10.66719869,11.86719869,,,y
perc_wd,tissue_weighted_unifrac_ordination_PC1,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.343350555,0.081843419,-0.001625361,3.692841621,3.89323123,"lambda=l,delta=ML,kappa=1",3 -/+ 0.903348950069833,13.05506264,14.25506264,,,n
perc_wd,tissue_weighted_unifrac_ordination_PC1,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.169458455,0.164273601,0.088298474,3.493569517,0.071431749023297 + 2.20988033746647 - -1.71011966253353,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 1.01257851687034,12.84623166,14.04623166,Model_3l_AIC,Model_3l_AICc,n
perc_dis,tissue_weighted_unifrac_ordination_PC2,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC2,caper,"pgls(x_trait~y_trait, data=comp.data)",0.717313347,0.01239185,-0.077390709,3.908812549,3.840816596,"lambda=1,delta=1,kappa=1",NA,13.68255859,14.88255859,,,n
perc_dis,tissue_weighted_unifrac_ordination_PC2,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC2,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.69291837,0.01472474,-0.074845738,3.902665769,3.819377327,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.610287681977792,-2.685241975,-1.485241975,,,y
perc_dis,tissue_weighted_unifrac_ordination_PC2,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC2,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.721297211,0.012032143,-0.077783116,3.908804608,3.846786027,"lambda=l,delta=ML,kappa=1",3 -/+ 1.12251410900076,9.45070987,10.65070987,,,n
perc_dis,tissue_weighted_unifrac_ordination_PC2,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC2,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.691235506,0.014894067,-0.074661018,3.90297448,3.843941454,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.616439648517833,4.628424174,5.828424174,Model_3l_AIC,Model_3l_AICc,n
perc_bbd,tissue_weighted_unifrac_ordination_PC2,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC2,caper,"pgls(x_trait~y_trait, data=comp.data)",0.51944653,0.038703485,-0.048687107,1.3651786776034 + 4.01138322060643 - 0.0913832206064291,3.801076264,"lambda=1,delta=1,kappa=1",NA,13.33151829,14.53151829,,,n
perc_bbd,tissue_weighted_unifrac_ordination_PC2,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC2,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.464645721,0.049582919,-0.036818633,2.93257859,3.8111616,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.580164443377931,-3.153503706,-1.953503706,,,y
perc_bbd,tissue_weighted_unifrac_ordination_PC2,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC2,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.605993231,0.024989563,-0.06364775,1.05588078822798 + 3.94858358076296 - 0.0285835807629569,3.813624196,"lambda=l,delta=ML,kappa=1",3 -/+ 1.0671343218665,9.27908403,10.47908403,,,n
perc_bbd,tissue_weighted_unifrac_ordination_PC2,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC2,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.600618488,0.025732377,-0.062837407,3.127254842,3.837450652,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.584145318442475,4.484603235,5.684603235,Model_3l_AIC,Model_3l_AICc,n
perc_wd,tissue_weighted_unifrac_ordination_PC2,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC2,caper,"pgls(x_trait~y_trait, data=comp.data)",0.026923034,0.371793208,0.3146835,3.514204804,0.0134934096014865 + 2.3835060161368 - -1.5364939838632,"lambda=1,delta=1,kappa=1",NA,7.801142652,9.001142652,,,n
perc_wd,tissue_weighted_unifrac_ordination_PC2,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC2,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.614191188,0.023882209,-0.064855772,3.822899226,3.826265794,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.660562349575997,-2.8066332,-1.6066332,,,y
perc_wd,tissue_weighted_unifrac_ordination_PC2,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC2,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.034662302,0.345407184,0.285898746,3.528362978,0.00828923176710468 + 2.1743200886633 - -1.7456799113367,"lambda=l,delta=ML,kappa=1",3 -/+ 0.955005729512593,4.099431782,5.299431782,,,n
perc_wd,tissue_weighted_unifrac_ordination_PC2,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC2,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.376540257,0.07166934,-0.012724356,3.735012781,3.884606878,"lambda=1,delta=1,kappa=ML",0.149689723310238 -/+ 1.02659350807648,4.182614641,5.382614641,Model_3l_AIC,Model_3l_AICc,n
perc_dis,tissue_weighted_unifrac_ordination_PC3,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC3,caper,"pgls(x_trait~y_trait, data=comp.data)",0.912061102,0.001159614,-0.089644058,0.00270122850844751 + 1.98390321907858 - -1.93609678092142,3.813544855,"lambda=1,delta=1,kappa=1",NA,7.677716877,8.877716877,,,n
perc_dis,tissue_weighted_unifrac_ordination_PC3,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC3,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.862202008,0.002861885,-0.087787034,3.913112283,3.816657384,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.51019112390751,-5.23155366,-4.03155366,,,y
perc_dis,tissue_weighted_unifrac_ordination_PC3,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC3,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.921405478,0.000925617,-0.089899327,0.00246246679077572 + 1.98439256083819 - -1.93560743916181,3.813599947,"lambda=l,delta=ML,kappa=1",3 -/+ 1.08552938956322,3.566631484,4.766631484,,,n
perc_dis,tissue_weighted_unifrac_ordination_PC3,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC3,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.956245299,0.000286328,-0.090596733,0.00194227370439326 + 1.99460351464409 - -1.92539648535591,3.806827664,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.602524585464628,-0.251870156,0.948129844,Model_3l_AIC,Model_3l_AICc,n
perc_bbd,tissue_weighted_unifrac_ordination_PC3,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC3,caper,"pgls(x_trait~y_trait, data=comp.data)",0.990394149,1.38E-05,-0.090894048,3.899661385,3.818021657,"lambda=1,delta=1,kappa=1",NA,7.692621343,8.892621343,,,n
perc_bbd,tissue_weighted_unifrac_ordination_PC3,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC3,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.608300239,0.024674826,-0.063991099,0.627815471576525 + 3.15009968245749 - -0.769900317542509,3.796418559,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.52572465014486,-5.519092387,-4.319092387,,,y
perc_bbd,tissue_weighted_unifrac_ordination_PC3,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC3,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.968288172,0.000150342,-0.090745082,0.0649474697733689 + 3.5569582876114 - -0.363041712388603,3.81656177,"lambda=l,delta=ML,kappa=1",3 -/+ 1.08708246746607,3.576715483,4.776715483,,,n
perc_bbd,tissue_weighted_unifrac_ordination_PC3,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC3,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.503905117,0.041598051,-0.045529399,0.82930663155995 + 3.16020697468496 - -0.759793025315036,3.791755565,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.554644177830172,-0.800491603,0.399508397,Model_3l_AIC,Model_3l_AICc,n
perc_wd,tissue_weighted_unifrac_ordination_PC3,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC3,caper,"pgls(x_trait~y_trait, data=comp.data)",0.289294039,0.101274588,0.019572278,0.167166029350661 + 2.11014640967715 - -1.80985359032285,3.772443434,"lambda=1,delta=1,kappa=1",NA,6.304690126,7.504690126,,,n
perc_wd,tissue_weighted_unifrac_ordination_PC3,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC3,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.843515832,0.00369996,-0.086872771,0.0344470798256271 + 2.13043259270917 - -1.78956740729083,3.795677886,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.522575405375778,-5.242484492,-4.042484492,,,y
perc_wd,tissue_weighted_unifrac_ordination_PC3,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC3,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.308938949,0.093751525,0.0113653,0.161805854956468 + 2.11168141207317 - -1.80831858792683,3.776493538,"lambda=l,delta=ML,kappa=1",3 -/+ 1.05242817945796,2.298927244,3.498927244,,,n
perc_wd,tissue_weighted_unifrac_ordination_PC3,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,47958,PC3,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.59483759,0.026546411,-0.06194937,0.0947055885470541 + 2.13291552330605 - -1.78708447669395,3.7732827,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.668383846328722,-0.597914049,0.602085951,Model_3l_AIC,Model_3l_AICc,n
perc_dis,mucus_weighted_unifrac_ordination_PC1,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC1,caper,"pgls(x_trait~y_trait, data=comp.data)",0.528313722,0.051511916,-0.067049094,3.904960389,0.0658259579473338 + 2.73553804162218 - -1.18446195837782,"lambda=1,delta=1,kappa=1",NA,23.46581998,25.18010569,,,n
perc_dis,mucus_weighted_unifrac_ordination_PC1,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.935729934,0.000864714,-0.124027197,3.918625314,3.902030108,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.69478680372292,7.284203236,8.998488951,,,y
perc_dis,mucus_weighted_unifrac_ordination_PC1,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.562403755,0.043650681,-0.075892984,3.906475737,0.0458496042174279 + 2.33767529839782 - -1.58232470160218,"lambda=l,delta=ML,kappa=1",3 -/+ 1.16159873394457,19.10311441,20.81740012,,,n
perc_dis,mucus_weighted_unifrac_ordination_PC1,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.946581886,0.000597035,-0.124328336,3.918632825,0.0886883938988534 + 2.24139726932554 - -1.67860273067446,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.552426150000758,13.46468956,15.17897527,Model_3l_AIC,Model_3l_AICc,n
perc_bbd,mucus_weighted_unifrac_ordination_PC1,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC1,caper,"pgls(x_trait~y_trait, data=comp.data)",0.002526674,0.700502828,0.663065682,13.6119684026679 + 5.10678705752474 - 1.18678705752474,3.806710442,"lambda=1,delta=1,kappa=1",NA,11.93817747,13.65246318,,,n
perc_bbd,mucus_weighted_unifrac_ordination_PC1,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.285149199,0.140888563,0.033499634,6.18014615913308 + 7.35561101890392 - 3.43561101890392,3.823011205,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.906703860837221,5.774287746,7.488573461,,,y
perc_bbd,mucus_weighted_unifrac_ordination_PC1,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.004899206,0.64909856,0.60523588,13.1576554414682 + 5.38035172664661 - 1.46035172664661,3.797789765,"lambda=l,delta=ML,kappa=1",3 -/+ 0.684615085719884,9.076935846,10.79122156,,,n
perc_bbd,mucus_weighted_unifrac_ordination_PC1,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.047544361,0.405976403,0.331723454,10.5803130052844 + 6.48485821284523 - 2.56485821284523,3.900047831,"lambda=1,delta=1,kappa=ML",0.177421930531146 -/+ 1.13118606071006,8.941249969,10.65553568,Model_3l_AIC,Model_3l_AICc,n
perc_wd,mucus_weighted_unifrac_ordination_PC1,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC1,caper,"pgls(x_trait~y_trait, data=comp.data)",0.288815485,0.138918068,0.031282826,3.77636686,0.105524119868445 + 2.69959344556654 - -1.22040655443346,"lambda=1,delta=1,kappa=1",NA,22.49902431,24.21331003,,,n
perc_wd,mucus_weighted_unifrac_ordination_PC1,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.595448497,0.03680409,-0.083595399,3.865457754,0.0190280578504352 + 2.08508773486405 - -1.83491226513595,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.696464261781885,6.917869608,8.632155323,,,y
perc_wd,mucus_weighted_unifrac_ordination_PC1,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.311842051,0.127139875,0.01803236,3.785330571,0.0923753286323099 + 2.32403557643787 - -1.59596442356213,"lambda=l,delta=ML,kappa=1",3 -/+ 1.14570486939248,18.18963517,19.90392089,,,n
perc_wd,mucus_weighted_unifrac_ordination_PC1,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC1,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.886902022,0.002687492,-0.121976571,3.903131931,0.090169588432236 + 2.23215404216777 - -1.68784595783223,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.598981545234147,13.44375059,15.1580363,Model_3l_AIC,Model_3l_AICc,n
perc_dis,mucus_weighted_unifrac_ordination_PC2,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC2,caper,"pgls(x_trait~y_trait, data=comp.data)",0.673383293,0.02335714,-0.098723218,3.916775388,0.0156201064067184 + 2.2105762760817 - -1.7094237239183,"lambda=1,delta=1,kappa=1",NA,0.869946654,2.584232368,,,n
perc_dis,mucus_weighted_unifrac_ordination_PC2,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC2,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.792535178,0.009160994,-0.114693882,3.918159145,0.0216422468908147 + 2.00881663106817 - -1.91118336893183,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.623986322026497,-10.56220235,-8.847916633,,,y
perc_dis,mucus_weighted_unifrac_ordination_PC2,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC2,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.67882028,0.022549719,-0.099631566,3.916862493,0.0063386289550328 + 2.08324058038501 - -1.83675941961499,"lambda=l,delta=ML,kappa=1",3 -/+ 1.10174395546478,-3.294814481,-1.580528767,,,n
perc_dis,mucus_weighted_unifrac_ordination_PC2,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC2,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.486194813,0.062457626,-0.054735171,3.91476306,0.0319872569390971 + 2.06207175612023 - -1.85792824387977,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.566853915876956,-6.81713811,-5.102852395,Model_3l_AIC,Model_3l_AICc,n
perc_bbd,mucus_weighted_unifrac_ordination_PC2,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC2,caper,"pgls(x_trait~y_trait, data=comp.data)",0.188852948,0.204998527,0.105623343,1.575359564,0.0268961696666484 + 2.1854923541171 - -1.7345076458829,"lambda=1,delta=1,kappa=1",NA,-1.187824047,0.526461667,,,n
perc_bbd,mucus_weighted_unifrac_ordination_PC2,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC2,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.235441568,0.17062803,0.066956534,1.121876415,0.0479503255446331 + 2.00588295064068 - -1.91411704935932,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.673582067521148,-12.34103549,-10.62674977,,,y
perc_bbd,mucus_weighted_unifrac_ordination_PC2,most_abundant_class_mucus,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,30847,PC2,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.192822281,0.201761168,0.101981314,1.552237867,0.0194198708512408 + 2.07066204608224 - -1.84933795391776,"lambda=l,delta=ML,kappa=1",3 -/+ 1.09172711587217,-5.320210341,-3.605924627,,,n
