"Disease_Trait","Diversity_Trait","Filtered_Column","Filtered_Value","N_Microbes","Compartment","Model","pVal","R_Squared"
"perc_dis","tissue_weighted_unifrac_ordination_PC1","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.969657627519054,0.000137631963019683
"perc_bbd","tissue_weighted_unifrac_ordination_PC1","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.00387197225306059,0.546707614328407
"perc_wd","tissue_weighted_unifrac_ordination_PC1","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.337194619393334,0.0838651138535367
"perc_dis","tissue_weighted_unifrac_ordination_PC2","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.717313346922926,0.0123918501312357
"perc_bbd","tissue_weighted_unifrac_ordination_PC2","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.519446530457141,0.0387034854980513
"perc_wd","tissue_weighted_unifrac_ordination_PC2","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.0269230335163561,0.371793208012707
"perc_dis","tissue_weighted_unifrac_ordination_PC3","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.912061102143001,0.00115961353067709
"perc_bbd","tissue_weighted_unifrac_ordination_PC3","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.990394148618481,1.37889314904648e-05
"perc_wd","tissue_weighted_unifrac_ordination_PC3","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.289294038611566,0.101274588392601
"perc_dis","mucus_weighted_unifrac_ordination_PC1","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",30847,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.528313721631361,0.0515119162620299
"perc_bbd","mucus_weighted_unifrac_ordination_PC1","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",30847,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.00252667424618159,0.700502828024263
"perc_wd","mucus_weighted_unifrac_ordination_PC1","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",30847,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.288815484716179,0.138918067741284
"perc_dis","mucus_weighted_unifrac_ordination_PC2","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",30847,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.673383292662356,0.02335713976215
"perc_bbd","mucus_weighted_unifrac_ordination_PC2","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",30847,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.188852948044077,0.204998526732087
"perc_wd","mucus_weighted_unifrac_ordination_PC2","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",30847,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.00572134470672121,0.635916853735113
"perc_dis","mucus_weighted_unifrac_ordination_PC3","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",30847,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.563425519498153,0.0434279033002807
"perc_bbd","mucus_weighted_unifrac_ordination_PC3","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",30847,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.0823111270597583,0.330165946930292
"perc_wd","mucus_weighted_unifrac_ordination_PC3","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",30847,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.881652561956102,0.00294427388194444
"perc_dis","skeleton_weighted_unifrac_ordination_PC1","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",389333,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.832840430542357,0.00254121845708864
"perc_dis","skeleton_weighted_unifrac_ordination_PC1","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",389333,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.832840430542357,0.00254121845708864
"perc_bbd","skeleton_weighted_unifrac_ordination_PC1","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",389333,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.150962952865419,0.111104706448075
"perc_wd","skeleton_weighted_unifrac_ordination_PC1","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",389333,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.97937898787005,3.81604305574725e-05
"perc_dis","skeleton_weighted_unifrac_ordination_PC2","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",389333,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.824674427670566,0.00279940421224107
"perc_bbd","skeleton_weighted_unifrac_ordination_PC2","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",389333,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.0917917390755574,0.149821883638407
"perc_wd","skeleton_weighted_unifrac_ordination_PC2","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",389333,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.541631412769205,0.0210526021097511
"perc_dis","skeleton_weighted_unifrac_ordination_PC3","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",389333,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.194135420732699,0.0917892906736649
"perc_bbd","skeleton_weighted_unifrac_ordination_PC3","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",389333,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.578337064766066,0.0174904903374089
"perc_wd","skeleton_weighted_unifrac_ordination_PC3","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",389333,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.628481090844301,0.0132837451185346
