"","genus_mrcas"
"",NA
"Acropora","477"
"Alveopora","POR_Alveopora"
"Isopora","ACR_Isopora_palifera"
"Montipora","479"
"Gardineroseris","AGA_Gardineroseris_planulata"
"Pachyseris","AGA_Pachyseris"
"Pavona","486"
"Stephanocoenia","AST_Stephanocoenia_intersepta"
"Coscinaraea",NA
"Dendrophyllia","DEN_Dendrophyllia"
"Eguchipsammia",NA
"Tubastraea","DEN_Tubastraea"
"Turbinaria","DEN_Turbinaria"
"Diploastrea","FAV_Diploastrea_heliopora"
"Galaxea","539"
"Ctenactis","FUN_Ctenactis_echinata"
"Danafungia","FUN_Danafungia_scruposa"
"Fungid","524"
"Herpolitha","FUN_Herpolitha_limax"
"Lithophyllon","FUN_Lithophyllon_repanda"
"Podabacia","FUN_Podabacia_sinai"
"Leptastrea","FAV_Leptastrea_transversa"
"Physogyra","EUP_Physogyra_lichtensteini"
"Plerogyra","EUP_Plerogyra"
"Acanthastrea","MUS_Acanthastrea_echinata"
"Echinophyllia","544"
"Homophyllia","MUS_Acanthastrea_hillae"
"Lobophyllia","523"
"Oxypora","PEC_Oxypora"
"Astrea","FAV_Montastraea_curta"
"Caulastraea","FAV_Caulastraea_furcata"
"Cyphastrea","505"
"Dipsastraea","503"
"Echinopora","506"
"Favites","503"
"Goniastrea","515"
"Hydnophora","531"
"Merulina","MER_Merulina_ampliata"
"Mycedium","PEC_Mycedium_elephantotus"
"Orbicella","518"
"Pectinia","PEC_Pectinia_lactuca"
"Platygyra","521"
"Montastraea","FAV_Montastraea_cavernosa"
"Diploria","FAV_Diploria_labyrinthiformis"
"Scolymia",NA
"Pocillopora","550"
"Seriatopora","POC_Seriatopora_hystrix"
"Stylophora","POC_Stylophora"
"Goniopora",NA
"Porites","553"
"Psammocora","562"
"Siderastrea","SID_Siderastrea_siderea"
"unknown",NA
