"","V1","V2"
"COR_Discosoma",-11.661666740218,11.0470689545991
"COR_Ricordea_florida",-17.1695475120384,7.29974488365248
"MIC_Letepsammia",-12.0612350653503,-22.4669250934481
"MIC_Rhombopsammia",-13.7123126793836,-20.8272404530686
"MIC_Stephanophyllia",-13.4095957507729,-20.2644178375939
"GAR_Gardineria_hawaiiensis",-45.6515178042334,-30.7653221429703
"GAR_Gardineria_paradoxa",-45.5554452076536,-25.3975940986203
"ANT_Anthemiphyllia_patera",-23.7626141239715,8.88454154936255
"CAR_Deltocyathus_ornatus",-56.310877022836,1.65142604359269
"CAR_Deltocyathus_suluensis",-55.1788426640063,6.92593028061258
"CAR_Deltocyathus_sarsi",-55.8767722174878,9.08635350324695
"CAR_Deltocyathus_inusitatus",-61.411776132567,8.53800126684868
"CAR_Deltocyathus_rotulus",-60.5749134433735,7.5355146740607
"ANT_Anthemiphyllia_spinifera",-60.4923704367995,8.61856966284609
"ANT_Anthemiphyllia_dentata",-28.7723759087095,-0.890966800918394
"CAR_Ceratotrochus",-30.3409349576617,3.40207886355385
"CAR_Conotrochus",-29.5905349876224,2.53170743816432
"CAR_Vaughanella",-45.7267244333163,5.60598492668398
"CAR_Stephanocyathus_weberianus",-34.9544530853873,7.40866606824847
"CAR_Stephanocyathus_platypus",-40.5796936334982,5.634169947806
"CAR_Stephanocyathus_coronatus",-41.2527802970742,5.5534657659908
"CAR_Stephanocyathus_spiniger",-42.7511200158234,4.74860647638352
"CAR_Caryophyllia_versicolorata",-37.373596084201,8.21757114542046
"CAR_Crispatotrochus",-40.0771026709828,4.44665889091516
"CAR_Caryophyllia_inornata",-37.8042291973948,1.05196729640471
"CAR_Caryophyllia_rugosa",-37.1309465495509,2.1377027192098
"CAR_Caryophyllia_lamellifera",-25.6429905670378,-18.9569671414561
"CAR_Caryophyllia_grayi",-31.5260348165057,-12.2054370413972
"STE_Stenocyathus_vermiformis",-31.3282579345254,-15.5663581362025
"CAR_Caryophyllia_planilamellata",-29.8816207770335,6.02223702529546
"CAR_Caryophyllia_quadragenaria",-24.2150096774409,0.646631609304379
"CAR_Caryophyllia_ambrosia",-25.6057817805176,0.0566555985188345
"CAR_Caryophyllia_atlantica",-28.0276376809326,-0.878347489996413
"CAR_Dasmosmilia_lymani",-27.106627641096,0.0699064230901418
"CAR_Caryophyllia_scobinosa",-24.6445660031238,0.512945725954266
"CAR_Caryophyllia_unicristata",-26.3406364821942,-0.342529749712349
"CAR_Caryophyllia_grandis",-25.4725188136232,0.558257166449021
"CAR_Caryophyllia_transversalis",-25.8926504813686,0.404612442338443
"CAR_Lophelia_pertusa",-24.0373701157201,-9.02040601039677
"CAR_Solenosmilia_variabilis",-32.8020927430856,-2.23672070536574
"CAR_Caryophyllia_diomedeae",-34.7270507330336,5.21158443606284
"CAR_Desmophyllum",-34.3500426688961,-0.870827600359442
"CAR_Caryophyllia_ralphae",-33.4388440768662,4.25931329793893
"CAR_Rhizosmilia_robusta",-41.0182803750615,4.64996828582105
"OCU_Madrepora",-48.090252769573,8.07591580059033
"AST_Stylocoeniella",-37.359277244146,-22.6664172154484
"AST_Madracis_senaria",-46.2480821327157,-8.07818067884948
"AST_Madracis_formosa",-44.1266726997809,-7.98041531631017
"AST_Madracis_carmabi",-42.1064106368297,-8.58871988528923
"AST_Madracis_auretenra",-44.825187080799,-6.97552681117335
"AST_Madracis_asanoi",-45.2797482928332,-8.22328594231405
"AST_Madracis_pharensis",-43.7291540721607,-9.1070100598958
"AST_Madracis_decactis",-42.4696924822793,-7.22609292159462
"POC_Stylophora",-42.3210318257432,2.32485987789549
"POC_Seriatopora_caliendrum",-36.0681968125304,1.86442318183626
"POC_Seriatopora_hystrix",-34.1222540711863,1.5132499634565
"POC_Pocillopora_meandrina",-48.2131971846432,-1.00307654083291
"POC_Pocillopora_eydouxi",-46.6734089688873,7.9550241311099
"POC_Pocillopora_damicornis",-45.6342710547526,4.56906599499098
"POC_Pocillopora_verrucosa",-43.6576017165634,2.40335410730081
"CAR_Heterocyathus",-53.6219331011285,-3.84039549538887
"FAV_Oulastrea_crispata",-51.1839378921332,-0.702110038396041
"CAR_Rhizosmilia_sagamiensis",-27.5788737095525,1.01987980255793
"CAR_Phyllangia_papuensis",-28.9943657897234,1.27946755192278
"SID_Anomastraea_irregularis",-62.8984833143145,-9.83471733340126
"SID_Horastrea_indica",-52.5669210004479,-8.35939085301455
"SID_Coscinaraea_columna",-50.5879329703416,-13.2211727011731
"SID_Psammocora_contigua",-46.3512009885426,-23.1649157393203
"SID_Psammocora_nierstraszi",-45.3668334130432,-22.7718787124911
"SID_Psammocora_profundacella",-42.8803691720966,-22.2536906406762
"SID_Psammocora_digitata",-48.0376691872215,-17.4613995243939
"SID_Psammocora_albopicta",-47.9875544914098,-20.2675993942716
"SID_Psammocora_haimeana",-45.5676132332778,-21.7818214684222
"FUN_Pleuractis_gravis",-49.1065898135519,-13.3381167699356
"SID_Coscinaraea_wellsi",-45.3456535110677,-9.9691884712312
"SID_Psammocora_explanulata",-45.9387269044101,-10.2904483456041
"FUN_Pleuractis_paumotensis",-49.6410200203552,-4.29942396865447
"FUN_Pleuractis_granulosa",-50.798295656382,-9.21276015391998
"FUN_Pleuractis_moluccensis",-51.9012713252592,-8.02206345426705
"FUN_Cycloseris_cyclolites",-48.0267456892464,-0.98724639835925
"FUN_Cycloseris_tenuis",-46.6930389814648,-3.48949246548461
"FUN_Cycloseris_mokai",-48.1630643514404,-6.3486140220509
"FUN_Cycloseris_fragilis",-48.0224832778906,-3.53909381735009
"FUN_Cycloseris_vaughani",-49.1768949475824,-5.47426491225874
"FUN_Cycloseris_costulata",-50.2566146333642,-9.40537519348396
"FUN_Cycloseris_sinensis",-49.998987406397,-8.11951716737063
"FUN_Ctenactis_crassa",-57.1574005387756,-8.78785831757135
"FUN_Ctenactis_albitentaculata",-54.9793305141998,-5.28099117032085
"FUN_Ctenactis_echinata",-54.7621079061509,-4.78824802551525
"FUN_Herpolitha_limax",-50.6577546313036,-11.4934610303647
"FUN_Polyphyllia_talpina",-46.7084599259655,-13.6494916189428
"FUN_Lithophyllon_concinna",-51.832426484426,-9.34094857928451
"FUN_Lithophyllon_repanda",-53.8796395264639,-8.442822135136
"FUN_Lithophyllon_spinifer",-48.0289212116948,-8.84343922456602
"FUN_Lithophyllon_scabra",-45.2607075663348,-7.44710491929756
"FUN_Lithophyllon_undulatum",-45.2953258468349,-7.8376678733911
"FUN_Heliofungia_fralinae",-39.6420717803476,-14.9104736799851
"FUN_Heliofungia_actiniformis",-49.7686889889168,-13.2760988659074
"FAV_Leptastrea_transversa",-44.9287360274561,-15.3999828150337
"FAV_Leptastrea_pruinosa",-45.7189010776817,-12.6816704713078
"FAV_Leptastrea_purpurea",-48.8457498658095,-11.4275183937944
"FUN_Lobactis_scutaria",-40.384421122818,-10.8150758104548
"FUN_Halomitra_pileus",-36.6684809991921,-9.5248645247967
"FUN_Halomitra_clavator",-39.4762681363764,-9.00114999231112
"FUN_Danafungia_scruposa",-39.5643357626229,-10.9604086927203
"FUN_Fungia_fungites",-37.810681779008,-10.7042572128015
"FUN_Podabacia_motuporensis",-46.8373586418842,-12.2452538233203
"FUN_Podabacia_crustacea",-52.140340893816,-11.9622965216925
"FUN_Sandalolitha_dentata",-48.4029972093229,-10.9741307214443
"FUN_Sandalolitha_robusta",-48.701637968118,-11.4124387508805
"FUN_Zoopilus_echinatus",-49.3742036791847,-10.3162630715822
"FUN_Podabacia_kunzmanni",-47.5728908459616,-11.0356460491873
"FUN_Podabacia_sinai",-47.7867481116229,-10.7189180157528
"MEA_Meandrina_braziliensis",-27.4099661189306,1.66186990402304
"MEA_Dichocoenia",-23.0155703111986,-0.200849128153597
"MEA_Eusmilia_fastigiata",-23.0190941287568,-1.42610335630083
"MEA_Meandrina_meandrites",-24.0897949414794,-0.280353001260044
"MEA_Dendrogyra_cylindrus",-24.7877347189854,-1.02570904997644
"CAR_Phyllangia_americana",-25.2339759531016,-2.19698941321148
"CAR_Rhizosmilia_maculata",-25.71655310557,-2.29261704221203
"FAV_Solenastrea_bournoni",-23.4962476484503,9.26194003566967
"CAR_Polycyathus",-31.8213516677079,9.96432427604977
"CAR_Paracyathus",-21.4593798247588,7.66325004331109
"FAV_Cladocora_arbuscula",-23.6604914261488,11.8548950143951
"FAV_Cladocora_caespitosa",-23.202685075682,15.468957329576
"RHI_Astrangia",-28.7602693010854,14.7727884140435
"FAV_Solenastrea_hyades",-28.693772205825,7.54655223596832
"OCU_Oculina_robusta",-28.4053272495128,12.8439431540444
"OCU_Oculina_varicosa",-26.9982715915389,12.1797587173156
"OCU_Oculina_diffusa",-28.755602811283,14.2907976836325
"OCU_Oculina_patagonica",-26.9414234672591,13.3375547398684
"MUS_Blastomussa",-50.9151788518757,-17.0572833546124
"EUP_Physogyra_lichtensteini",-46.9047393233003,-1.67034872062598
"EUP_Plerogyra",-47.3163373356312,-2.52187756799651
"CAR_Tethocyathus",-23.639456224117,-3.84485002696727
"FAV_Plesiastrea_versipora",-27.1017588107315,-9.62991633634741
"OCU_Cyathelia_axillaris",-25.1940693162797,-3.77349621450315
"CAR_Trochocyathus",-28.5804816291617,-11.6737323945347
"FAV_Diploastrea_heliopora",-31.0517436015065,10.8319925897208
"FAV_Montastraea_cavernosa",-38.8236103577997,-9.93798348428919
"MUS_Mussa_angulosa",-38.3613117769216,6.68114988165962
"MUS_Scolymia_cubensis",-38.0545596240915,4.38312928026464
"MUS_Isophyllia_sinuosa",-44.4956254767932,0.425503376158754
"MUS_Mycetophyllia_danaana",-40.00869604454,-0.659597132616993
"MUS_Mycetophyllia_aliciae",-37.7845894967824,-0.181128583095772
"MUS_Mycetophyllia_lamarckiana",-37.9166540998921,0.334511229601156
"MUS_Mussismilia_harttii",-34.7000218924626,3.72612780782369
"MUS_Mussismilia_braziliensis",-31.9093530207851,3.08495995377775
"MUS_Mussismilia_hispida",-30.1463617890996,6.20495734010616
"FAV_Favia_leptophylla",-33.9098556051926,7.4801786758191
"FAV_Favia_fragum",-30.7598860888847,1.30226142686258
"FAV_Diploria_labyrinthiformis",-32.9776881285423,5.19528555207267
"FAV_Diploria_clivosa",-34.9450908554631,3.72588088055335
"FAV_Diploria_strigosa",-33.1774794502204,3.59535908278533
"FAV_Manicina_areolata",-33.9568471273219,5.3836100894525
"FAV_Colpophyllia_natans",-33.858981436021,4.89077741233453
"MUS_Acanthastrea_hillae",-38.461289722936,-5.07677381055783
"FAV_Montastraea_multipunctata",-42.8864009142079,-7.77212269674494
"MUS_Micromussa",-40.1540306380504,-5.98493654635864
"FAV_Moseleya_latistellata",-30.981985456813,2.90637339988711
"MUS_Acanthastrea_echinata",-38.6582118084664,0.3180997022106
"MUS_Acanthastrea_rotundoflora",-35.3960234868141,1.12654990550894
"PEC_Oxypora",-36.655568008335,-3.36745627764642
"PEC_Echinophyllia_echinoporoides",-34.5067330262538,-1.46785073033994
"PEC_Echinophyllia_orpheensis",-36.9377396719958,-1.28741625579214
"PEC_Echinophyllia_aspera",-36.4137618274156,-1.52110853846972
"MUS_Cynarina_lacrymalis",-35.1744258793303,-1.63330181486073
"MUS_Scolymia_vitiensis",-37.2046413093401,-7.36706137261971
"MUS_Lobophyllia_corymbosa",-33.4902150838224,-4.56444265375091
"MUS_Symphyllia_valenciennesii",-32.2144325152903,-2.43353722588836
"MUS_Symphyllia_radians",-30.8827847585667,-3.05919468358303
"MUS_Symphyllia_agaricia",-31.4736709564161,-2.81062049673612
"MUS_Symphyllia_recta",-31.4795258460983,-3.00534628676637
"MUS_Lobophyllia_pachysepta",-31.2846523090207,-0.731435261062942
"MUS_Lobophyllia_hemprichii",-30.8783217079447,-0.481161332554919
"MER_Orbicella_franksi",-36.3049375804708,18.7905242607725
"MER_Orbicella_annularis",-37.1115818623658,12.9682724919616
"MER_Orbicella_faveolata",-36.2961462103103,12.9877341657883
"FAV_Cyphastrea_ocellina",-34.2322787635964,1.43492882119845
"FAV_Cyphastrea_chalcidicum",-33.5736695459205,-0.745756433532095
"FAV_Cyphastrea_serailia",-33.5624839854674,-0.147745369859683
"FAV_Cyphastrea_microphthalma",-35.8311940689349,-3.19039019364814
"FAV_Montastraea_salebrosa",-30.3876326900835,-3.05160051118755
"FAV_Echinopora_mammiformis",-29.1181263318194,3.35364303832343
"FAV_Echinopora_gemmacea",-28.2398944526657,9.35225731419791
"FAV_Echinopora_pacificus",-27.8077537564206,9.60493426817927
