"","V1","V2"
"COR_Discosoma",-9.9223439145218,-6.0229953347317
"COR_Ricordea_florida",15.6569550341549,-22.0286479427135
"MIC_Letepsammia",-1.84664395539202,-6.08376229387645
"MIC_Rhombopsammia",-2.78459965781424,-11.1711881164823
"MIC_Stephanophyllia",-3.90689089538802,-12.2514287148532
"GAR_Gardineria_hawaiiensis",-6.05857725709641,5.87724683499106
"GAR_Gardineria_paradoxa",-7.07638490032726,7.32965222713934
"ANT_Anthemiphyllia_patera",-33.917614910855,-5.20554658008393
"CAR_Deltocyathus_ornatus",1.5386396707829,15.3353126807603
"CAR_Deltocyathus_suluensis",2.26143530123248,4.56959473636816
"CAR_Deltocyathus_sarsi",-1.30743988145573,7.04772460942538
"CAR_Deltocyathus_inusitatus",-1.18072489202573,10.799295294591
"CAR_Deltocyathus_rotulus",-2.80662071719794,8.07376272522107
"ANT_Anthemiphyllia_spinifera",-24.3036159045314,-20.1570592351404
"ANT_Anthemiphyllia_dentata",-12.4974650226455,1.47986455850702
"CAR_Ceratotrochus",-9.69641434383726,1.81480873417143
"CAR_Conotrochus",-10.7220065198306,1.49045867169917
"CAR_Vaughanella",17.0184306018662,-2.14740979291549
"CAR_Stephanocyathus_weberianus",7.45502963969696,6.22741618090985
"CAR_Stephanocyathus_platypus",2.65792686178531,10.9271868202777
"CAR_Stephanocyathus_coronatus",3.2642427634425,8.06326535972164
"CAR_Stephanocyathus_spiniger",-0.695467594018271,9.80041753205445
"CAR_Caryophyllia_versicolorata",-26.3360241699824,7.39607651989418
"CAR_Crispatotrochus",-26.2683641804258,6.79691430196611
"CAR_Caryophyllia_inornata",-39.0576714208943,9.16794433312637
"CAR_Caryophyllia_rugosa",-27.8033849764705,7.32571687795153
"CAR_Caryophyllia_lamellifera",-29.5754481999827,13.3462329427192
"CAR_Caryophyllia_grayi",-36.1205481522721,16.0891473830897
"STE_Stenocyathus_vermiformis",-33.8622253503248,15.9875822994064
"CAR_Caryophyllia_planilamellata",-21.4529080671868,13.053556978952
"CAR_Caryophyllia_quadragenaria",-21.0629559221741,8.89282364219755
"CAR_Caryophyllia_ambrosia",-24.2228720663143,7.62643090709668
"CAR_Caryophyllia_atlantica",-22.3002360179244,8.34487511142699
"CAR_Dasmosmilia_lymani",-26.2430572636624,7.04668571876702
"CAR_Caryophyllia_scobinosa",-29.2952663324643,6.98946600997068
"CAR_Caryophyllia_unicristata",-27.8570247433089,10.3813284126969
"CAR_Caryophyllia_grandis",-31.0914632930056,10.0290903739138
"CAR_Caryophyllia_transversalis",-30.7061841809485,10.4077012973474
"CAR_Lophelia_pertusa",-22.379998305684,-7.6827574164425
"CAR_Solenosmilia_variabilis",-36.7988627821555,-4.1033818639298
"CAR_Caryophyllia_diomedeae",-27.712662729502,0.545845465200352
"CAR_Desmophyllum",-35.5757551849064,-0.257619580662143
"CAR_Caryophyllia_ralphae",-33.8089198282626,-10.3336635847417
"CAR_Rhizosmilia_robusta",-31.2574852388688,3.09711426018126
"OCU_Madrepora",-12.6797547137678,-12.5066162640447
"AST_Stylocoeniella",4.90191988313561,-5.11182858020899
"AST_Madracis_senaria",-17.7489442454295,-3.66749150545728
"AST_Madracis_formosa",-16.7366234100746,0.0351396959750101
"AST_Madracis_carmabi",-22.3128811164949,-1.89417672354339
"AST_Madracis_auretenra",-18.4212827252183,-8.49815834425297
"AST_Madracis_asanoi",-21.5799351542355,-6.06520089804751
"AST_Madracis_pharensis",-19.5804390366804,-5.7874183851807
"AST_Madracis_decactis",-19.1491252860028,-2.38249669557583
"POC_Stylophora",-9.96778162074132,-1.51198372311643
"POC_Seriatopora_caliendrum",-18.6840096454154,-4.67811057211619
"POC_Seriatopora_hystrix",-14.6924617362398,0.079681541183521
"POC_Pocillopora_meandrina",-4.23953142193278,-10.244696138617
"POC_Pocillopora_eydouxi",-8.63244062665915,-2.25921050705597
"POC_Pocillopora_damicornis",-5.03286754735748,-2.94513177886267
"POC_Pocillopora_verrucosa",-7.8362364617372,-6.38858997878509
"CAR_Heterocyathus",19.4730372721591,7.63012322283297
"FAV_Oulastrea_crispata",19.1488870844699,7.04673013286147
"CAR_Rhizosmilia_sagamiensis",11.9571610181136,3.1821125694827
"CAR_Phyllangia_papuensis",12.7048832383251,1.42762257756671
"SID_Anomastraea_irregularis",3.36899573485062,-2.54011917998411
"SID_Horastrea_indica",7.69417774146576,-3.04164553915302
"SID_Coscinaraea_columna",1.91098458634086,-3.47804754011644
"SID_Psammocora_contigua",8.65922036096536,4.10220688708649
"SID_Psammocora_nierstraszi",11.9298364716015,4.1125706897037
"SID_Psammocora_profundacella",9.59437921647353,4.40917836477726
"SID_Psammocora_digitata",4.42916125438619,5.93390773090129
"SID_Psammocora_albopicta",2.84828015095174,4.36944271834107
"SID_Psammocora_haimeana",2.97528152762727,4.87057333899996
"FUN_Pleuractis_gravis",1.16720446917375,-5.66588384237475
"SID_Coscinaraea_wellsi",1.38739531728192,-3.65367069366802
"SID_Psammocora_explanulata",2.17235960595429,-3.06334845834094
"FUN_Pleuractis_paumotensis",3.81061669180584,-2.96798428409634
"FUN_Pleuractis_granulosa",0.339085433576827,-5.66242135654733
"FUN_Pleuractis_moluccensis",3.34810536674009,-7.70425073880687
"FUN_Cycloseris_cyclolites",-1.44928786049206,-5.15452478138167
"FUN_Cycloseris_tenuis",-1.02566191838314,-3.33346724617059
"FUN_Cycloseris_mokai",-2.51829311134186,-3.43380908711937
"FUN_Cycloseris_fragilis",-1.43342654973804,-3.93161079886605
"FUN_Cycloseris_vaughani",-2.53303837683125,-2.89984013366074
"FUN_Cycloseris_costulata",-3.91332570251477,-10.6987721400306
"FUN_Cycloseris_sinensis",-4.17852639912906,-11.2214149188991
"FUN_Ctenactis_crassa",-11.8211230264111,3.27556573672334
"FUN_Ctenactis_albitentaculata",-14.1860341190917,2.00856355300591
"FUN_Ctenactis_echinata",-14.7943197843857,1.50206754748977
"FUN_Herpolitha_limax",-11.4377117698771,0.64934467997967
"FUN_Polyphyllia_talpina",-12.9293899044716,0.696551647853886
"FUN_Lithophyllon_concinna",-16.0101184698761,-0.881070317688923
"FUN_Lithophyllon_repanda",-17.0035135636742,-2.36569100809597
"FUN_Lithophyllon_spinifer",-20.1954855267412,-6.89682260811952
"FUN_Lithophyllon_scabra",-20.3944320989007,-6.49513989862704
"FUN_Lithophyllon_undulatum",-21.0019271060136,-8.21083482037627
"FUN_Heliofungia_fralinae",-6.85259407754158,-0.645160456480105
"FUN_Heliofungia_actiniformis",-17.5700046917546,-7.4137449377622
"FAV_Leptastrea_transversa",-13.125479642561,-9.4030964768351
"FAV_Leptastrea_pruinosa",-14.0339393617742,-8.79303043611725
"FAV_Leptastrea_purpurea",-14.0562467390426,-9.53494393029494
"FUN_Lobactis_scutaria",-15.1670044362242,-2.40376236870577
"FUN_Halomitra_pileus",-16.6822772788054,1.86166995457018
"FUN_Halomitra_clavator",-18.3118224158706,-2.13521974197905
"FUN_Danafungia_scruposa",-19.5029386034429,-1.36113364608623
"FUN_Fungia_fungites",-16.5806369832012,-7.70681257068583
"FUN_Podabacia_motuporensis",-15.2529270657044,-4.24580513400231
"FUN_Podabacia_crustacea",-13.3287922923175,-5.41440103044328
"FUN_Sandalolitha_dentata",-13.1707506448425,-5.71207551874225
"FUN_Sandalolitha_robusta",-12.7637595325129,-4.85634231864461
"FUN_Zoopilus_echinatus",-14.6995417568972,-7.07475111333437
"FUN_Podabacia_kunzmanni",-14.6400406561408,-4.47253252818971
"FUN_Podabacia_sinai",-14.7815399933547,-3.26782226025346
"MEA_Meandrina_braziliensis",-4.04284559109137,-11.4292015296597
"MEA_Dichocoenia",2.26560693754094,-13.0621890955436
