model_name,model_formula,k,q,C,p,CICc,delta_CICc,l,w
Model 8,GR__EN,2,4,5.062459194,0.280948624,17.06245919,0,1,0.230605151
Model 7,EN__GR,2,4,5.95641135,0.202427234,17.95641135,0.893952156,0.639559208,0.147485647
Model 5,DS__EN__GR,1,5,1.598417318,0.449684677,18.26508398,1.20262479,0.548091851,0.126392804
Model 14,DS_and_GR__EN,1,5,1.598417318,0.449684677,18.26508398,1.20262479,0.548091851,0.126392804
Model 1,EN__DS_plus_GR,1,5,1.980159824,0.371546999,18.64682649,1.584367297,0.452854839,0.104430658
Model 4,GR__DS_plus_EN,1,5,3.464041877,0.176926491,20.13070854,3.068249349,0.215644368,0.049728702
Model 11,DS__EN,2,4,8.617066216,0.071417127,20.61706622,3.554607022,0.169093492,0.03899383
Model 2,EN__GR__DS,1,5,3.976251526,0.136951865,20.64291819,3.580458998,0.166921857,0.03849304
Model 6,DS__GR__EN,1,5,3.976251526,0.136951865,20.64291819,3.580458998,0.166921857,0.03849304
Model 13,DS_and_EN__GR,1,5,3.976251526,0.136951865,20.64291819,3.580458998,0.166921857,0.03849304
Model 10,EN__DS,2,4,9.280511572,0.054457954,21.28051157,4.218052378,0.121356087,0.027985339
Model 9,GR__DS,2,4,10.76439362,0.029343493,22.76439362,5.70193443,0.0577884,0.013326303
Model 12,DS__GR,2,4,10.99490042,0.026621386,22.99490042,5.93244123,0.051497572,0.011875605
Model 3,GR__DS__EN,1,5,7.300351748,0.025986558,23.96701841,6.90455922,0.031673351,0.007304038
