	label	metadata_column	H	p	n_initial	n_filtered	Diversity Type	Taxonomy Scheme	Compartment	Metric	Rarefaction Depth
148	adiv__greengenes__all__dominance__1000	taxonomy_string_to_family	165.5266912973325	1.1089178857831971e-20	1100	1098	adiv	greengenes	all	dominance	1000
148	adiv__greengenes_metaxa2__all__dominance__1000	taxonomy_string_to_family	207.4800924647863	1.9558547470009692e-28	1100	1098	adiv	greengenes_metaxa2	all	dominance	1000
148	adiv__silva__all__dominance__1000	taxonomy_string_to_family	180.63145117683052	1.9444421778557773e-23	1099	1097	adiv	silva	all	dominance	1000
148	adiv__silva_metaxa2__all__dominance__1000	taxonomy_string_to_family	206.29013586880097	3.274478075106395e-28	1099	1097	adiv	silva_metaxa2	all	dominance	1000
145	adiv__greengenes__mucus__dominance__1000	taxonomy_string_to_family	64.98279624942768	7.053545439102e-06	312	312	adiv	greengenes	mucus	dominance	1000
145	adiv__greengenes_metaxa2__mucus__dominance__1000	taxonomy_string_to_family	31.60662720299388	0.10860482511575092	312	312	adiv	greengenes_metaxa2	mucus	dominance	1000
145	adiv__silva__mucus__dominance__1000	taxonomy_string_to_family	65.15811302608164	6.639378279579435e-06	312	312	adiv	silva	mucus	dominance	1000
145	adiv__silva_metaxa2__mucus__dominance__1000	taxonomy_string_to_family	30.935417995653342	0.12438801956213355	312	312	adiv	silva_metaxa2	mucus	dominance	1000
145	adiv__greengenes__skeleton__dominance__1000	taxonomy_string_to_family	61.74240398133588	6.934105637485039e-06	364	364	adiv	greengenes	skeleton	dominance	1000
145	adiv__greengenes_metaxa2__skeleton__dominance__1000	taxonomy_string_to_family	82.38373550550646	3.213963404727368e-09	364	364	adiv	greengenes_metaxa2	skeleton	dominance	1000
145	adiv__silva__skeleton__dominance__1000	taxonomy_string_to_family	61.37980787111044	7.878463271130545e-06	364	364	adiv	silva	skeleton	dominance	1000
145	adiv__silva_metaxa2__skeleton__dominance__1000	taxonomy_string_to_family	81.91744553809644	3.850916614757628e-09	364	364	adiv	silva_metaxa2	skeleton	dominance	1000
145	adiv__greengenes__tissue__dominance__1000	taxonomy_string_to_family	71.5026565535095	6.829544336834523e-06	361	361	adiv	greengenes	tissue	dominance	1000
145	adiv__greengenes_metaxa2__tissue__dominance__1000	taxonomy_string_to_family	104.2926612450584	5.024408611386507e-11	361	361	adiv	greengenes_metaxa2	tissue	dominance	1000
145	adiv__silva__tissue__dominance__1000	taxonomy_string_to_family	92.52738854133304	4.194630652625189e-09	360	360	adiv	silva	tissue	dominance	1000
145	adiv__silva_metaxa2__tissue__dominance__1000	taxonomy_string_to_family	99.15707040125903	3.538712918679898e-10	360	360	adiv	silva_metaxa2	tissue	dominance	1000
148	adiv__greengenes__all__gini_index__1000	taxonomy_string_to_family	180.11352432194465	2.4211692221351518e-23	1100	1098	adiv	greengenes	all	gini_index	1000
148	adiv__greengenes_metaxa2__all__gini_index__1000	taxonomy_string_to_family	233.52216118065434	2.2283245933142132e-33	1100	1098	adiv	greengenes_metaxa2	all	gini_index	1000
148	adiv__silva__all__gini_index__1000	taxonomy_string_to_family	186.9880102337429	1.3066198326133517e-24	1099	1097	adiv	silva	all	gini_index	1000
148	adiv__silva_metaxa2__all__gini_index__1000	taxonomy_string_to_family	233.74171643762458	2.0228423388405117e-33	1099	1097	adiv	silva_metaxa2	all	gini_index	1000
145	adiv__greengenes__mucus__gini_index__1000	taxonomy_string_to_family	51.2826682089315	0.0006235761270467202	312	312	adiv	greengenes	mucus	gini_index	1000
145	adiv__greengenes_metaxa2__mucus__gini_index__1000	taxonomy_string_to_family	27.632743968669086	0.22998881057304585	312	312	adiv	greengenes_metaxa2	mucus	gini_index	1000
145	adiv__silva__mucus__gini_index__1000	taxonomy_string_to_family	52.14989610221099	0.00047737625156259796	312	312	adiv	silva	mucus	gini_index	1000
145	adiv__silva_metaxa2__mucus__gini_index__1000	taxonomy_string_to_family	28.09212041733371	0.21231811669277745	312	312	adiv	silva_metaxa2	mucus	gini_index	1000
145	adiv__greengenes__skeleton__gini_index__1000	taxonomy_string_to_family	66.20576973214536	1.4069188658743059e-06	364	364	adiv	greengenes	skeleton	gini_index	1000
145	adiv__greengenes_metaxa2__skeleton__gini_index__1000	taxonomy_string_to_family	97.82597149079675	6.979767401429616e-12	364	364	adiv	greengenes_metaxa2	skeleton	gini_index	1000
145	adiv__silva__skeleton__gini_index__1000	taxonomy_string_to_family	65.82031538814678	1.617339796634234e-06	364	364	adiv	silva	skeleton	gini_index	1000
145	adiv__silva_metaxa2__skeleton__gini_index__1000	taxonomy_string_to_family	96.94226914788305	9.98149270139532e-12	364	364	adiv	silva_metaxa2	skeleton	gini_index	1000
145	adiv__greengenes__tissue__gini_index__1000	taxonomy_string_to_family	78.93663310845774	5.467247029657223e-07	361	361	adiv	greengenes	tissue	gini_index	1000
145	adiv__greengenes_metaxa2__tissue__gini_index__1000	taxonomy_string_to_family	108.10286453191807	1.158731590479037e-11	361	361	adiv	greengenes_metaxa2	tissue	gini_index	1000
145	adiv__silva__tissue__gini_index__1000	taxonomy_string_to_family	86.9919993322906	3.157752140831418e-08	360	360	adiv	silva	tissue	gini_index	1000
145	adiv__silva_metaxa2__tissue__gini_index__1000	taxonomy_string_to_family	107.24743849582657	1.612841399834865e-11	360	360	adiv	silva_metaxa2	tissue	gini_index	1000
148	adiv__greengenes__all__observed_features__1000	taxonomy_string_to_family	199.55521869258686	5.9985299456864724e-27	1100	1098	adiv	greengenes	all	observed_features	1000
148	adiv__greengenes_metaxa2__all__observed_features__1000	taxonomy_string_to_family	242.78638052597955	3.72066844700228e-35	1100	1098	adiv	greengenes_metaxa2	all	observed_features	1000
148	adiv__silva__all__observed_features__1000	taxonomy_string_to_family	201.85817043581332	2.2230208100778584e-27	1099	1097	adiv	silva	all	observed_features	1000
148	adiv__silva_metaxa2__all__observed_features__1000	taxonomy_string_to_family	245.3154871049406	1.2130257301672124e-35	1099	1097	adiv	silva_metaxa2	all	observed_features	1000
145	adiv__greengenes__mucus__observed_features__1000	taxonomy_string_to_family	47.04179854242283	0.002214524944538175	312	312	adiv	greengenes	mucus	observed_features	1000
145	adiv__greengenes_metaxa2__mucus__observed_features__1000	taxonomy_string_to_family	32.02781382116923	0.09956635324148083	312	312	adiv	greengenes_metaxa2	mucus	observed_features	1000
145	adiv__silva__mucus__observed_features__1000	taxonomy_string_to_family	46.23066465649282	0.00279962527796304	312	312	adiv	silva	mucus	observed_features	1000
145	adiv__silva_metaxa2__mucus__observed_features__1000	taxonomy_string_to_family	33.19521365412856	0.0777249294334782	312	312	adiv	silva_metaxa2	mucus	observed_features	1000
145	adiv__greengenes__skeleton__observed_features__1000	taxonomy_string_to_family	74.91522973684611	5.608982405383284e-08	364	364	adiv	greengenes	skeleton	observed_features	1000
145	adiv__greengenes_metaxa2__skeleton__observed_features__1000	taxonomy_string_to_family	103.14848829955982	7.972262258692702e-13	364	364	adiv	greengenes_metaxa2	skeleton	observed_features	1000
145	adiv__silva__skeleton__observed_features__1000	taxonomy_string_to_family	75.43408846316213	4.610642708848847e-08	364	364	adiv	silva	skeleton	observed_features	1000
145	adiv__silva_metaxa2__skeleton__observed_features__1000	taxonomy_string_to_family	102.43240816347	1.0690146835947424e-12	364	364	adiv	silva_metaxa2	skeleton	observed_features	1000
145	adiv__greengenes__tissue__observed_features__1000	taxonomy_string_to_family	90.21653585033056	9.795435583788353e-09	361	361	adiv	greengenes	tissue	observed_features	1000
145	adiv__greengenes_metaxa2__tissue__observed_features__1000	taxonomy_string_to_family	114.05610287416042	1.137295265737875e-12	361	361	adiv	greengenes_metaxa2	tissue	observed_features	1000
145	adiv__silva__tissue__observed_features__1000	taxonomy_string_to_family	94.63863915755098	1.9204253399729033e-09	360	360	adiv	silva	tissue	observed_features	1000
145	adiv__silva_metaxa2__tissue__observed_features__1000	taxonomy_string_to_family	113.42303039791231	1.4580494505846841e-12	360	360	adiv	silva_metaxa2	tissue	observed_features	1000
148	adiv__greengenes__all__simpson_e__1000	taxonomy_string_to_family	130.9617567028531	1.4108964157017544e-14	1100	1098	adiv	greengenes	all	simpson_e	1000
148	adiv__greengenes_metaxa2__all__simpson_e__1000	taxonomy_string_to_family	96.74440411712717	6.0227032622979614e-09	1100	1098	adiv	greengenes_metaxa2	all	simpson_e	1000
148	adiv__silva__all__simpson_e__1000	taxonomy_string_to_family	137.39117091522257	1.0952589539623741e-15	1099	1097	adiv	silva	all	simpson_e	1000
148	adiv__silva_metaxa2__all__simpson_e__1000	taxonomy_string_to_family	97.36453937838628	4.818762601011552e-09	1099	1097	adiv	silva_metaxa2	all	simpson_e	1000
145	adiv__greengenes__mucus__simpson_e__1000	taxonomy_string_to_family	41.19536452779482	0.011247558530350345	312	312	adiv	greengenes	mucus	simpson_e	1000
145	adiv__greengenes_metaxa2__mucus__simpson_e__1000	taxonomy_string_to_family	27.1767251996221	0.24852058154831266	312	312	adiv	greengenes_metaxa2	mucus	simpson_e	1000
145	adiv__silva__mucus__simpson_e__1000	taxonomy_string_to_family	43.048920044558955	0.006833709498093101	312	312	adiv	silva	mucus	simpson_e	1000
145	adiv__silva_metaxa2__mucus__simpson_e__1000	taxonomy_string_to_family	27.330340455627834	0.2421676658629867	312	312	adiv	silva_metaxa2	mucus	simpson_e	1000
145	adiv__greengenes__skeleton__simpson_e__1000	taxonomy_string_to_family	46.613518143442434	0.0010582957536921498	364	364	adiv	greengenes	skeleton	simpson_e	1000
145	adiv__greengenes_metaxa2__skeleton__simpson_e__1000	taxonomy_string_to_family	32.830148208735864	0.048134773765765804	364	364	adiv	greengenes_metaxa2	skeleton	simpson_e	1000
145	adiv__silva__skeleton__simpson_e__1000	taxonomy_string_to_family	49.77129003968162	0.00039249894399470605	364	364	adiv	silva	skeleton	simpson_e	1000
