Species,Huang_Roy_tree_name,Specificity
Acanthastrea,MUS_Acanthastrea,Genus
Acropora,ACR_Acropora,Genus
Acropora cervicornis,ACR_Acropora_cervicornis,Species
Acropora palmata,ACR_Acropora_palmata,Species
Acropora prolifera,ACR_Acropora,Genus
Acropora_cytherea,ACR_Acropora_cytherea,Species
Acropora_humilis,ACR_Acropora_humilis,Species
Acropora_nasuta,ACR_Acropora_nasuta,Species
Acropora_paniculata,ACR_Acropora,Genus
Acropora_valida,ACR_Acropora_valida,Species
Agaricia fragilis,AGA_Agaricia_fragilis,Species
Agaricia lamarcki,AGA_Agaricia_lamarcki,Species
Agaricia sp.,AGA_Agaricia,Genus
Alveopora,POR_Alveopora,Genus
Anacropora,ACR_Anacropora,Genus
Astreopora,ACR_Astreopora,Genus
Australogyra,,
Barabattoia,FAV_Barabattoia,Genus
Blastomussa,MUS_Blastomussa,Genus
Cataphyllia,,
Caulastrea,,
Cirrhipathes_anguina,,
Cladacora arbuscula,,
Coeloseris,,
Colpophyllia natans,FAV_Colpophyllia_natans,
Coscinaria,,
Ctenactis,FUN_Ctenactis,Genus
Cycloseris,FUN_Cycloseris,Genus
Cycloseris_vaughani,FUN_Cycloseris_vaughani,Species
Cynaria,,
Cyphastrea,FAV_Cyphastrea,Genus
Cyphastrea_agassizi,FAV_Cyphastrea,Genus
Cyphastrea_ocellina,FAV_Cyphastrea_ocellina,Species
Dendrogyra cylindrus,MEA_Dendrogyra_cylindus,Species
Dichocoenia stokesi,MEA_Dichocoenia,Genus
Diploastrea,FAV_Diploastrea,Genus
Diploria labyrinthiformis,FAV_Diploria_labyrinthiformis,Species
Diploria sp.,FAV_Diploria,Genus
Echinophyllia,PEC_Echinophyllia,Genus
Echinopora,FAV_Echinopora,Genus
Euphyllia,EUP_Euphyllia,Genus
Eusmilia fastigiata,MEA_Eusmilia_fastigiata,Species
Favia,FAV_Favia,Genus
Favia fragum,FAV_Favia_fragum,Species
Favites,FAV_Favites,Genus
Fungia,FUN_Fungia,Genus
Fungia_granulosa,FUN_Fungia,Genus
Fungia_scutaria,FUN_Fungia,Genus
