strategy,genus,species,full_id
Competitive,Acropora,abrolhosensis,Acropora abrolhosensis
Competitive,Acropora,abrotanoides,Acropora abrotanoides
Competitive,Acropora,aculeus,Acropora aculeus
Competitive,Acropora,acuminata,Acropora acuminata
Competitive,Acropora,anthocercis,Acropora anthocercis
Competitive,Acropora,aspera,Acropora aspera
Competitive,Acropora,austera,Acropora austera
Competitive,Acropora,azurea,Acropora azurea
Competitive,Acropora,carduus,Acropora carduus
Competitive,Acropora,caroliniana,Acropora caroliniana
Competitive,Acropora,cerealis,Acropora cerealis
Competitive,Acropora,chesterfieldensis,Acropora chesterfieldensis
Competitive,Acropora,clathrata,Acropora clathrata
Competitive,Acropora,corymbose,Acropora corymbose
Competitive,Acropora,cytherea,Acropora cytherea
Competitive,Acropora,digitate,Acropora digitate
Competitive,Acropora,digitifera,Acropora digitifera
Competitive,Acropora,divaricata,Acropora divaricata
Competitive,Acropora,donei,Acropora donei
Competitive,Acropora,echinata,Acropora echinata
Competitive,Acropora,elseyi,Acropora elseyi
Competitive,Acropora,eurystoma,Acropora eurystoma
Competitive,Acropora,florida,Acropora florida
Competitive,Acropora,gemmifera,Acropora gemmifera
Competitive,Acropora,glauca,Acropora glauca
Competitive,Acropora,globiceps,Acropora globiceps
Competitive,Acropora,grandis,Acropora grandis
Competitive,Acropora,granulosa,Acropora granulosa
Competitive,Acropora,hispidose,Acropora hispidose
Competitive,Acropora,horrida,Acropora horrida
Competitive,Acropora,humilis,Acropora humilis
Competitive,Acropora,hyacinthus,Acropora hyacinthus
Competitive,Acropora,intermedia,Acropora intermedia
Competitive,Acropora,japonica,Acropora japonica
Competitive,Acropora,kimbeensis,Acropora kimbeensis
Competitive,Acropora,latistella,Acropora latistella
Competitive,Acropora,listeri,Acropora listeri
Competitive,Acropora,lokani,Acropora lokani
Competitive,Acropora,longicyathus,Acropora longicyathus
Competitive,Acropora,loripes,Acropora loripes
Competitive,Acropora,lutkeni,Acropora lutkeni
Competitive,Acropora,microclados,Acropora microclados
Competitive,Acropora,microphthalma,Acropora microphthalma
Competitive,Acropora,millepora,Acropora millepora
Competitive,Acropora,monticulosa,Acropora monticulosa
Competitive,Acropora,muricata,Acropora muricata
Competitive,Acropora,nana,Acropora nana
Competitive,Acropora,nasuta,Acropora nasuta
Competitive,Acropora,natalensis,Acropora natalensis
Competitive,Acropora,palmerae,Acropora palmerae
Competitive,Acropora,paniculata,Acropora paniculata
Competitive,Acropora,papillare,Acropora papillare
Competitive,Acropora,pectinata,Acropora pectinata
Competitive,Acropora,polystoma,Acropora polystoma
Competitive,Acropora,pulchra,Acropora pulchra
Competitive,Acropora,retusa,Acropora retusa
Competitive,Acropora,robusta,Acropora robusta
Competitive,Acropora,roseni,Acropora roseni
Competitive,Acropora,rudis,Acropora rudis
Competitive,Acropora,samoensis,Acropora samoensis
Competitive,Acropora,sarmentosa,Acropora sarmentosa
Competitive,Acropora,secale,Acropora secale
Competitive,Acropora,selago,Acropora selago
Competitive,Acropora,solitaryensis,Acropora solitaryensis
Competitive,Acropora,speciosa,Acropora speciosa
Competitive,Acropora,spicifera,Acropora spicifera
Competitive,Acropora,striata,Acropora striata
Competitive,Acropora,subglabra,Acropora subglabra
Competitive,Acropora,subulata,Acropora subulata
Competitive,Acropora,tenuis,Acropora tenuis
Competitive,Acropora,tortuosa,Acropora tortuosa
Competitive,Acropora,valenciennesi,Acropora valenciennesi
Competitive,Acropora,valida,Acropora valida
Competitive,Acropora,vaughani,Acropora vaughani
Competitive,Acropora,verweyi,Acropora verweyi
Competitive,Acropora,willisae,Acropora willisae
Competitive,Acropora,yongei,Acropora yongei
Competitive,Hydnophora ,rigida,Hydnophora  rigida
Competitive,Isopora,crateriformis,Isopora crateriformis
Competitive,Isopora,cuneata,Isopora cuneata
Competitive,Isopora,elizabethensis,Isopora elizabethensis
Competitive,Isopora,palifera,Isopora palifera
Competitive,Montipora,capitata,Montipora capitata
Competitive,Montipora,digitata,Montipora digitata
Competitive,Montipora,hispida,Montipora hispida
Competitive,Montipora,incrassata,Montipora incrassata
Competitive,Montipora,mollis,Montipora mollis
Competitive,Montipora,samarensis,Montipora samarensis
Competitive,Montipora,spongodes,Montipora spongodes
Competitive,Montipora,spumosa,Montipora spumosa
Competitive,Montipora,stellata,Montipora stellata
Competitive,Montipora,turgescens,Montipora turgescens
Competitive,Montipora,undata,Montipora undata
Generalist,Cycloseris,explanulata,Cycloseris explanulata
Generalist,Cyphastrea,agassizi,Cyphastrea agassizi
Generalist,Cyphastrea,chalcidicum,Cyphastrea chalcidicum
Generalist,Cyphastrea,decadia,Cyphastrea decadia
Generalist,Cyphastrea,japonica,Cyphastrea japonica
Generalist,Cyphastrea,microphthalma,Cyphastrea microphthalma
Generalist,Cyphastrea,ocellina,Cyphastrea ocellina
Generalist,Cyphastrea,serailia,Cyphastrea serailia
Generalist,Echinopora,gemmacea,Echinopora gemmacea
Generalist,Echinopora,hirsutissima,Echinopora hirsutissima
Generalist,Echinopora,horrida,Echinopora horrida
Generalist,Echinopora,lamellosa,Echinopora lamellosa
Generalist,Echinopora,mammiformis,Echinopora mammiformis
Generalist,Echinopora,pacificus,Echinopora pacificus
Generalist,Hydnophora ,exesa,Hydnophora  exesa
Generalist,Hydnophora ,microconos,Hydnophora  microconos
Generalist,Isopora,cuneata,Isopora cuneata
Generalist,Isopora,palifera,Isopora palifera
Generalist,Leptastrea,bewickensis,Leptastrea bewickensis
Generalist,Leptastrea,inaequalis,Leptastrea inaequalis
Generalist,Leptastrea,pruinosa,Leptastrea pruinosa
Generalist,Leptastrea,purpurea,Leptastrea purpurea
Generalist,Leptastrea,transversa,Leptastrea transversa
Generalist,Merulina,ampliata,Merulina ampliata
Generalist,Merulina,scabricula,Merulina scabricula
Generalist,Montipora,aequituberculata,Montipora aequituberculata
Generalist,Montipora,australiensis,Montipora australiensis
Generalist,Montipora,calcarea,Montipora calcarea
Generalist,Montipora,corbettensis,Montipora corbettensis
Generalist,Montipora,crassituberculata,Montipora crassituberculata
Generalist,Montipora,danae,Montipora danae
Generalist,Montipora,florida,Montipora florida
Generalist,Montipora,foliosa,Montipora foliosa
Generalist,Montipora,foveolata,Montipora foveolata
Generalist,Montipora,grisea,Montipora grisea
Generalist,Montipora,hoffmeisteri,Montipora hoffmeisteri
Generalist,Montipora,informis,Montipora informis
Generalist,Montipora,lobulata,Montipora lobulata
Generalist,Montipora,mactanensis,Montipora mactanensis
Generalist,Montipora,monasteriata,Montipora monasteriata
Generalist,Montipora,nodosa,Montipora nodosa
Generalist,Montipora,orientalis,Montipora orientalis
Generalist,Montipora,peltiformis,Montipora peltiformis
Generalist,Montipora,tuberculosa,Montipora tuberculosa
Generalist,Montipora,turtlensis,Montipora turtlensis
Generalist,Montipora,verrucosa,Montipora verrucosa
Generalist,Mycedium,elephantotus,Mycedium elephantotus
Generalist,Mycedium,mancaoi,Mycedium mancaoi
Generalist,Oxypora,glabra,Oxypora glabra
Generalist,Oxypora,lacera,Oxypora lacera
Generalist,Pachyseris,rugosa,Pachyseris rugosa
Generalist,Pachyseris,speciosa,Pachyseris speciosa
Generalist,Pavona,bipartita,Pavona bipartita
Generalist,Pavona,cactus,Pavona cactus
Generalist,Pavona,chiriquensis,Pavona chiriquensis
Generalist,Pavona,clavus,Pavona clavus
Generalist,Pavona,decussata,Pavona decussata
Generalist,Pavona,duerdeni,Pavona duerdeni
Generalist,Pavona,explanulata,Pavona explanulata
Generalist,Pavona,frondifera,Pavona frondifera
Generalist,Pavona,maldivensis,Pavona maldivensis
Generalist,Pavona,minuta,Pavona minuta
Generalist,Pavona,varians,Pavona varians
Generalist,Pavona,venosa,Pavona venosa
Generalist,Pectinia,alcicornis,Pectinia alcicornis
Generalist,Pectinia,lactuca,Pectinia lactuca
Generalist,Pectinia,paeonia,Pectinia paeonia
Generalist,Pocillopora,aliciae,Pocillopora aliciae
Generalist,Pocillopora,grandis,Pocillopora grandis
Generalist,Pocillopora,ligulata,Pocillopora ligulata
Generalist,Pocillopora,meandrina,Pocillopora meandrina
