diversity_cat,compartment,diversity_metric,R2,significant
alpha,mucus,richness,0.033051195,0
alpha,mucus,evenness,0.067249307,0
alpha,mucus,dominance,0.033746271,0
alpha,tissue,richness,0.00305781,0
alpha,tissue,evenness,0.000688782,0
alpha,tissue,dominance,0.267905559,1
alpha,skeleton,richness,0.004673203,0
alpha,skeleton,evenness,0.032275703,0
alpha,skeleton,dominance,0.001712428,0
beta,mucus,WPC1,0.009983356,0
beta,mucus,WPC2,0.027192507,0
beta,mucus,WPC3,0.055414004,0
beta,tissue,WPC1,0.01945816,0
beta,tissue,WPC2,0.130450987,1
beta,tissue,WPC3,0.036976905,0
beta,skeleton,WPC1,0.033309295,0
beta,skeleton,WPC2,0.000112346,0
beta,skeleton,WPC3,0.013310203,0
beta,mucus,UWPC1,0.029866372,0
beta,mucus,UWPC2,0.007406468,0
beta,mucus,UWPC3,0.040553359,0
beta,tissue,UWPC1,0.007794383,0
beta,tissue,UWPC2,0.01964616,0
beta,tissue,UWPC3,0.220241846,1
beta,skeleton,UWPC1,0.014489254,0
beta,skeleton,UWPC2,0.03864716,0
beta,skeleton,UWPC3,9.47E-06,0
