host_genus_id,tissue_endo,mucus_endo,skeleton_endo
Acanthastrea,8,0,0
Acropora,58.68181818,67.72727273,49.05555556
Agaricia,0,0,0
Aiptasia,0,0,0
Alveopora,441.3333333,0,0
Anacropora,0,0,0
Astrea,302.6666667,0,0
Astreopora,0,0,0
Aurelia,0,0,0
Australogyra,0,0,0
Barabattoia,0,0,0
Blastomussa,0,0,0
Cataphyllia,0,0,0
Caulastraea,4,2,0
Caulastrea,0,0,0
Cirrhipathes,0,0,0
Cladacora,0,0,0
Coeloseris,0,0,0
Colpophyllia,0,0,0
Coscinaraea,122.6666667,13.66666667,2.333333333
Coscinaria,0,0,0
Ctenactis,5,29,1
Cycloseris,0,0,0
Cynaria,0,0,0
Cyphastrea,621.6666667,136,5.8
Danafungia,12,0,0
Dendrogyra,0,0,0
Dendrophyllia,0,37,4
Dichocoenia,0,0,0
Diploastrea,5,7.105263158,0.6
Diploria,5.333333333,10.66666667,0
Dipsastraea,166.25,0,0
Distichopora,0,0,0
Echinophyllia,55.75,6,0.75
Echinopora,46.55555556,70.36363636,4.333333333
Eguchipsammia,0,4,2
Entacmaea,0,0,0
Euphyllia,0,0,0
Eusmilia,0,0,0
Favia,0,0,0
Favites,14.22222222,18.75,13.125
Fungia,0,0,0
Fungid,41.85714286,2.4,39.875
Galaxea,58.5,22.875,1
Gardineroseris,1.75,0,0
Goniastrea,6.714285714,0,0.4
Goniopora,5.666666667,93.66666667,0.5
Halomitra,0,0,0
Heliofungia,0,0,0
Heliopora,0,4,0
Helioseris,0,0,0
Herpolitha,0,0,12
Heteractis,0,0,0
Homophyllia,13,51,2.333333333
Hydnophora,425.5714286,141.1666667,11.28571429
Isophyllia,0,0,0
Isopora,79.66666667,2.333333333,4.25
Leptastrea,18,0,9
Leptoria,0,0.5,0
Leptoseris,0,0,0
Lithophyllon,0,0,0
Lobophyllia,145.2941176,82.13333333,3.944444444
Lobophytum,0,256,4
Macrorhynchia,4,0,0
Madracis,0,0,0
Manicina,0,0,0
Meandrina,0,0,0
Merulina,6.5,0,11
Micromussa,0,0,0
Millepora,9,15.16666667,0
Mnemiopsis,3,0,0
Montastraea,0,0,0
Montipora,0,1,0
Moseleya,0,0,0
Mussa,0,0,0
Mycedium,0,0,16
Mycetophyllia,0,0,0
Oculina,0,0,0
Orbicella,11.75,23.6,1.875
Oulophyllia,0,0,0
Oxypora,0,0,0
Pachyseris,6.875,14.625,5
Palauastrea,0,0,0
Palythoa,381,53.33333333,214
Paraclavarina,0,0,0
Paramontastraea,0,0,0
Pavona,3.708333333,6.105263158,0.433333333
Pectinia,0,0,0
Phyllangia,0,0,0
Physogyra,1.8,3.2,2.4
Platygyra,204.4,4.5,3
Plerogyra,37,5.333333333,1.5
Pocillopora,148.6521739,27.88888889,62.04166667
Podabacia,45,12,19
Polyphyllia,0,0,0
Porites,340.1538462,199.2727273,39.82758621
Protopalythoa,0,0,0
Psammocora,244.75,210.6666667,15.16666667
Pseudodiploria,0,0,0
Pseudosiderastrea,0.5,0.5,31
Rhodactis,0,3,0
Sandolitha,0,0,0
Sarcophyton,1,0,0
Sarcothelia,0,0,0
Scolymia,0.5,0.75,1.75
Seriatopora,62.75,0,19.5
Siderastrea,9.333333333,16.66666667,12
Sinularia,17,130,0
Solenastrea,0,0,0
Sponge,0,0,0
Stephanocoenia,50,66.8,0.8
Stichodactyla,0,10,0
Stylaster,0,0,0
Stylocoeniella,0,0,0
Stylophora,634.4285714,126,124.7272727
Symphyllia,0,0,0
Trachyphyllia,0,0,0
Tubastraea,7.285714286,30.42857143,2
Tubipora,0,0,0
Turbinaria,44.90909091,17.6,1.416666667
Unknown,0,0,0
Xenia,302.5,0,0
Zoanthus,0,0,0
Zoanthus/Palythoa,0,0,0
