Coral Genus,Ocean,Political Area,Site Name,Reef Name,Latitude,Longitude,N
Acanthastrea,Indian,"Reunion, France",East Reunion,Port,-21.057778,55.219444,3
Acanthastrea,Indian,"Reunion, France",East Reunion,Saint-Leu,-21.176667,55.285833,2
Acanthastrea,Indian,"Reunion, France",East Reunion,Tower,-21.025278,55.223889,3
Acanthastrea,Indian,Saudi Arabia,Farasan Banks,Malathy Island,19.74915,39.90357,3
Acanthastrea,Indian,Saudi Arabia,Farasan Banks,Mar Mar,19.87444,40.08,1
Acanthastrea,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,2
Acropora,Indian,Australia,Ningaloo,Bills Bay,-23.140369,113.769166,3
Acropora,Indian,"Reunion, France",East Reunion,Arch,-21.123889,55.787778,1
Acropora,Indian,"Reunion, France",East Reunion,Pass,-21.087222,55.220278,3
Acropora,Indian,"Reunion, France",East Reunion,Trou d_Eau,-21.103333,55.243056,3
Acropora,Indian,Saudi Arabia,Farasan Banks,Long,19.89028,39.96056,2
Acropora,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,1
Acropora,Pacific,Australia,Great Barrier Reef - Central Sector,Broadhurst,-18.86528,147.693611,3
Acropora,Pacific,Australia,Great Barrier Reef - Central Sector,Fork ,-18.611,147.57515,7
Acropora,Pacific,Australia,Great Barrier Reef - Central Sector,Kelso ,-18.42385,146.985867,5
Acropora,Pacific,Australia,Great Barrier Reef - Central Sector,Little Kelso ,-18.465767,146.991483,2
Acropora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Day,-14.489467,145.520167,2
Acropora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Horseshoe,-14.68716,145.44449,3
Acropora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Maxwell - Site 2,-14.78625,145.315067,7
Acropora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.683931,145.466483,1
Acropora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.686768,145.4665,5
Acropora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Yonge - Site 1,-14.581317,145.61215,2
Acropora,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Yonge - Site 2,-14.58085,145.613609,5
Acropora,Pacific,Australia,Lord Howe Island,North Bay,-31.52135,159.0467333,7
Aiptasia,Indian,Saudi Arabia,AL Lith,KAUST Buoy 0340,20.12378,40.22511,2
Alveopora,Pacific,Australia,Lord Howe Island,Comets Hole,-31.5461333,159.0614667,7
Astrea,Pacific,Australia,Lord Howe Island,Far Flats,-31.5617667,159.07475,7
Aurelia,Indian,Saudi Arabia,AL Lith,KAUST Buoy 0340,20.12378,40.22511,2
Caulastraea,Pacific,Australia,Great Barrier Reef - Lizard Island Sector,Trawler,-14.68344,145.46554,3
Coscinaraea,Indian,Saudi Arabia,Farasan Banks,Mar Mar,19.87444,40.08,3
Coscinaraea,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,6
Ctenactis,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,3
Cyphastrea,Indian,Australia,Ningaloo,Bills Bay,-23.140369,113.769166,3
Cyphastrea,Indian,"Reunion, France",East Reunion,Trou d_Eau,-21.103333,55.243056,3
Cyphastrea,Indian,Singapore,Singapore,Raffles Lighthouse,1.160517,103.740444,2
Cyphastrea,Pacific,Australia,Lord Howe Island,North Bay,-31.52135,159.0467333,5
Danafungia,Indian,Saudi Arabia,Farasan Banks,Long,19.89028,39.96056,3
Dendrophyllia,Indian,Saudi Arabia,KAUST Deep Water,CMOR_tanks,22.307222,39.105556,6
Diploastrea,Indian,Saudi Arabia,Farasan Banks,Malathy Island,19.74915,39.90357,3
Diploastrea,Indian,Saudi Arabia,KAUST House Reefs,Al Fahal,22.25836,38.95542,4
Diploastrea,Pacific,Australia,Great Barrier Reef - Central Sector,Broadhurst,-18.86528,147.693611,3
